Airports.Days.Date,Hour,SEA FIS Checkpoint,SEA SCP 2,SEA SCP 3,SEA SCP 4,SEA SCP 5
1/1/2021,0:00:00,,,33,,
1/1/2021,1:00:00,,,11,,
1/1/2021,2:00:00,,,9,,
1/1/2021,3:00:00,,,97,,
1/1/2021,4:00:00,,122,184,160,87
1/1/2021,5:00:00,,231,252,243,295
1/1/2021,6:00:00,,319,347,370,422
1/1/2021,7:00:00,,257,273,270,414
1/1/2021,8:00:00,,272,379,248,471
1/1/2021,9:00:00,,261,256,217,428
1/1/2021,10:00:00,,271,341,307,372
1/1/2021,11:00:00,,348,194,152,246
1/1/2021,12:00:00,,202,292,210,229
1/1/2021,13:00:00,,243,175,204,287
1/1/2021,14:00:00,,256,218,174,336
1/1/2021,15:00:00,,132,113,125,255
1/1/2021,16:00:00,,61,112,123,264
1/1/2021,17:00:00,,40,80,25,101
1/1/2021,18:00:00,,88,91,45,83
1/1/2021,19:00:00,,205,194,62,
1/1/2021,20:00:00,,,302,63,
1/1/2021,21:00:00,,,234,105,
1/1/2021,22:00:00,,,397,,
1/1/2021,23:00:00,,,141,,
1/2/2021,0:00:00,,,40,,
1/2/2021,1:00:00,,,10,,
1/2/2021,2:00:00,,,5,,
1/2/2021,3:00:00,,,171,,
1/2/2021,4:00:00,,182,358,206,166
1/2/2021,5:00:00,,404,412,376,362
1/2/2021,6:00:00,,553,528,503,438
1/2/2021,7:00:00,,610,459,387,559
1/2/2021,8:00:00,,446,535,378,348
1/2/2021,9:00:00,,447,453,333,397
1/2/2021,10:00:00,,325,380,284,385
1/2/2021,11:00:00,,347,308,192,207
1/2/2021,12:00:00,,438,319,320,288
1/2/2021,13:00:00,,325,207,208,291
1/2/2021,14:00:00,,222,240,277,412
1/2/2021,15:00:00,,133,194,161,295
1/2/2021,16:00:00,,114,323,160,340
1/2/2021,17:00:00,,110,235,105,227
1/2/2021,18:00:00,,213,176,113,136
1/2/2021,19:00:00,,186,237,91,
1/2/2021,20:00:00,,,403,102,
1/2/2021,21:00:00,,,384,105,
1/2/2021,22:00:00,,,604,,
1/2/2021,23:00:00,,,247,,
1/3/2021,0:00:00,,,61,,
1/3/2021,1:00:00,,,41,,
1/3/2021,2:00:00,,,51,,
1/3/2021,3:00:00,,,181,,
1/3/2021,4:00:00,,205,352,196,202
1/3/2021,5:00:00,,467,583,395,302
1/3/2021,6:00:00,,554,794,563,341
1/3/2021,7:00:00,,479,511,427,307
1/3/2021,8:00:00,,635,423,424,325
1/3/2021,9:00:00,,618,498,403,328
1/3/2021,10:00:00,,750,440,509,329
1/3/2021,11:00:00,,509,357,288,206
1/3/2021,12:00:00,,417,420,327,350
1/3/2021,13:00:00,,472,388,302,323
1/3/2021,14:00:00,,469,430,273,327
1/3/2021,15:00:00,,204,415,206,309
1/3/2021,16:00:00,,197,271,156,303
1/3/2021,17:00:00,,157,228,135,214
1/3/2021,18:00:00,,230,199,106,173
1/3/2021,19:00:00,,139,454,105,
1/3/2021,20:00:00,,,450,121,
1/3/2021,21:00:00,,,388,130,
1/3/2021,22:00:00,,,444,,
1/3/2021,23:00:00,,,273,,
1/4/2021,0:00:00,,,21,,
1/4/2021,1:00:00,,,13,,
1/4/2021,2:00:00,,,8,,
1/4/2021,3:00:00,,,75,,
1/4/2021,4:00:00,,261,290,212,187
1/4/2021,5:00:00,,415,449,441,307
1/4/2021,6:00:00,,680,423,497,311
1/4/2021,7:00:00,,477,434,378,394
1/4/2021,8:00:00,,573,469,373,321
1/4/2021,9:00:00,,369,486,283,290
1/4/2021,10:00:00,,386,304,280,356
1/4/2021,11:00:00,,333,331,252,224
1/4/2021,12:00:00,,411,365,205,241
1/4/2021,13:00:00,,323,165,193,246
1/4/2021,14:00:00,,221,247,175,314
1/4/2021,15:00:00,,83,177,187,179
1/4/2021,16:00:00,,49,198,126,249
1/4/2021,17:00:00,,105,108,82,178
1/4/2021,18:00:00,,134,128,78,117
1/4/2021,19:00:00,,184,234,89,
1/4/2021,20:00:00,,,435,114,
1/4/2021,21:00:00,,,274,22,
1/4/2021,22:00:00,,,383,,
1/4/2021,23:00:00,,,83,,
1/5/2021,0:00:00,,,20,,
1/5/2021,1:00:00,,,28,,
1/5/2021,2:00:00,,,54,,
1/5/2021,3:00:00,,,152,,
1/5/2021,4:00:00,,258,359,213,116
1/5/2021,5:00:00,,220,403,295,342
1/5/2021,6:00:00,,520,450,523,338
1/5/2021,7:00:00,,435,334,301,284
1/5/2021,8:00:00,,340,239,218,226
1/5/2021,9:00:00,,206,249,279,300
1/5/2021,10:00:00,,449,376,372,312
1/5/2021,11:00:00,,246,395,170,194
1/5/2021,12:00:00,,298,221,163,252
1/5/2021,13:00:00,,211,142,230,212
