Date,Hour,ABE ABE Main Terminal
2019-04-28,04:00:00,55
2019-04-28,05:00:00,169
2019-04-28,06:00:00,63
2019-04-28,07:00:00,80
2019-04-28,08:00:00,149
2019-04-28,09:00:00,104
2019-04-28,10:00:00,69
2019-04-28,11:00:00,88
2019-04-28,12:00:00,100
2019-04-28,13:00:00,25
2019-04-28,14:00:00,19
2019-04-28,15:00:00,37
2019-04-28,16:00:00,113
2019-04-28,17:00:00,163
2019-04-28,18:00:00,73
2019-04-29,04:00:00,106
2019-04-29,05:00:00,206
2019-04-29,06:00:00,157
2019-04-29,07:00:00,77
2019-04-29,08:00:00,52
2019-04-29,09:00:00,33
2019-04-29,10:00:00,102
2019-04-29,11:00:00,61
2019-04-29,12:00:00,68
2019-04-29,13:00:00,83
2019-04-29,14:00:00,86
2019-04-29,15:00:00,57
2019-04-29,16:00:00,107
2019-04-29,17:00:00,88
2019-04-29,18:00:00,109
2019-04-30,04:00:00,92
2019-04-30,05:00:00,165
2019-04-30,06:00:00,90
2019-04-30,07:00:00,8
2019-04-30,08:00:00,2
2019-04-30,09:00:00,26
2019-04-30,10:00:00,80
2019-04-30,11:00:00,89
2019-04-30,12:00:00,53
2019-04-30,13:00:00,49
2019-04-30,14:00:00,32
2019-04-30,15:00:00,87
2019-04-30,16:00:00,170
2019-04-30,17:00:00,79
2019-04-30,18:00:00,19
2019-05-01,04:00:00,157
2019-05-01,05:00:00,133
2019-05-01,06:00:00,85
2019-05-01,07:00:00,36
2019-05-01,08:00:00,111
2019-05-01,09:00:00,54
2019-05-01,10:00:00,76
2019-05-01,11:00:00,54
2019-05-01,12:00:00,59
2019-05-01,13:00:00,31
2019-05-01,14:00:00,29
2019-05-01,15:00:00,41
2019-05-01,16:00:00,76
2019-05-01,17:00:00,77
2019-05-01,18:00:00,88
2019-05-01,19:00:00,67
2019-05-02,04:00:00,113
2019-05-02,05:00:00,178
2019-05-02,06:00:00,42
2019-05-02,07:00:00,85
2019-05-02,08:00:00,96
2019-05-02,09:00:00,46
2019-05-02,10:00:00,62
2019-05-02,11:00:00,82
2019-05-02,12:00:00,120
2019-05-02,13:00:00,118
2019-05-02,14:00:00,59
2019-05-02,15:00:00,45
2019-05-02,16:00:00,112
2019-05-02,17:00:00,186
2019-05-02,18:00:00,45
2019-05-03,04:00:00,144
2019-05-03,05:00:00,226
2019-05-03,06:00:00,9
2019-05-03,07:00:00,47
2019-05-03,08:00:00,80
2019-05-03,09:00:00,45
2019-05-03,10:00:00,75
2019-05-03,11:00:00,45
2019-05-03,12:00:00,62
2019-05-03,13:00:00,63
2019-05-03,14:00:00,153
2019-05-03,15:00:00,64
2019-05-03,16:00:00,134
2019-05-03,17:00:00,78
2019-05-03,18:00:00,180
2019-05-03,19:00:00,179
2019-05-03,20:00:00,3
2019-05-04,04:00:00,3
