Date,Hour,ACK Main Terminal - 1
2019-04-28,07:00:00,14
2019-04-28,09:00:00,25
2019-04-28,10:00:00,6
2019-04-28,11:00:00,14
2019-04-28,12:00:00,11
2019-04-28,14:00:00,16
2019-04-28,15:00:00,8
2019-04-28,17:00:00,13
2019-04-28,18:00:00,7
2019-04-28,19:00:00,3
2019-04-29,06:00:00,18
2019-04-29,07:00:00,9
2019-04-29,08:00:00,7
2019-04-29,09:00:00,20
2019-04-29,10:00:00,9
2019-04-29,11:00:00,11
2019-04-29,12:00:00,11
2019-04-29,14:00:00,7
2019-04-29,15:00:00,4
2019-04-29,17:00:00,6
2019-04-29,19:00:00,4
2019-04-30,06:00:00,12
2019-04-30,07:00:00,1
2019-04-30,08:00:00,7
2019-04-30,09:00:00,25
2019-04-30,12:00:00,17
2019-04-30,14:00:00,7
2019-04-30,17:00:00,8
2019-05-01,06:00:00,8
2019-05-01,07:00:00,11
2019-05-01,09:00:00,17
2019-05-01,11:00:00,14
2019-05-01,12:00:00,4
2019-05-01,14:00:00,8
2019-05-01,17:00:00,10
2019-05-02,09:00:00,9
2019-05-02,10:00:00,20
2019-05-02,12:00:00,6
2019-05-02,14:00:00,5
2019-05-02,17:00:00,6
2019-05-03,06:00:00,5
2019-05-03,07:00:00,8
2019-05-03,09:00:00,9
2019-05-03,11:00:00,4
2019-05-03,12:00:00,4
2019-05-03,14:00:00,8
2019-05-03,15:00:00,18
2019-05-03,16:00:00,11
2019-05-03,17:00:00,3
2019-05-03,18:00:00,5
2019-05-04,07:00:00,7
2019-05-04,09:00:00,3
2019-05-04,10:00:00,4
2019-05-04,11:00:00,4
2019-05-04,12:00:00,6
2019-05-04,14:00:00,9
2019-05-04,18:00:00,3
