Date,Hour,ACT ACTA
2019-04-28,06:00:00,20
2019-04-28,07:00:00,1
2019-04-28,09:00:00,32
2019-04-28,10:00:00,6
2019-04-28,11:00:00,34
2019-04-28,12:00:00,36
2019-04-28,13:00:00,22
2019-04-28,14:00:00,24
2019-04-28,15:00:00,14
2019-04-28,17:00:00,19
2019-04-28,18:00:00,19
2019-04-29,04:00:00,44
2019-04-29,09:00:00,31
2019-04-29,10:00:00,13
2019-04-29,11:00:00,41
2019-04-29,12:00:00,29
2019-04-29,13:00:00,12
2019-04-29,14:00:00,24
2019-04-29,15:00:00,23
2019-04-29,17:00:00,25
2019-04-29,18:00:00,15
2019-04-30,04:00:00,46
2019-04-30,09:00:00,27
2019-04-30,10:00:00,15
2019-04-30,11:00:00,37
2019-04-30,12:00:00,31
2019-04-30,13:00:00,7
2019-05-01,05:00:00,28
2019-05-01,06:00:00,3
2019-05-01,09:00:00,30
2019-05-01,10:00:00,13
2019-05-01,11:00:00,39
2019-05-01,12:00:00,23
2019-05-01,13:00:00,20
2019-05-01,17:00:00,20
2019-05-01,18:00:00,8
2019-05-02,09:00:00,54
2019-05-02,10:00:00,19
2019-05-02,13:00:00,36
2019-05-02,14:00:00,6
2019-05-03,04:00:00,44
2019-05-03,05:00:00,0
2019-05-03,09:00:00,39
2019-05-03,10:00:00,12
2019-05-03,15:00:00,48
2019-05-03,16:00:00,17
2019-05-03,17:00:00,2
2019-05-03,18:00:00,16
2019-05-04,04:00:00,27
2019-05-04,05:00:00,4
2019-05-04,07:00:00,26
2019-05-04,08:00:00,2
2019-05-04,09:00:00,27
2019-05-04,10:00:00,8
2019-05-04,12:00:00,15
2019-05-04,13:00:00,8
2019-05-04,15:00:00,9
2019-05-04,16:00:00,13
2019-05-04,17:00:00,5
2019-05-04,18:00:00,10
