Date,Hour,ACV ACV01
2019-04-28,04:00:00,18
2019-04-28,05:00:00,49
2019-04-28,06:00:00,35
2019-04-28,09:00:00,11
2019-04-28,10:00:00,62
2019-04-28,16:00:00,10
2019-04-28,17:00:00,37
2019-04-29,04:00:00,10
2019-04-29,05:00:00,56
2019-04-29,06:00:00,43
2019-04-29,09:00:00,22
2019-04-29,10:00:00,33
2019-04-29,16:00:00,12
2019-04-29,17:00:00,33
2019-04-30,04:00:00,9
2019-04-30,05:00:00,65
2019-04-30,06:00:00,60
2019-04-30,09:00:00,29
2019-04-30,10:00:00,41
2019-04-30,16:00:00,13
2019-04-30,17:00:00,34
2019-05-01,04:00:00,17
2019-05-01,05:00:00,72
2019-05-01,06:00:00,48
2019-05-01,09:00:00,18
2019-05-01,10:00:00,48
2019-05-01,16:00:00,8
2019-05-01,17:00:00,36
2019-05-02,04:00:00,11
2019-05-02,05:00:00,43
2019-05-02,06:00:00,41
2019-05-02,09:00:00,21
2019-05-02,10:00:00,43
2019-05-02,17:00:00,46
2019-05-03,04:00:00,13
2019-05-03,05:00:00,50
2019-05-03,06:00:00,53
2019-05-03,09:00:00,22
2019-05-03,10:00:00,36
2019-05-03,16:00:00,10
2019-05-03,17:00:00,33
2019-05-04,04:00:00,9
2019-05-04,05:00:00,61
2019-05-04,06:00:00,15
2019-05-04,07:00:00,27
2019-05-04,09:00:00,16
2019-05-04,10:00:00,36
2019-05-04,16:00:00,3
2019-05-04,17:00:00,44
