Date,Hour,ACY Main Checkpoint,ACY Overflow Checkpoint
2019-04-28,04:00:00,72.0,57.0
2019-04-28,05:00:00,189.0,137.0
2019-04-28,06:00:00,47.0,15.0
2019-04-28,07:00:00,5.0,
2019-04-28,08:00:00,27.0,
2019-04-28,09:00:00,98.0,
2019-04-28,10:00:00,48.0,
2019-04-28,11:00:00,222.0,65.0
2019-04-28,12:00:00,84.0,
2019-04-28,13:00:00,3.0,
2019-04-28,14:00:00,8.0,
2019-04-28,15:00:00,37.0,
2019-04-28,16:00:00,128.0,
2019-04-28,17:00:00,135.0,
2019-04-28,18:00:00,102.0,
2019-04-28,19:00:00,34.0,
2019-04-29,04:00:00,78.0,61.0
2019-04-29,05:00:00,142.0,101.0
2019-04-29,06:00:00,103.0,
2019-04-29,07:00:00,6.0,
2019-04-29,08:00:00,40.0,
2019-04-29,09:00:00,55.0,
2019-04-29,10:00:00,51.0,
2019-04-29,11:00:00,102.0,
2019-04-29,12:00:00,46.0,
2019-04-29,13:00:00,3.0,
2019-04-29,14:00:00,9.0,
2019-04-29,15:00:00,60.0,
2019-04-29,16:00:00,77.0,
2019-04-29,17:00:00,32.0,
2019-04-29,18:00:00,21.0,
2019-04-29,19:00:00,20.0,
2019-04-30,04:00:00,72.0,67.0
2019-04-30,05:00:00,100.0,101.0
2019-04-30,06:00:00,61.0,
2019-04-30,07:00:00,3.0,
2019-04-30,08:00:00,38.0,
2019-04-30,09:00:00,83.0,
2019-04-30,10:00:00,114.0,
2019-04-30,11:00:00,157.0,
2019-04-30,12:00:00,30.0,
2019-04-30,13:00:00,3.0,
2019-04-30,14:00:00,8.0,
2019-04-30,15:00:00,61.0,
2019-04-30,16:00:00,234.0,
2019-04-30,17:00:00,34.0,
2019-04-30,18:00:00,51.0,
2019-04-30,19:00:00,10.0,
2019-05-01,04:00:00,124.0,115.0
2019-05-01,05:00:00,197.0,97.0
2019-05-01,06:00:00,109.0,23.0
2019-05-01,07:00:00,12.0,
2019-05-01,08:00:00,44.0,
2019-05-01,09:00:00,115.0,
2019-05-01,10:00:00,45.0,
2019-05-01,11:00:00,107.0,38.0
2019-05-01,12:00:00,37.0,
2019-05-01,13:00:00,4.0,
2019-05-01,14:00:00,16.0,
2019-05-01,15:00:00,65.0,
2019-05-01,16:00:00,120.0,103.0
2019-05-01,17:00:00,65.0,
2019-05-01,18:00:00,69.0,
2019-05-01,19:00:00,42.0,
2019-05-02,04:00:00,63.0,
2019-05-02,05:00:00,204.0,
2019-05-02,06:00:00,137.0,135.0
2019-05-02,07:00:00,49.0,18.0
2019-05-02,08:00:00,53.0,
2019-05-02,09:00:00,36.0,
2019-05-02,10:00:00,41.0,
2019-05-02,11:00:00,121.0,96.0
2019-05-02,12:00:00,106.0,37.0
2019-05-02,13:00:00,2.0,
2019-05-02,14:00:00,2.0,
2019-05-02,15:00:00,45.0,
2019-05-02,16:00:00,159.0,49.0
2019-05-02,17:00:00,108.0,39.0
2019-05-02,18:00:00,15.0,
2019-05-03,04:00:00,3.0,86.0
2019-05-03,05:00:00,147.0,85.0
2019-05-03,06:00:00,126.0,212.0
2019-05-03,07:00:00,32.0,12.0
2019-05-03,08:00:00,5.0,
2019-05-03,09:00:00,5.0,
2019-05-03,10:00:00,75.0,
2019-05-03,11:00:00,139.0,68.0
2019-05-03,12:00:00,125.0,
2019-05-03,13:00:00,1.0,
2019-05-03,14:00:00,4.0,
2019-05-03,15:00:00,28.0,
2019-05-03,16:00:00,154.0,125.0
2019-05-03,17:00:00,67.0,
2019-05-03,18:00:00,28.0,
2019-05-03,19:00:00,13.0,
2019-05-03,20:00:00,3.0,
2019-05-04,04:00:00,2.0,31.0
2019-05-04,05:00:00,134.0,110.0
2019-05-04,06:00:00,64.0,192.0
2019-05-04,07:00:00,143.0,132.0
2019-05-04,08:00:00,6.0,
2019-05-04,09:00:00,30.0,
2019-05-04,10:00:00,67.0,
2019-05-04,11:00:00,178.0,
2019-05-04,12:00:00,69.0,
2019-05-04,13:00:00,3.0,
2019-05-04,14:00:00,6.0,
2019-05-04,15:00:00,29.0,
2019-05-04,16:00:00,127.0,
2019-05-04,17:00:00,232.0,
2019-05-04,18:00:00,22.0,
