Date,Hour,ADQ Main Terminal
2019-04-28,06:00:00,37
2019-04-28,07:00:00,51
2019-04-28,15:00:00,47
2019-04-28,16:00:00,41
2019-04-29,06:00:00,26
2019-04-29,07:00:00,86
2019-04-29,15:00:00,29
2019-04-29,16:00:00,34
2019-04-30,06:00:00,59
2019-04-30,07:00:00,59
2019-04-30,15:00:00,36
2019-04-30,16:00:00,37
2019-05-01,06:00:00,59
2019-05-01,07:00:00,88
2019-05-01,15:00:00,39
2019-05-01,16:00:00,108
2019-05-02,06:00:00,45
2019-05-02,07:00:00,78
2019-05-02,15:00:00,64
2019-05-02,16:00:00,54
2019-05-03,06:00:00,41
2019-05-03,07:00:00,112
2019-05-03,15:00:00,57
2019-05-03,16:00:00,87
2019-05-04,15:00:00,67
2019-05-04,16:00:00,45
