Date,Hour,ALB Main Checkpoint
2019-04-28,03:00:00,19
2019-04-28,04:00:00,396
2019-04-28,05:00:00,545
2019-04-28,06:00:00,458
2019-04-28,07:00:00,166
2019-04-28,08:00:00,223
2019-04-28,09:00:00,283
2019-04-28,10:00:00,384
2019-04-28,11:00:00,275
2019-04-28,12:00:00,221
2019-04-28,13:00:00,228
2019-04-28,14:00:00,206
2019-04-28,15:00:00,279
2019-04-28,16:00:00,306
2019-04-28,17:00:00,221
2019-04-28,18:00:00,97
2019-04-28,19:00:00,41
2019-04-28,20:00:00,14
2019-04-28,21:00:00,10
2019-04-29,03:00:00,76
2019-04-29,04:00:00,525
2019-04-29,05:00:00,447
2019-04-29,06:00:00,273
2019-04-29,07:00:00,156
2019-04-29,08:00:00,273
2019-04-29,09:00:00,200
2019-04-29,10:00:00,309
2019-04-29,11:00:00,386
2019-04-29,12:00:00,297
2019-04-29,13:00:00,304
2019-04-29,14:00:00,69
2019-04-29,15:00:00,179
2019-04-29,16:00:00,271
2019-04-29,17:00:00,159
2019-04-29,18:00:00,63
2019-04-29,19:00:00,6
2019-04-29,20:00:00,0
2019-04-30,03:00:00,84
2019-04-30,04:00:00,454
2019-04-30,05:00:00,454
2019-04-30,06:00:00,216
2019-04-30,07:00:00,96
2019-04-30,08:00:00,204
2019-04-30,09:00:00,144
2019-04-30,10:00:00,407
2019-04-30,11:00:00,224
2019-04-30,12:00:00,227
2019-04-30,13:00:00,151
2019-04-30,14:00:00,145
2019-04-30,15:00:00,147
2019-04-30,16:00:00,255
2019-04-30,17:00:00,139
2019-04-30,18:00:00,47
2019-04-30,19:00:00,1
2019-04-30,20:00:00,5
2019-05-01,03:00:00,46
2019-05-01,04:00:00,422
2019-05-01,05:00:00,584
2019-05-01,06:00:00,369
2019-05-01,07:00:00,96
2019-05-01,08:00:00,192
2019-05-01,09:00:00,158
2019-05-01,10:00:00,296
2019-05-01,11:00:00,293
2019-05-01,12:00:00,339
2019-05-01,13:00:00,333
2019-05-01,14:00:00,229
2019-05-01,15:00:00,222
2019-05-01,16:00:00,289
2019-05-01,17:00:00,221
2019-05-01,18:00:00,90
2019-05-01,19:00:00,6
2019-05-01,20:00:00,3
2019-05-02,03:00:00,127
2019-05-02,04:00:00,512
2019-05-02,05:00:00,546
2019-05-02,06:00:00,299
2019-05-02,07:00:00,96
2019-05-02,08:00:00,222
2019-05-02,09:00:00,174
2019-05-02,10:00:00,374
2019-05-02,11:00:00,348
2019-05-02,12:00:00,307
2019-05-02,13:00:00,396
2019-05-02,14:00:00,415
2019-05-02,15:00:00,348
2019-05-02,16:00:00,408
2019-05-02,17:00:00,475
2019-05-02,18:00:00,94
2019-05-02,19:00:00,18
2019-05-02,20:00:00,0
2019-05-03,03:00:00,117
2019-05-03,04:00:00,512
2019-05-03,05:00:00,614
2019-05-03,06:00:00,192
2019-05-03,07:00:00,104
2019-05-03,08:00:00,125
2019-05-03,09:00:00,217
2019-05-03,10:00:00,414
2019-05-03,11:00:00,520
2019-05-03,12:00:00,391
2019-05-03,13:00:00,329
2019-05-03,14:00:00,273
2019-05-03,15:00:00,229
2019-05-03,16:00:00,225
2019-05-03,17:00:00,262
2019-05-03,18:00:00,137
2019-05-03,19:00:00,18
2019-05-03,20:00:00,0
2019-05-04,03:00:00,88
2019-05-04,04:00:00,554
2019-05-04,05:00:00,537
2019-05-04,06:00:00,207
2019-05-04,07:00:00,156
2019-05-04,08:00:00,232
2019-05-04,09:00:00,282
2019-05-04,10:00:00,205
2019-05-04,11:00:00,215
2019-05-04,12:00:00,259
2019-05-04,13:00:00,205
2019-05-04,14:00:00,138
2019-05-04,15:00:00,185
2019-05-04,16:00:00,144
2019-05-04,17:00:00,106
2019-05-04,18:00:00,40
2019-05-04,19:00:00,3
2019-05-04,20:00:00,5
