Date,Hour,ALS Alamosa Airport
2019-04-28,08:00:00,7
2019-04-28,12:00:00,8
2019-04-28,15:00:00,8
2019-04-29,05:00:00,5
2019-04-29,08:00:00,6
2019-04-29,09:00:00,1
2019-04-29,13:00:00,6
2019-04-29,14:00:00,3
2019-04-30,05:00:00,7
2019-04-30,07:00:00,1
2019-04-30,09:00:00,3
2019-04-30,13:00:00,6
2019-04-30,15:00:00,2
2019-05-01,05:00:00,6
2019-05-01,12:00:00,8
2019-05-01,15:00:00,5
2019-05-02,05:00:00,7
2019-05-02,08:00:00,3
2019-05-02,12:00:00,8
2019-05-02,15:00:00,6
2019-05-03,05:00:00,6
2019-05-03,08:00:00,6
2019-05-03,12:00:00,5
2019-05-03,15:00:00,4
2019-05-04,05:00:00,6
2019-05-04,08:00:00,7
