Date,Hour,ANC South Checkpoint
2019-04-28,00:00:00,154
2019-04-28,01:00:00,44
2019-04-28,02:00:00,10
2019-04-28,03:00:00,82
2019-04-28,04:00:00,348
2019-04-28,05:00:00,280
2019-04-28,06:00:00,233
2019-04-28,07:00:00,116
2019-04-28,08:00:00,349
2019-04-28,09:00:00,145
2019-04-28,10:00:00,162
2019-04-28,11:00:00,81
2019-04-28,12:00:00,152
2019-04-28,13:00:00,344
2019-04-28,14:00:00,494
2019-04-28,15:00:00,162
2019-04-28,16:00:00,124
2019-04-28,17:00:00,155
2019-04-28,18:00:00,308
2019-04-28,19:00:00,147
2019-04-28,20:00:00,231
2019-04-28,21:00:00,172
2019-04-28,22:00:00,271
2019-04-28,23:00:00,217
2019-04-29,00:00:00,70
2019-04-29,01:00:00,74
2019-04-29,02:00:00,7
2019-04-29,03:00:00,94
2019-04-29,04:00:00,394
2019-04-29,05:00:00,509
2019-04-29,06:00:00,286
2019-04-29,07:00:00,136
2019-04-29,08:00:00,287
2019-04-29,09:00:00,114
2019-04-29,10:00:00,378
2019-04-29,11:00:00,150
2019-04-29,12:00:00,239
2019-04-29,13:00:00,286
2019-04-29,14:00:00,330
2019-04-29,15:00:00,183
2019-04-29,16:00:00,118
2019-04-29,17:00:00,111
2019-04-29,18:00:00,149
2019-04-29,19:00:00,211
2019-04-29,20:00:00,192
2019-04-29,21:00:00,164
2019-04-29,22:00:00,342
2019-04-29,23:00:00,156
2019-04-30,00:00:00,137
2019-04-30,01:00:00,29
2019-04-30,02:00:00,28
2019-04-30,03:00:00,77
2019-04-30,04:00:00,311
2019-04-30,05:00:00,528
2019-04-30,06:00:00,213
2019-04-30,07:00:00,180
2019-04-30,08:00:00,233
2019-04-30,09:00:00,209
2019-04-30,10:00:00,254
2019-04-30,11:00:00,238
2019-04-30,12:00:00,153
2019-04-30,13:00:00,289
2019-04-30,14:00:00,289
2019-04-30,15:00:00,148
2019-04-30,16:00:00,230
2019-04-30,17:00:00,107
2019-04-30,18:00:00,166
2019-04-30,19:00:00,167
2019-04-30,20:00:00,127
2019-04-30,21:00:00,226
2019-04-30,22:00:00,302
2019-04-30,23:00:00,157
2019-05-01,00:00:00,117
2019-05-01,01:00:00,50
2019-05-01,02:00:00,21
2019-05-01,03:00:00,134
2019-05-01,04:00:00,362
2019-05-01,05:00:00,386
2019-05-01,06:00:00,233
2019-05-01,07:00:00,354
2019-05-01,08:00:00,251
2019-05-01,09:00:00,277
2019-05-01,10:00:00,284
2019-05-01,11:00:00,111
2019-05-01,12:00:00,274
2019-05-01,13:00:00,335
2019-05-01,14:00:00,373
2019-05-01,15:00:00,142
2019-05-01,16:00:00,170
2019-05-01,17:00:00,152
2019-05-01,18:00:00,118
2019-05-01,19:00:00,220
2019-05-01,20:00:00,328
2019-05-01,21:00:00,154
2019-05-01,22:00:00,523
2019-05-01,23:00:00,250
2019-05-02,00:00:00,146
2019-05-02,01:00:00,24
2019-05-02,02:00:00,20
2019-05-02,03:00:00,76
2019-05-02,04:00:00,374
2019-05-02,05:00:00,406
2019-05-02,06:00:00,315
2019-05-02,07:00:00,94
2019-05-02,08:00:00,231
2019-05-02,09:00:00,220
2019-05-02,10:00:00,270
2019-05-02,11:00:00,107
2019-05-02,12:00:00,277
2019-05-02,13:00:00,376
2019-05-02,14:00:00,474
2019-05-02,15:00:00,217
2019-05-02,16:00:00,145
2019-05-02,17:00:00,145
2019-05-02,18:00:00,234
2019-05-02,19:00:00,145
2019-05-02,20:00:00,181
2019-05-02,21:00:00,351
2019-05-02,22:00:00,377
2019-05-02,23:00:00,216
2019-05-03,00:00:00,150
2019-05-03,01:00:00,65
2019-05-03,02:00:00,17
2019-05-03,03:00:00,130
2019-05-03,04:00:00,383
2019-05-03,05:00:00,436
2019-05-03,06:00:00,298
2019-05-03,07:00:00,256
2019-05-03,08:00:00,261
2019-05-03,09:00:00,262
2019-05-03,10:00:00,209
2019-05-03,11:00:00,126
2019-05-03,12:00:00,239
2019-05-03,13:00:00,446
2019-05-03,14:00:00,409
2019-05-03,15:00:00,166
2019-05-03,16:00:00,237
2019-05-03,17:00:00,193
2019-05-03,18:00:00,237
2019-05-03,19:00:00,273
2019-05-03,20:00:00,242
2019-05-03,21:00:00,234
2019-05-03,22:00:00,339
2019-05-03,23:00:00,219
2019-05-04,00:00:00,157
2019-05-04,01:00:00,45
2019-05-04,02:00:00,20
2019-05-04,03:00:00,91
2019-05-04,04:00:00,278
2019-05-04,05:00:00,336
2019-05-04,06:00:00,269
2019-05-04,07:00:00,111
2019-05-04,08:00:00,236
2019-05-04,09:00:00,163
2019-05-04,10:00:00,173
2019-05-04,11:00:00,122
2019-05-04,12:00:00,187
2019-05-04,13:00:00,263
2019-05-04,14:00:00,274
2019-05-04,15:00:00,197
2019-05-04,16:00:00,54
2019-05-04,17:00:00,193
2019-05-04,18:00:00,236
2019-05-04,19:00:00,201
2019-05-04,20:00:00,298
2019-05-04,21:00:00,179
2019-05-04,22:00:00,251
2019-05-04,23:00:00,122
