Date,Hour,ART Gate Area #1
2019-04-28,04:00:00,15
2019-04-28,05:00:00,26
2019-04-28,11:00:00,9
2019-04-28,12:00:00,27
2019-04-28,13:00:00,10
2019-04-29,04:00:00,9
2019-04-29,05:00:00,34
2019-04-29,11:00:00,23
2019-04-29,12:00:00,15
2019-04-30,04:00:00,14
2019-04-30,05:00:00,24
2019-04-30,10:00:00,12
2019-04-30,11:00:00,6
2019-05-01,04:00:00,6
2019-05-01,05:00:00,23
2019-05-01,10:00:00,3
2019-05-01,11:00:00,17
2019-05-01,12:00:00,9
2019-05-02,04:00:00,18
2019-05-02,05:00:00,23
2019-05-02,11:00:00,27
2019-05-02,12:00:00,20
2019-05-03,04:00:00,14
2019-05-03,05:00:00,25
2019-05-03,09:00:00,4
2019-05-03,10:00:00,40
2019-05-04,04:00:00,12
2019-05-04,05:00:00,27
2019-05-04,09:00:00,2
2019-05-04,10:00:00,26
2019-05-04,11:00:00,1
