Date,Hour,ATL E Concourse Checkpoint,ATL F Arrival Checkpoint,ATL F Departure Checkpoint,ATL Main Checkpoint,ATL New T North Checkpoint,ATL T South Checkpoint
2019-04-28,00:00:00,,,,16.0,,
2019-04-28,01:00:00,,,,12.0,,
2019-04-28,02:00:00,,,,21.0,,
2019-04-28,03:00:00,,,,206.0,,
2019-04-28,04:00:00,,,63.0,586.0,430.0,246.0
2019-04-28,05:00:00,,207.0,153.0,1657.0,544.0,314.0
2019-04-28,06:00:00,,672.0,230.0,2669.0,867.0,744.0
2019-04-28,07:00:00,,557.0,659.0,2499.0,1018.0,589.0
2019-04-28,08:00:00,,29.0,465.0,2967.0,680.0,589.0
2019-04-28,09:00:00,,186.0,468.0,2647.0,538.0,373.0
2019-04-28,10:00:00,,293.0,420.0,2407.0,596.0,352.0
2019-04-28,11:00:00,,341.0,209.0,2403.0,506.0,505.0
2019-04-28,12:00:00,,558.0,469.0,2544.0,748.0,579.0
2019-04-28,13:00:00,129.0,392.0,297.0,2346.0,392.0,559.0
2019-04-28,14:00:00,665.0,448.0,734.0,3152.0,768.0,574.0
2019-04-28,15:00:00,1066.0,403.0,668.0,2786.0,489.0,312.0
2019-04-28,16:00:00,730.0,135.0,701.0,2746.0,579.0,582.0
2019-04-28,17:00:00,869.0,324.0,480.0,2361.0,812.0,520.0
2019-04-28,18:00:00,973.0,320.0,519.0,2705.0,1000.0,629.0
2019-04-28,19:00:00,1142.0,459.0,516.0,2375.0,567.0,421.0
2019-04-28,20:00:00,578.0,521.0,322.0,2220.0,,
2019-04-28,21:00:00,,217.0,331.0,794.0,,
2019-04-28,22:00:00,,,43.0,296.0,,
2019-04-28,23:00:00,,,4.0,30.0,,
2019-04-29,00:00:00,,,,9.0,,
2019-04-29,01:00:00,,,,21.0,,
2019-04-29,02:00:00,,,,23.0,,
2019-04-29,03:00:00,,,,102.0,,
2019-04-29,04:00:00,,,83.0,975.0,409.0,406.0
2019-04-29,05:00:00,,129.0,159.0,1819.0,617.0,427.0
2019-04-29,06:00:00,,544.0,788.0,5195.0,992.0,635.0
2019-04-29,07:00:00,,502.0,831.0,3838.0,1081.0,666.0
2019-04-29,08:00:00,,241.0,990.0,3382.0,725.0,505.0
2019-04-29,09:00:00,,89.0,450.0,2386.0,694.0,531.0
2019-04-29,10:00:00,,329.0,392.0,1625.0,401.0,470.0
2019-04-29,11:00:00,,202.0,201.0,2633.0,408.0,413.0
2019-04-29,12:00:00,,493.0,383.0,2493.0,727.0,549.0
2019-04-29,13:00:00,238.0,209.0,424.0,2426.0,778.0,451.0
2019-04-29,14:00:00,878.0,201.0,634.0,2164.0,577.0,503.0
2019-04-29,15:00:00,1149.0,337.0,721.0,2214.0,402.0,474.0
2019-04-29,16:00:00,646.0,337.0,451.0,1819.0,315.0,267.0
2019-04-29,17:00:00,827.0,501.0,419.0,1816.0,547.0,363.0
2019-04-29,18:00:00,1032.0,170.0,514.0,1552.0,379.0,305.0
2019-04-29,19:00:00,1008.0,290.0,199.0,1658.0,480.0,422.0
2019-04-29,20:00:00,864.0,519.0,190.0,1318.0,,
2019-04-29,21:00:00,,322.0,88.0,307.0,,
2019-04-29,22:00:00,,,58.0,120.0,,
2019-04-29,23:00:00,,,5.0,17.0,,
2019-04-30,00:00:00,,,,15.0,,
2019-04-30,01:00:00,,,,12.0,,
2019-04-30,02:00:00,,,,25.0,,
2019-04-30,03:00:00,,,,103.0,,
2019-04-30,04:00:00,,,47.0,533.0,397.0,266.0
2019-04-30,05:00:00,,109.0,185.0,1398.0,545.0,400.0
2019-04-30,06:00:00,,565.0,404.0,2859.0,906.0,747.0
2019-04-30,07:00:00,,331.0,553.0,3370.0,481.0,565.0
2019-04-30,08:00:00,,238.0,468.0,2278.0,663.0,511.0
2019-04-30,09:00:00,,388.0,304.0,2438.0,618.0,403.0
2019-04-30,10:00:00,,209.0,380.0,1253.0,461.0,280.0
2019-04-30,11:00:00,,321.0,193.0,2258.0,444.0,354.0
2019-04-30,12:00:00,,461.0,551.0,1823.0,414.0,661.0
2019-04-30,13:00:00,477.0,217.0,414.0,2161.0,413.0,313.0
2019-04-30,14:00:00,542.0,187.0,680.0,1955.0,420.0,422.0
2019-04-30,15:00:00,871.0,361.0,473.0,2046.0,499.0,457.0
2019-04-30,16:00:00,934.0,123.0,623.0,1980.0,403.0,354.0
2019-04-30,17:00:00,570.0,178.0,400.0,1703.0,440.0,398.0
2019-04-30,18:00:00,1362.0,319.0,448.0,1368.0,431.0,293.0
2019-04-30,19:00:00,1285.0,184.0,304.0,999.0,305.0,286.0
2019-04-30,20:00:00,756.0,287.0,368.0,1059.0,,
2019-04-30,21:00:00,10.0,383.0,242.0,271.0,,
2019-04-30,22:00:00,,12.0,58.0,56.0,,
