Date,Hour,ATW Checkpoint
2019-04-28,04:00:00,114
2019-04-28,05:00:00,199
2019-04-28,06:00:00,50
2019-04-28,07:00:00,74
2019-04-28,08:00:00,62
2019-04-28,09:00:00,65
2019-04-28,10:00:00,97
2019-04-28,11:00:00,44
2019-04-28,12:00:00,63
2019-04-28,13:00:00,42
2019-04-28,14:00:00,42
2019-04-28,15:00:00,102
2019-04-28,16:00:00,130
2019-04-28,17:00:00,4
2019-04-29,04:00:00,113
2019-04-29,05:00:00,306
2019-04-29,06:00:00,98
2019-04-29,07:00:00,16
2019-04-29,08:00:00,46
2019-04-29,09:00:00,46
2019-04-29,10:00:00,76
2019-04-29,11:00:00,45
2019-04-29,12:00:00,57
2019-04-29,13:00:00,47
2019-04-29,14:00:00,25
2019-04-29,15:00:00,66
2019-04-29,16:00:00,96
2019-04-29,17:00:00,0
2019-04-30,04:00:00,116
2019-04-30,05:00:00,210
2019-04-30,06:00:00,51
2019-04-30,07:00:00,33
2019-04-30,08:00:00,16
2019-04-30,09:00:00,53
2019-04-30,10:00:00,95
2019-04-30,11:00:00,30
2019-04-30,12:00:00,35
2019-04-30,13:00:00,44
2019-04-30,14:00:00,38
2019-04-30,15:00:00,74
2019-04-30,16:00:00,53
2019-04-30,17:00:00,0
2019-05-01,04:00:00,100
2019-05-01,05:00:00,191
2019-05-01,06:00:00,100
2019-05-01,07:00:00,26
2019-05-01,08:00:00,41
2019-05-01,09:00:00,46
2019-05-01,10:00:00,115
2019-05-01,11:00:00,54
2019-05-01,12:00:00,136
2019-05-01,13:00:00,34
2019-05-01,14:00:00,76
2019-05-01,15:00:00,76
2019-05-01,16:00:00,89
2019-05-01,17:00:00,28
2019-05-01,18:00:00,22
2019-05-01,19:00:00,54
2019-05-01,20:00:00,12
2019-05-02,04:00:00,104
2019-05-02,05:00:00,196
2019-05-02,06:00:00,121
2019-05-02,07:00:00,46
2019-05-02,08:00:00,103
2019-05-02,09:00:00,51
2019-05-02,10:00:00,112
2019-05-02,11:00:00,47
2019-05-02,12:00:00,21
2019-05-02,13:00:00,22
2019-05-02,14:00:00,81
2019-05-02,15:00:00,116
2019-05-02,16:00:00,57
2019-05-02,17:00:00,19
2019-05-02,18:00:00,0
2019-05-02,19:00:00,3
2019-05-03,04:00:00,158
2019-05-03,05:00:00,200
2019-05-03,06:00:00,163
2019-05-03,07:00:00,9
2019-05-03,08:00:00,38
2019-05-03,09:00:00,49
2019-05-03,10:00:00,56
2019-05-03,11:00:00,80
2019-05-03,12:00:00,44
2019-05-03,13:00:00,40
2019-05-03,14:00:00,54
2019-05-03,15:00:00,98
2019-05-03,16:00:00,107
2019-05-03,17:00:00,18
2019-05-04,04:00:00,131
2019-05-04,05:00:00,139
2019-05-04,06:00:00,66
2019-05-04,07:00:00,53
2019-05-04,08:00:00,25
2019-05-04,09:00:00,14
2019-05-04,10:00:00,71
2019-05-04,11:00:00,163
2019-05-04,12:00:00,42
2019-05-04,13:00:00,28
2019-05-04,14:00:00,18
2019-05-04,15:00:00,81
2019-05-04,16:00:00,81
