Date,Hour,AUG Gate 1
2019-04-28,06:00:00,4
2019-04-28,10:00:00,4
2019-04-28,15:00:00,8
2019-04-29,06:00:00,8
2019-04-29,10:00:00,4
2019-04-29,15:00:00,7
2019-04-30,06:00:00,5
2019-04-30,10:00:00,9
2019-04-30,15:00:00,7
2019-05-01,06:00:00,4
2019-05-01,10:00:00,2
2019-05-01,13:00:00,2
2019-05-01,14:00:00,4
2019-05-02,06:00:00,7
2019-05-02,10:00:00,8
2019-05-02,11:00:00,0
2019-05-02,16:00:00,2
2019-05-03,06:00:00,3
2019-05-03,10:00:00,5
2019-05-03,15:00:00,3
2019-05-04,06:00:00,5
2019-05-04,07:00:00,1
2019-05-04,15:00:00,1
