Date,Hour,AVL AVL-A
2019-04-28,04:00:00,217
2019-04-28,05:00:00,252
2019-04-28,06:00:00,299
2019-04-28,07:00:00,89
2019-04-28,08:00:00,78
2019-04-28,09:00:00,90
2019-04-28,10:00:00,58
2019-04-28,11:00:00,306
2019-04-28,12:00:00,213
2019-04-28,13:00:00,214
2019-04-28,14:00:00,285
2019-04-28,15:00:00,126
2019-04-28,16:00:00,210
2019-04-28,17:00:00,163
2019-04-28,18:00:00,72
2019-04-28,19:00:00,127
2019-04-28,20:00:00,16
2019-04-28,21:00:00,4
2019-04-29,04:00:00,206
2019-04-29,05:00:00,243
2019-04-29,06:00:00,318
2019-04-29,07:00:00,44
2019-04-29,08:00:00,120
2019-04-29,09:00:00,183
2019-04-29,10:00:00,157
2019-04-29,11:00:00,185
2019-04-29,12:00:00,97
2019-04-29,13:00:00,81
2019-04-29,14:00:00,123
2019-04-29,15:00:00,40
2019-04-29,16:00:00,126
2019-04-29,17:00:00,122
2019-04-29,18:00:00,261
2019-04-29,19:00:00,171
2019-04-29,20:00:00,48
2019-04-29,21:00:00,0
2019-04-30,04:00:00,85
2019-04-30,05:00:00,233
2019-04-30,06:00:00,158
2019-04-30,07:00:00,145
2019-04-30,08:00:00,128
2019-04-30,09:00:00,103
2019-04-30,10:00:00,93
2019-04-30,11:00:00,158
2019-04-30,12:00:00,107
2019-04-30,13:00:00,235
2019-04-30,14:00:00,160
2019-04-30,15:00:00,80
2019-04-30,16:00:00,157
2019-04-30,17:00:00,92
2019-04-30,18:00:00,24
2019-04-30,19:00:00,4
2019-04-30,20:00:00,0
2019-05-01,04:00:00,152
2019-05-01,05:00:00,196
2019-05-01,06:00:00,232
2019-05-01,07:00:00,78
2019-05-01,08:00:00,188
2019-05-01,09:00:00,220
2019-05-01,10:00:00,112
2019-05-01,11:00:00,208
2019-05-01,12:00:00,205
2019-05-01,13:00:00,97
2019-05-01,14:00:00,162
2019-05-01,15:00:00,111
2019-05-01,16:00:00,151
2019-05-01,17:00:00,121
2019-05-01,18:00:00,172
2019-05-01,19:00:00,25
2019-05-02,04:00:00,152
2019-05-02,05:00:00,245
2019-05-02,06:00:00,255
2019-05-02,07:00:00,107
2019-05-02,08:00:00,145
2019-05-02,09:00:00,94
2019-05-02,10:00:00,61
2019-05-02,11:00:00,258
2019-05-02,12:00:00,186
2019-05-02,13:00:00,146
2019-05-02,14:00:00,102
2019-05-02,15:00:00,58
2019-05-02,16:00:00,188
2019-05-02,17:00:00,140
2019-05-02,18:00:00,60
2019-05-02,19:00:00,102
2019-05-02,20:00:00,64
2019-05-02,21:00:00,4
2019-05-03,04:00:00,157
2019-05-03,05:00:00,272
2019-05-03,06:00:00,386
2019-05-03,07:00:00,130
2019-05-03,08:00:00,186
2019-05-03,09:00:00,268
2019-05-03,10:00:00,99
2019-05-03,11:00:00,247
2019-05-03,12:00:00,171
2019-05-03,13:00:00,254
2019-05-03,14:00:00,73
2019-05-03,15:00:00,71
2019-05-03,16:00:00,123
2019-05-03,17:00:00,137
2019-05-03,18:00:00,76
2019-05-03,19:00:00,55
2019-05-03,20:00:00,51
2019-05-04,04:00:00,135
2019-05-04,05:00:00,163
2019-05-04,06:00:00,270
2019-05-04,07:00:00,122
2019-05-04,08:00:00,266
2019-05-04,09:00:00,191
2019-05-04,10:00:00,99
2019-05-04,11:00:00,82
2019-05-04,12:00:00,171
2019-05-04,13:00:00,141
2019-05-04,14:00:00,84
2019-05-04,15:00:00,171
2019-05-04,16:00:00,128
2019-05-04,17:00:00,64
2019-05-04,18:00:00,28
2019-05-04,19:00:00,63
2019-05-04,20:00:00,44
