Date,Hour,ADK Checkpoint1
2019-01-02,16:00:00,15
2019-01-05,17:00:00,29
2019-01-09,17:00:00,24
2019-01-12,17:00:00,40
2019-01-16,17:00:00,27
2019-01-19,17:00:00,25
2019-01-23,16:00:00,16
2019-01-26,16:00:00,16
2019-01-30,17:00:00,21
2019-02-02,16:00:00,15
2019-02-06,16:00:00,19
2019-02-09,16:00:00,11
2019-02-13,16:00:00,11
2019-02-16,16:00:00,28
2019-02-20,17:00:00,29
2019-02-23,16:00:00,19
2019-03-03,16:00:00,33
2019-03-09,16:00:00,22
2019-03-13,16:00:00,28
2019-03-16,18:00:00,20
2019-03-20,17:00:00,90
2019-03-20,18:00:00,20
2019-03-23,17:00:00,62
2019-03-27,16:00:00,25
2019-03-30,16:00:00,14
2019-04-03,17:00:00,52
2019-04-06,17:00:00,71
2019-04-10,17:00:00,45
2019-04-13,16:00:00,33
2019-04-17,18:00:00,38
2019-04-20,16:00:00,23
2019-04-20,17:00:00,6
2019-04-24,16:00:00,29
2019-04-27,16:00:00,22
2019-05-01,16:00:00,26
2019-05-04,16:00:00,24
2019-05-08,16:00:00,9
2019-05-11,16:00:00,17
2019-05-15,16:00:00,17
2019-05-18,16:00:00,20
2019-05-22,16:00:00,15
2019-05-22,17:00:00,10
2019-05-25,16:00:00,31
2019-05-29,16:00:00,29
2019-06-01,16:00:00,14
2019-06-05,16:00:00,13
2019-06-08,16:00:00,33
2019-06-12,16:00:00,15
2019-06-12,17:00:00,22
2019-06-15,16:00:00,39
2019-06-19,16:00:00,42
2019-06-26,16:00:00,44
2019-06-26,17:00:00,113
2019-06-26,18:00:00,33
2019-06-29,16:00:00,54
2019-07-03,16:00:00,0
2019-07-03,17:00:00,53
2019-07-03,18:00:00,0
2019-07-06,16:00:00,14
2019-07-10,16:00:00,21
2019-07-13,16:00:00,61
2019-07-17,17:00:00,86
2019-07-20,16:00:00,40
2019-07-24,17:00:00,79
2019-07-27,16:00:00,20
2019-07-27,17:00:00,17
2019-07-31,15:00:00,37
2019-07-31,16:00:00,2
2019-08-03,19:00:00,3
2019-08-03,20:00:00,33
2019-08-07,16:00:00,16
2019-08-07,17:00:00,100
2019-08-10,16:00:00,41
2019-08-14,16:00:00,27
2019-08-17,16:00:00,40
2019-08-21,17:00:00,41
2019-08-24,16:00:00,40
2019-08-28,16:00:00,20
2019-08-28,17:00:00,2
2019-09-01,18:00:00,37
2019-09-04,16:00:00,18
2019-09-07,16:00:00,31
2019-09-11,16:00:00,27
2019-09-11,17:00:00,15
2019-09-14,16:00:00,58
2019-09-18,16:00:00,56
2019-09-18,17:00:00,1
2019-09-21,16:00:00,24
2019-09-25,16:00:00,25
2019-09-25,17:00:00,4
2019-09-28,16:00:00,27
2019-09-28,17:00:00,20
2019-10-02,16:00:00,15
2019-10-02,17:00:00,20
2019-10-05,16:00:00,25
2019-10-09,18:00:00,31
2019-10-12,16:00:00,17
2019-10-12,17:00:00,20
2019-10-16,16:00:00,6
2019-10-16,17:00:00,3
2019-10-19,16:00:00,14
2019-10-19,17:00:00,20
2019-10-23,16:00:00,25
2019-10-26,17:00:00,66
2019-10-26,18:00:00,3
2019-10-30,16:00:00,18
2019-11-02,17:00:00,57
2019-11-06,15:00:00,2
2019-11-06,16:00:00,12
2019-11-09,16:00:00,34
2019-11-09,17:00:00,40
2019-11-13,16:00:00,34
2019-11-16,16:00:00,17
2019-11-16,17:00:00,38
2019-11-20,16:00:00,58
2019-11-20,17:00:00,2
2019-11-23,16:00:00,32
2019-11-27,16:00:00,26
2019-11-30,16:00:00,40
2019-12-04,15:00:00,5
2019-12-04,16:00:00,21
2019-12-07,16:00:00,44
2019-12-07,17:00:00,140
2019-12-11,16:00:00,39
2019-12-14,16:00:00,49
2019-12-18,18:00:00,56
2019-12-22,16:00:00,32
2019-12-25,16:00:00,9
2019-12-28,16:00:00,25
2020-01-01,17:00:00,8
2020-01-04,16:00:00,45
2020-01-08,16:00:00,29
2020-01-11,16:00:00,37
2020-01-15,16:00:00,50
2020-01-18,15:00:00,17
2020-01-18,16:00:00,6
2020-01-22,15:00:00,27
2020-01-22,16:00:00,3
2020-01-25,16:00:00,34
2020-01-29,15:00:00,19
2020-02-01,15:00:00,11
2020-02-01,16:00:00,10
2020-02-05,16:00:00,14
2020-02-08,16:00:00,19
2020-02-16,15:00:00,44
2020-02-19,15:00:00,1
2020-02-19,16:00:00,25
2020-02-22,15:00:00,13
2020-02-26,16:00:00,12
2020-02-29,16:00:00,23
2020-03-04,15:00:00,21
2020-03-07,17:00:00,46
2020-03-11,17:00:00,15
2020-03-14,16:00:00,15
2020-03-21,16:00:00,28
2020-03-25,16:00:00,43
2020-03-28,16:00:00,71
2020-03-28,17:00:00,24
2020-04-01,19:00:00,9
2020-04-04,16:00:00,10
2020-04-08,16:00:00,36
2020-04-11,16:00:00,11
2020-04-15,16:00:00,37
2020-04-18,17:00:00,8
2020-04-22,16:00:00,5
2020-04-25,16:00:00,15
2020-04-29,16:00:00,4
2020-05-02,16:00:00,39
2020-05-06,16:00:00,10
2020-05-09,16:00:00,13
2020-05-13,17:00:00,16
2020-05-16,13:00:00,18
