Date,Hour,AKN ASAA SCP
2019-06-06,17:00:00,22
2019-06-07,17:00:00,35
2019-06-08,17:00:00,5
2019-06-09,17:00:00,23
2019-06-10,17:00:00,42
2019-06-11,17:00:00,26
2019-06-12,17:00:00,38
2019-06-13,17:00:00,36
2019-06-14,17:00:00,15
2019-06-15,17:00:00,31
2019-06-16,17:00:00,32
2019-06-17,17:00:00,27
2019-06-18,17:00:00,13
2019-06-19,17:00:00,17
2019-06-20,17:00:00,19
2019-06-21,17:00:00,29
2019-06-22,17:00:00,38
2019-06-23,17:00:00,32
2019-06-24,17:00:00,34
2019-06-25,17:00:00,39
2019-06-26,17:00:00,50
2019-06-27,17:00:00,45
2019-06-28,17:00:00,65
2019-06-29,17:00:00,49
2019-06-30,17:00:00,69
2019-07-01,17:00:00,39
2019-07-02,17:00:00,63
2019-07-03,17:00:00,83
2019-07-04,17:00:00,54
2019-07-05,17:00:00,50
2019-07-06,17:00:00,103
2019-07-07,17:00:00,118
2019-07-08,17:00:00,71
2019-07-09,16:00:00,11
2019-07-09,17:00:00,40
2019-07-10,17:00:00,51
2019-07-11,16:00:00,17
2019-07-11,17:00:00,60
2019-07-12,16:00:00,50
2019-07-12,17:00:00,58
2019-07-13,16:00:00,27
2019-07-13,17:00:00,100
2019-07-14,16:00:00,48
2019-07-14,17:00:00,50
2019-07-15,16:00:00,20
2019-07-15,17:00:00,65
2019-07-16,16:00:00,40
2019-07-16,17:00:00,61
2019-07-17,06:00:00,49
2019-07-17,07:00:00,70
2019-07-18,16:00:00,68
2019-07-18,17:00:00,76
2019-07-19,16:00:00,50
2019-07-19,17:00:00,82
2019-07-20,16:00:00,53
2019-07-20,17:00:00,107
2019-07-21,16:00:00,54
2019-07-21,17:00:00,70
2019-07-22,16:00:00,52
2019-07-22,17:00:00,95
2019-07-23,16:00:00,96
2019-07-23,17:00:00,51
2019-07-24,16:00:00,75
2019-07-24,17:00:00,69
2019-07-25,16:00:00,71
2019-07-25,17:00:00,87
2019-07-25,19:00:00,95
2019-07-25,20:00:00,74
2019-07-26,16:00:00,83
2019-07-26,17:00:00,80
2019-07-27,16:00:00,54
2019-07-27,17:00:00,34
2019-07-27,19:00:00,35
2019-07-27,20:00:00,105
2019-07-27,21:00:00,30
2019-07-28,16:00:00,67
2019-07-28,17:00:00,55
2019-07-29,16:00:00,71
2019-07-29,17:00:00,87
2019-07-30,13:00:00,105
2019-07-30,14:00:00,35
2019-07-30,16:00:00,75
2019-07-30,17:00:00,87
2019-07-31,16:00:00,77
2019-07-31,17:00:00,65
2019-08-01,16:00:00,80
2019-08-01,17:00:00,70
2019-08-02,16:00:00,76
2019-08-02,17:00:00,70
2019-08-03,16:00:00,49
2019-08-03,17:00:00,54
2019-08-04,16:00:00,61
2019-08-04,17:00:00,40
2019-08-05,16:00:00,75
2019-08-05,17:00:00,40
2020-05-19,17:00:00,23
2020-05-21,15:00:00,35
2020-05-26,15:00:00,5
2020-05-26,16:00:00,24
2020-05-26,17:00:00,2
2020-05-28,15:00:00,3
2020-05-28,16:00:00,27
2020-06-01,16:00:00,22
2020-06-02,15:00:00,18
2020-06-03,15:00:00,5
2020-06-04,08:00:00,10
2020-06-04,09:00:00,5
2020-06-04,15:00:00,16
2020-06-05,08:00:00,5
2020-06-05,09:00:00,8
2020-06-05,15:00:00,16
2020-06-05,16:00:00,8
2020-06-06,08:00:00,4
2020-06-06,12:00:00,2
2020-06-06,15:00:00,7
2020-06-07,08:00:00,8
2020-06-07,12:00:00,4
2020-06-07,15:00:00,11
2020-06-08,10:00:00,6
2020-06-08,15:00:00,8
2020-06-08,16:00:00,17
2020-06-09,15:00:00,4
2020-06-09,16:00:00,10
2020-06-10,08:00:00,1
2020-06-10,09:00:00,8
2020-06-10,15:00:00,9
2020-06-11,08:00:00,6
2020-06-11,09:00:00,1
2020-06-11,15:00:00,14
2020-06-11,16:00:00,8
2020-06-12,08:00:00,2
2020-06-12,09:00:00,6
2020-06-12,15:00:00,13
2020-06-12,16:00:00,6
2020-06-13,10:00:00,10
2020-06-13,15:00:00,6
2020-06-13,16:00:00,11
2020-06-14,10:00:00,15
2020-06-14,15:00:00,14
2020-06-14,16:00:00,7
2020-06-15,09:00:00,6
2020-06-15,10:00:00,2
2020-06-15,15:00:00,16
2020-06-15,16:00:00,4
2020-06-16,08:00:00,16
2020-06-16,15:00:00,13
2020-06-16,16:00:00,27
2020-06-17,15:00:00,14
2020-06-18,08:00:00,13
2020-06-18,09:00:00,8
2020-06-18,15:00:00,9
2020-06-18,16:00:00,2
2020-06-19,08:00:00,7
2020-06-19,09:00:00,5
2020-06-19,15:00:00,21
2020-06-19,16:00:00,1
2020-06-20,10:00:00,7
2020-06-20,15:00:00,18
2020-06-20,16:00:00,7
2020-06-21,10:00:00,12
2020-06-21,15:00:00,15
2020-06-21,16:00:00,4
2020-06-22,10:00:00,21
2020-06-22,15:00:00,17
2020-06-22,16:00:00,3
2020-06-23,08:00:00,11
2020-06-23,15:00:00,21
2020-06-24,08:00:00,6
2020-06-24,09:00:00,2
2020-06-24,15:00:00,4
2020-06-24,16:00:00,13
2020-06-25,09:00:00,14
2020-06-25,15:00:00,8
2020-06-25,16:00:00,28
2020-06-26,08:00:00,12
2020-06-26,15:00:00,23
2020-06-26,16:00:00,12
2020-06-27,10:00:00,15
2020-06-27,15:00:00,20
2020-06-27,16:00:00,16
2020-06-28,10:00:00,20
2020-06-28,11:00:00,12
2020-06-28,15:00:00,25
2020-06-28,16:00:00,13
2020-06-29,10:00:00,31
2020-06-29,15:00:00,20
2020-06-30,08:00:00,17
2020-06-30,09:00:00,8
2020-06-30,15:00:00,13
2020-07-01,16:00:00,51
2020-07-02,16:00:00,49
2020-07-02,17:00:00,15
2020-07-03,16:00:00,60
2020-07-04,16:00:00,83
2020-07-05,16:00:00,76
2020-07-06,15:00:00,14
2020-07-06,16:00:00,59
2020-07-07,03:00:00,8
2020-07-07,04:00:00,42
2020-07-08,15:00:00,7
2020-07-08,16:00:00,76
2020-07-09,15:00:00,17
2020-07-09,16:00:00,82
2020-07-10,15:00:00,37
2020-07-10,16:00:00,75
2020-07-11,15:00:00,31
2020-07-11,16:00:00,53
2020-07-12,15:00:00,34
2020-07-12,16:00:00,84
2020-07-13,15:00:00,48
2020-07-13,16:00:00,63
2020-07-14,15:00:00,37
2020-07-14,16:00:00,71
2020-07-15,15:00:00,24
2020-07-15,16:00:00,102
2020-07-16,15:00:00,60
2020-07-16,16:00:00,53
2020-07-17,16:00:00,113
2020-07-18,09:00:00,47
2020-07-18,10:00:00,59
2020-07-18,15:00:00,41
2020-07-18,16:00:00,87
2020-07-19,09:00:00,47
2020-07-19,10:00:00,75
2020-07-19,15:00:00,50
2020-07-19,16:00:00,79
2020-07-20,09:00:00,43
2020-07-20,10:00:00,87
2020-07-20,15:00:00,44
2020-07-20,16:00:00,77
2020-07-21,10:00:00,40
2020-07-21,11:00:00,100
2020-07-21,15:00:00,13
2020-07-21,16:00:00,79
2020-07-22,08:00:00,35
2020-07-22,09:00:00,47
2020-07-22,10:00:00,45
2020-07-22,15:00:00,43
2020-07-22,16:00:00,67
2020-07-23,09:00:00,27
