Date,Hour,BBG Checkpoint 1
2019-04-13,17:00:00,22
2019-04-13,18:00:00,62
2019-04-13,19:00:00,26
2019-04-15,17:00:00,52
2019-04-15,18:00:00,28
2019-04-15,19:00:00,4
2019-04-17,17:00:00,47
2019-04-17,18:00:00,117
2019-04-17,19:00:00,16
2019-04-20,17:00:00,74
2019-04-20,18:00:00,79
2019-04-20,19:00:00,7
2019-04-22,17:00:00,72
2019-04-22,18:00:00,52
2019-04-22,19:00:00,15
2019-04-22,20:00:00,18
2019-04-22,21:00:00,3
2019-04-24,17:00:00,43
2019-04-24,18:00:00,55
2019-04-24,19:00:00,1
2019-04-27,16:00:00,77
2019-04-27,17:00:00,93
2019-04-27,18:00:00,0
2019-04-29,17:00:00,69
2019-04-29,18:00:00,68
2019-05-01,11:00:00,17
2019-05-01,12:00:00,98
2019-05-01,13:00:00,47
2019-05-01,14:00:00,7
2019-05-01,15:00:00,25
2019-05-01,16:00:00,16
2019-05-01,17:00:00,0
2019-05-01,18:00:00,0
2019-05-01,19:00:00,25
2019-05-01,20:00:00,47
2019-05-01,21:00:00,8
2019-05-01,22:00:00,1
2019-05-04,12:00:00,59
2019-05-04,13:00:00,84
2019-05-04,14:00:00,6
2019-05-04,15:00:00,49
2019-05-04,16:00:00,1
2019-05-04,17:00:00,0
2019-05-04,18:00:00,0
2019-05-04,19:00:00,32
2019-05-04,20:00:00,0
2019-05-04,21:00:00,1
2019-05-05,16:00:00,12
2019-05-05,17:00:00,32
2019-05-05,18:00:00,0
2019-05-06,11:00:00,24
2019-05-06,12:00:00,77
2019-05-06,13:00:00,33
2019-05-08,11:00:00,10
2019-05-08,12:00:00,36
2019-05-08,13:00:00,80
2019-05-08,14:00:00,11
2019-05-08,15:00:00,36
2019-05-08,16:00:00,16
2019-05-08,19:00:00,57
2019-05-08,20:00:00,48
2019-05-08,21:00:00,0
2019-05-11,13:00:00,66
2019-05-11,14:00:00,33
2019-05-11,15:00:00,71
2019-05-11,16:00:00,43
2019-05-11,17:00:00,11
2019-05-11,18:00:00,0
2019-05-11,19:00:00,47
2019-05-11,20:00:00,53
2019-05-11,21:00:00,0
2019-05-12,17:00:00,29
2019-05-12,18:00:00,43
2019-05-12,19:00:00,14
2019-05-12,20:00:00,0
2019-05-13,11:00:00,3
2019-05-13,12:00:00,37
2019-05-13,13:00:00,102
2019-05-13,14:00:00,2
2019-05-15,12:00:00,64
2019-05-15,13:00:00,80
2019-05-15,14:00:00,12
2019-05-15,15:00:00,64
2019-05-15,16:00:00,23
2019-05-15,19:00:00,36
2019-05-15,20:00:00,49
2019-05-15,21:00:00,2
2019-05-18,13:00:00,22
2019-05-18,19:00:00,27
2019-05-18,20:00:00,43
2019-05-18,21:00:00,8
2019-05-19,16:00:00,49
2019-05-19,17:00:00,125
2019-05-19,18:00:00,24
2019-05-20,12:00:00,47
2019-05-20,13:00:00,84
2019-05-20,14:00:00,1
2019-05-22,12:00:00,71
2019-05-22,13:00:00,67
2019-05-22,14:00:00,8
2019-05-22,15:00:00,28
2019-05-22,16:00:00,7
2019-05-22,19:00:00,26
2019-05-22,20:00:00,44
2019-05-25,12:00:00,72
2019-05-25,13:00:00,72
2019-05-25,14:00:00,0
2019-05-26,16:00:00,21
2019-05-26,17:00:00,51
2019-05-26,18:00:00,9
2019-05-27,12:00:00,77
2019-05-27,13:00:00,74
2019-05-29,12:00:00,90
2019-05-29,13:00:00,61
2019-05-29,14:00:00,17
2019-05-29,15:00:00,59
2019-05-29,16:00:00,22
2019-05-29,17:00:00,0
2019-05-29,18:00:00,17
2019-05-29,19:00:00,0
2019-05-29,20:00:00,94
2019-05-29,21:00:00,7
2019-05-29,22:00:00,5
2019-05-29,23:00:00,1
2019-06-01,12:00:00,90
2019-06-01,13:00:00,56
2019-06-01,14:00:00,5
2019-06-01,15:00:00,36
2019-06-01,16:00:00,16
2019-06-01,19:00:00,42
2019-06-01,20:00:00,39
2019-06-01,21:00:00,4
2019-06-02,16:00:00,65
2019-06-02,17:00:00,92
2019-06-02,18:00:00,14
2019-06-03,12:00:00,62
2019-06-03,13:00:00,45
2019-06-03,14:00:00,5
2019-06-05,12:00:00,53
2019-06-05,13:00:00,102
2019-06-05,14:00:00,35
