Date,Hour,BIH Checkpoint 1
2021-12-19,11:00:00,5
2021-12-19,12:00:00,63
2021-12-19,13:00:00,12
2021-12-19,14:00:00,7
2021-12-19,15:00:00,52
2021-12-20,12:00:00,5
2021-12-20,13:00:00,22
2021-12-20,14:00:00,18
2021-12-20,15:00:00,3
2021-12-20,16:00:00,29
2021-12-24,12:00:00,34
2021-12-24,13:00:00,0
2021-12-24,16:00:00,12
2021-12-24,17:00:00,0
2021-12-25,12:00:00,5
2021-12-25,13:00:00,9
2021-12-25,14:00:00,0
2021-12-25,15:00:00,0
2021-12-25,16:00:00,0
2021-12-25,17:00:00,14
2021-12-25,18:00:00,0
2021-12-25,19:00:00,0
2021-12-25,20:00:00,0
2021-12-25,21:00:00,0
2021-12-25,22:00:00,0
2021-12-25,23:00:00,0
2021-12-26,13:00:00,28
2021-12-26,14:00:00,29
2021-12-26,15:00:00,37
2021-12-26,16:00:00,14
2021-12-27,13:00:00,42
2021-12-27,14:00:00,28
2021-12-27,15:00:00,0
2021-12-27,16:00:00,32
2021-12-27,17:00:00,13
2021-12-28,12:00:00,59
2021-12-28,14:00:00,53
2021-12-28,15:00:00,36
2021-12-29,12:00:00,36
2021-12-31,13:00:00,21
2021-12-31,15:00:00,30
2021-12-31,16:00:00,39
2022-01-01,00:00:00,0
2022-01-01,01:00:00,0
2022-01-01,02:00:00,0
2022-01-01,03:00:00,0
2022-01-01,04:00:00,0
2022-01-01,05:00:00,0
2022-01-01,06:00:00,0
2022-01-01,07:00:00,0
2022-01-01,08:00:00,0
2022-01-01,09:00:00,0
2022-01-01,10:00:00,0
2022-01-01,11:00:00,0
2022-01-01,12:00:00,0
2022-01-01,13:00:00,42
2022-01-01,14:00:00,40
2022-01-01,15:00:00,0
2022-01-01,16:00:00,30
2022-01-01,17:00:00,0
2022-01-01,18:00:00,0
2022-01-01,19:00:00,0
2022-01-01,20:00:00,0
2022-01-01,21:00:00,0
2022-01-01,22:00:00,0
2022-01-01,23:00:00,0
2022-01-02,14:00:00,55
2022-01-02,17:00:00,22
2022-01-02,19:00:00,35
2022-01-03,00:00:00,0
2022-01-03,01:00:00,0
2022-01-03,02:00:00,0
2022-01-03,03:00:00,0
2022-01-03,04:00:00,0
2022-01-03,05:00:00,0
2022-01-03,06:00:00,0
2022-01-03,07:00:00,0
2022-01-03,08:00:00,0
2022-01-03,09:00:00,0
2022-01-03,10:00:00,0
2022-01-03,11:00:00,0
2022-01-03,12:00:00,44
2022-01-03,13:00:00,43
2022-01-03,14:00:00,0
2022-01-03,15:00:00,0
2022-01-03,16:00:00,39
2022-01-03,17:00:00,0
2022-01-03,18:00:00,0
2022-01-03,19:00:00,0
2022-01-03,20:00:00,0
2022-01-03,21:00:00,0
2022-01-03,22:00:00,0
2022-01-03,23:00:00,0
2022-01-04,07:00:00,0
2022-01-05,12:00:00,43
2022-01-05,16:00:00,32
2022-01-06,14:00:00,20
2022-01-06,16:00:00,12
2022-01-07,12:00:00,37
2022-01-07,16:00:00,18
2022-01-08,12:00:00,44
2022-01-08,15:00:00,19
2022-01-08,16:00:00,15
2022-01-09,12:00:00,70
2022-01-09,14:00:00,53
2022-01-09,16:00:00,45
2022-01-09,17:00:00,45
2022-01-10,12:00:00,50
2022-01-10,16:00:00,40
2022-01-11,14:00:00,17
2022-01-11,15:00:00,2
2022-01-12,12:00:00,27
2022-01-12,14:00:00,16
2022-01-13,15:00:00,13
2022-01-13,16:00:00,19
2022-01-14,12:00:00,40
2022-01-14,14:00:00,15
2022-01-14,16:00:00,18
2022-01-15,12:00:00,28
2022-01-15,14:00:00,5
2022-01-15,16:00:00,5
2022-01-16,12:00:00,18
2022-01-16,15:00:00,34
2022-01-16,21:00:00,4
2022-01-17,11:00:00,62
2022-01-17,14:00:00,73
2022-01-17,16:00:00,34
2022-01-17,21:00:00,4
2022-01-18,15:00:00,10
2022-01-19,12:00:00,37
2022-01-19,16:00:00,16
2022-01-20,14:00:00,13
2022-01-20,16:00:00,13
2022-01-21,12:00:00,25
2022-01-21,14:00:00,14
2022-01-21,16:00:00,11
2022-01-22,14:00:00,57
2022-01-22,18:00:00,8
2022-01-23,12:00:00,37
2022-01-23,15:00:00,41
2022-01-23,17:00:00,56
2022-01-24,12:00:00,29
2022-01-24,14:00:00,20
2022-01-24,16:00:00,20
2022-01-25,14:00:00,14
2022-01-26,12:00:00,36
2022-01-26,14:00:00,18
2022-01-27,14:00:00,20
2022-01-27,16:00:00,21
2022-01-28,12:00:00,38
2022-01-28,14:00:00,11
2022-01-28,16:00:00,9
2022-01-29,12:00:00,29
2022-01-29,14:00:00,11
2022-01-29,16:00:00,18
2022-01-30,13:00:00,59
2022-01-30,15:00:00,44
2022-01-30,16:00:00,32
2022-01-31,12:00:00,35
2022-01-31,15:00:00,16
2022-01-31,16:00:00,8
2022-02-01,13:00:00,26
2022-02-02,12:00:00,33
2022-02-02,16:00:00,17
2022-02-03,14:00:00,22
2022-02-03,16:00:00,13
2022-02-04,12:00:00,39
2022-02-04,14:00:00,22
2022-02-04,16:00:00,14
2022-02-05,12:00:00,22
2022-02-05,14:00:00,18
2022-02-05,16:00:00,14
2022-02-06,12:00:00,66
2022-02-06,14:00:00,60
2022-02-06,17:00:00,42
2022-02-07,12:00:00,58
2022-02-07,14:00:00,40
2022-02-07,16:00:00,22
2022-02-08,14:00:00,34
2022-02-09,12:00:00,43
2022-02-09,16:00:00,21
2022-02-10,14:00:00,32
2022-02-10,16:00:00,30
2022-02-11,12:00:00,61
2022-02-11,14:00:00,17
2022-02-11,15:00:00,14
2022-02-12,02:00:00,0
2022-02-12,03:00:00,0
2022-02-12,04:00:00,0
2022-02-12,05:00:00,0
2022-02-12,06:00:00,0
2022-02-12,07:00:00,0
2022-02-12,08:00:00,0
2022-02-12,09:00:00,0
2022-02-12,10:00:00,12
2022-02-12,11:00:00,0
2022-02-12,12:00:00,0
2022-02-12,13:00:00,0
2022-02-12,14:00:00,36
2022-02-12,15:00:00,0
2022-02-12,16:00:00,29
2022-02-12,17:00:00,0
2022-02-12,18:00:00,0
2022-02-12,19:00:00,0
2022-02-12,20:00:00,0
2022-02-12,21:00:00,0
2022-02-12,22:00:00,0
2022-02-12,23:00:00,0
2022-02-13,03:00:00,0
2022-02-13,04:00:00,0
2022-02-13,05:00:00,0
2022-02-13,06:00:00,0
2022-02-13,07:00:00,0
2022-02-13,08:00:00,0
2022-02-13,09:00:00,35
2022-02-13,10:00:00,0
2022-02-13,11:00:00,0
2022-02-13,12:00:00,47
2022-02-13,13:00:00,0
2022-02-13,14:00:00,0
2022-02-13,15:00:00,63
2022-02-13,16:00:00,0
2022-02-13,17:00:00,0
2022-02-13,18:00:00,0
2022-02-13,19:00:00,0
2022-02-13,20:00:00,0
2022-02-13,21:00:00,0
2022-02-13,22:00:00,0
2022-02-13,23:00:00,0
2022-02-14,12:00:00,68
2022-02-14,13:00:00,56
2022-02-14,15:00:00,24
2022-02-15,17:00:00,24
2022-02-16,12:00:00,30
2022-02-16,13:00:00,28
2022-02-17,10:00:00,21
2022-02-17,12:00:00,29
2022-02-17,16:00:00,16
2022-02-18,09:00:00,31
2022-02-18,12:00:00,48
2022-02-18,14:00:00,16
2022-02-19,09:00:00,13
2022-02-19,12:00:00,28
2022-02-19,16:00:00,7
2022-02-20,10:00:00,21
2022-02-20,14:00:00,22
2022-02-20,15:00:00,27
2022-02-21,09:00:00,63
2022-02-21,13:00:00,59
2022-02-21,14:00:00,70
2022-02-22,15:00:00,41
2022-02-23,14:00:00,42
2022-02-24,12:00:00,46
2022-02-24,16:00:00,25
2022-02-25,12:00:00,53
2022-02-25,13:00:00,36
2022-02-26,10:00:00,42
2022-02-26,12:00:00,39
2022-02-26,14:00:00,42
2022-02-27,09:00:00,48
2022-02-27,12:00:00,56
2022-02-27,15:00:00,52
2022-02-28,12:00:00,60
2022-02-28,13:00:00,63
2022-03-01,10:00:00,17
2022-03-01,15:00:00,26
2022-03-02,12:00:00,18
2022-03-02,13:00:00,73
2022-03-03,12:00:00,39
2022-03-03,13:00:00,19
2022-03-03,15:00:00,10
2022-03-04,12:00:00,67
2022-03-04,13:00:00,15
2022-03-04,15:00:00,17
2022-03-05,09:00:00,55
2022-03-05,12:00:00,56
2022-03-05,15:00:00,27
2022-03-06,10:00:00,64
2022-03-06,13:00:00,70
2022-03-06,15:00:00,70
2022-03-07,12:00:00,70
2022-03-07,13:00:00,63
2022-03-07,19:00:00,19
2022-03-08,13:00:00,37
2022-03-08,15:00:00,28
2022-03-09,12:00:00,42
2022-03-09,14:00:00,23
2022-03-09,15:00:00,29
2022-03-10,12:00:00,70
2022-03-10,13:00:00,21
2022-03-10,15:00:00,37
2022-03-11,12:00:00,56
2022-03-11,13:00:00,15
2022-03-11,15:00:00,19
2022-03-12,09:00:00,45
2022-03-12,12:00:00,44
2022-03-12,15:00:00,11
2022-03-13,09:00:00,32
2022-03-13,12:00:00,61
2022-03-13,15:00:00,70
2022-03-14,14:00:00,47
2022-03-14,15:00:00,51
2022-03-14,16:00:00,50
2022-03-15,12:00:00,67
2022-03-15,13:00:00,22
2022-03-15,15:00:00,8
2022-03-16,11:00:00,58
2022-03-16,13:00:00,14
2022-03-16,15:00:00,17
2022-03-17,12:00:00,44
2022-03-17,13:00:00,27
2022-03-17,15:00:00,30
2022-03-18,12:00:00,70
2022-03-18,13:00:00,49
2022-03-18,15:00:00,23
2022-03-19,09:00:00,42
2022-03-19,12:00:00,53
2022-03-19,14:00:00,21
2022-03-20,10:00:00,66
2022-03-20,12:00:00,67
2022-03-20,16:00:00,68
2022-03-21,12:00:00,74
2022-03-21,14:00:00,49
2022-03-21,15:00:00,56
2022-03-22,12:00:00,63
2022-03-22,13:00:00,33
2022-03-23,12:00:00,46
2022-03-23,13:00:00,25
2022-03-23,15:00:00,25
2022-03-24,12:00:00,37
2022-03-24,13:00:00,30
2022-03-24,15:00:00,9
2022-03-25,12:00:00,73
2022-03-25,13:00:00,12
2022-03-25,15:00:00,17
2022-03-26,09:00:00,63
2022-03-26,12:00:00,70
2022-03-26,14:00:00,32
2022-03-27,00:00:00,0
2022-03-28,00:00:00,0
2022-06-04,10:00:00,10
2022-06-05,14:00:00,20
2022-06-06,14:00:00,0
2022-06-07,14:00:00,0
2022-06-08,14:00:00,0
2022-06-11,14:00:00,37
2022-06-12,14:00:00,11
2022-06-13,14:00:00,0
2022-06-14,14:00:00,0
2022-06-15,14:00:00,0
2022-06-19,14:00:00,0
2022-06-20,05:00:00,0
2022-06-21,05:00:00,0
2022-06-22,07:00:00,0
2022-06-23,05:00:00,0
2022-06-24,14:00:00,33
2022-06-25,05:00:00,0
2022-06-26,14:00:00,31
2022-06-27,05:00:00,0
2022-06-28,14:00:00,16
2022-06-29,14:00:00,29
2022-06-30,14:00:00,10
2022-07-01,13:00:00,9
2022-07-01,14:00:00,19
2022-07-03,13:00:00,0
2022-07-03,14:00:00,32
2022-07-04,14:00:00,35
2022-07-05,14:00:00,56
2022-07-06,14:00:00,31
2022-07-07,14:00:00,38
2022-07-08,14:00:00,45
2022-07-09,11:00:00,0
2022-07-10,14:00:00,49
2022-07-11,14:00:00,23
2022-07-12,14:00:00,14
2022-07-13,14:00:00,25
2022-07-14,14:00:00,31
2022-07-15,14:00:00,34
2022-07-16,07:00:00,0
2022-07-17,14:00:00,31
2022-07-18,14:00:00,39
2022-07-19,14:00:00,38
2022-07-20,13:00:00,0
2022-07-21,10:00:00,10
2022-07-21,14:00:00,24
2022-07-22,14:00:00,37
2022-07-23,05:00:00,0
2022-07-24,14:00:00,60
2022-07-25,14:00:00,32
2022-07-26,14:00:00,19
2022-07-27,14:00:00,27
2022-07-28,14:00:00,42
2022-07-29,14:00:00,58
2022-07-30,14:00:00,0
2022-07-31,14:00:00,56
2022-08-01,14:00:00,42
2022-08-02,14:00:00,35
2022-08-03,14:00:00,16
2022-08-04,14:00:00,19
2022-08-05,14:00:00,30
2022-08-07,14:00:00,55
2022-08-08,14:00:00,48
2022-08-09,14:00:00,32
2022-08-10,14:00:00,31
2022-08-11,14:00:00,42
2022-08-12,14:00:00,39
2022-08-14,14:00:00,53
2022-08-15,14:00:00,32
2022-08-16,14:00:00,37
2022-08-17,14:00:00,25
2022-08-18,14:00:00,32
2022-08-19,14:00:00,36
2022-08-21,14:00:00,69
2022-08-22,14:00:00,46
2022-08-23,14:00:00,24
2022-08-24,14:00:00,28
2022-08-25,14:00:00,26
2022-08-26,14:00:00,33
2022-08-28,14:00:00,58
2022-08-29,14:00:00,32
2022-08-30,14:00:00,22
2022-08-31,14:00:00,15
2022-09-01,14:00:00,17
2022-09-02,14:00:00,15
2022-09-04,14:00:00,42
2022-09-05,14:00:00,65
2022-12-16,12:00:00,42
2022-12-16,14:00:00,33
2022-12-17,14:00:00,58
2022-12-17,15:00:00,18
2022-12-18,12:00:00,55
2022-12-18,14:00:00,38
2022-12-19,12:00:00,52
2022-12-19,14:00:00,35
2022-12-20,12:00:00,53
2022-12-20,14:00:00,20
2022-12-21,13:00:00,72
2022-12-21,14:00:00,72
2022-12-23,13:00:00,86
2022-12-23,14:00:00,76
2022-12-24,12:00:00,42
2022-12-24,19:00:00,20
2022-12-25,12:00:00,30
2022-12-25,14:00:00,30
2022-12-26,12:00:00,72
2022-12-26,17:00:00,64
2022-12-27,12:00:00,62
2022-12-27,14:00:00,56
2022-12-28,14:00:00,55
2022-12-29,14:00:00,116
2022-12-30,08:00:00,46
2022-12-30,14:00:00,93
2022-12-31,12:00:00,56
2022-12-31,19:00:00,50
2023-01-01,13:00:00,66
2023-01-01,14:00:00,76
2023-01-01,16:00:00,37
2023-01-02,12:00:00,83
2023-01-02,17:00:00,76
2023-01-02,19:00:00,53
2023-01-03,12:00:00,66
2023-01-03,15:00:00,68
2023-01-04,12:00:00,72
2023-01-05,12:00:00,32
2023-01-05,15:00:00,31
2023-01-06,12:00:00,61
2023-01-06,14:00:00,44
2023-01-07,12:00:00,62
2023-01-07,14:00:00,24
2023-01-08,12:00:00,60
2023-01-09,12:00:00,25
2023-01-10,12:00:00,24
2023-01-11,13:00:00,36
2023-01-12,12:00:00,67
2023-01-12,14:00:00,28
2023-01-13,12:00:00,84
2023-01-14,12:00:00,59
2023-01-14,14:00:00,11
2023-01-15,12:00:00,50
2023-01-15,14:00:00,45
2023-01-16,12:00:00,57
2023-01-17,12:00:00,47
2023-01-18,12:00:00,21
2023-01-19,12:00:00,19
2023-01-19,14:00:00,16
2023-01-20,12:00:00,48
2023-01-20,14:00:00,20
2023-01-21,12:00:00,65
2023-01-21,14:00:00,15
2023-01-22,12:00:00,74
2023-01-22,14:00:00,54
2023-01-23,12:00:00,49
2023-01-24,12:00:00,44
2023-01-25,12:00:00,41
2023-01-26,12:00:00,39
2023-01-26,14:00:00,30
2023-01-27,12:00:00,80
2023-01-27,14:00:00,18
2023-01-28,12:00:00,82
2023-01-28,14:00:00,32
2023-01-29,12:00:00,73
2023-01-29,17:00:00,54
2023-01-30,12:00:00,54
2023-01-30,14:00:00,0
2023-01-31,12:00:00,64
2023-02-01,12:00:00,48
2023-02-02,12:00:00,54
2023-02-02,14:00:00,26
2023-02-03,12:00:00,88
2023-02-03,14:00:00,24
2023-02-04,12:00:00,66
2023-02-04,14:00:00,0
2023-02-04,15:00:00,26
2023-02-05,12:00:00,68
2023-02-05,14:00:00,64
2023-02-06,12:00:00,69
2023-02-06,14:00:00,53
2023-02-07,12:00:00,91
2023-02-08,12:00:00,61
2023-02-09,12:00:00,69
2023-02-09,14:00:00,29
2023-02-10,12:00:00,68
2023-02-10,14:00:00,26
2023-02-11,11:00:00,64
2023-02-11,12:00:00,0
2023-02-11,13:00:00,14
2023-02-11,14:00:00,50
2023-02-11,15:00:00,5
2023-02-12,12:00:00,70
2023-02-12,14:00:00,51
2023-02-13,12:00:00,63
2023-02-13,14:00:00,46
2023-02-14,12:00:00,57
2023-02-15,12:00:00,62
2023-02-15,14:00:00,30
2023-02-16,13:00:00,24
2023-02-16,14:00:00,21
2023-02-16,15:00:00,28
2023-02-17,12:00:00,82
2023-02-17,14:00:00,30
2023-02-18,12:00:00,51
2023-02-18,13:00:00,14
2023-02-19,12:00:00,78
2023-02-19,14:00:00,39
2023-02-20,12:00:00,47
2023-02-20,13:00:00,42
2023-02-20,14:00:00,33
2023-02-21,12:00:00,54
2023-02-22,12:00:00,35
2023-02-22,13:00:00,2
2023-02-22,14:00:00,26
2023-02-23,12:00:00,47
2023-02-23,13:00:00,2
2023-02-23,14:00:00,51
2023-02-23,15:00:00,1
2023-02-25,13:00:00,0
2023-02-26,12:00:00,41
2023-02-26,13:00:00,33
2023-02-26,14:00:00,53
2023-02-27,12:00:00,60
2023-02-27,16:00:00,23
2023-02-28,08:00:00,47
2023-02-28,12:00:00,29
2023-03-01,13:00:00,32
2023-03-01,14:00:00,14
2023-03-02,12:00:00,78
2023-03-02,14:00:00,45
2023-03-03,12:00:00,71
2023-03-03,13:00:00,53
2023-03-04,12:00:00,35
