Date,Hour,CDB CDB Checkpoint
2020-05-16,16:00:00,34.0
2020-05-20,16:00:00,29.0
2020-05-20,17:00:00,2.0
2020-05-23,16:00:00,27.0
2020-05-23,17:00:00,27.0
2020-05-27,17:00:00,58.0
2020-05-30,17:00:00,23.0
2020-05-30,18:00:00,20.0
2020-06-03,16:00:00,26.0
2020-06-03,17:00:00,26.0
2020-06-06,16:00:00,25.0
2020-06-06,17:00:00,25.0
2020-06-10,16:00:00,20.0
2020-06-10,17:00:00,50.0
2020-06-10,18:00:00,3.0
2020-06-13,16:00:00,25.0
2020-06-13,17:00:00,3.0
2020-06-17,16:00:00,17.0
2020-06-17,17:00:00,38.0
2020-06-20,16:00:00,11.0
2020-06-20,17:00:00,110.0
2020-06-24,12:00:00,1.0
2020-06-24,17:00:00,45.0
2020-06-24,18:00:00,18.0
2020-06-27,12:00:00,6.0
2020-06-27,17:00:00,66.0
2020-07-01,17:00:00,59.0
2020-07-06,16:00:00,32.0
2020-07-08,16:00:00,63.0
2020-07-11,16:00:00,35.0
2020-07-11,17:00:00,40.0
2020-07-15,17:00:00,61.0
2020-07-18,17:00:00,14.0
2020-07-18,18:00:00,20.0
2020-07-22,16:00:00,79.0
2020-07-25,16:00:00,43.0
2020-07-25,17:00:00,44.0
2020-07-29,19:00:00,31.0
2020-07-29,20:00:00,55.0
2020-08-01,17:00:00,81.0
2020-08-05,16:00:00,35.0
2020-08-05,17:00:00,42.0
2020-08-08,17:00:00,92.0
2020-08-12,16:00:00,65.0
2020-08-12,17:00:00,10.0
2020-08-15,17:00:00,56.0
2020-08-19,15:00:00,7.0
2020-08-19,16:00:00,76.0
2020-08-19,17:00:00,9.0
2020-08-22,13:00:00,55.0
2020-08-22,14:00:00,50.0
2020-08-22,16:00:00,135.0
2020-08-22,17:00:00,3.0
2020-08-26,16:00:00,90.0
2020-08-26,17:00:00,3.0
2020-08-29,17:00:00,88.0
2020-09-02,16:00:00,2.0
2020-09-02,17:00:00,120.0
2020-09-05,18:00:00,130.0
2020-09-09,17:00:00,66.0
2020-09-09,18:00:00,69.0
2020-09-12,17:00:00,68.0
2020-09-12,18:00:00,55.0
2020-09-16,17:00:00,105.0
2020-09-19,21:00:00,72.0
2020-09-19,22:00:00,72.0
2020-09-23,15:00:00,97.0
2020-09-23,16:00:00,0.0
2020-09-26,17:00:00,100.0
2020-09-30,17:00:00,50.0
2020-09-30,18:00:00,59.0
2020-10-03,17:00:00,7.0
2020-10-03,18:00:00,90.0
2020-10-03,19:00:00,20.0
2020-10-07,15:00:00,0.0
2020-10-07,16:00:00,126.0
2020-10-07,17:00:00,0.0
2020-10-10,16:00:00,2.0
2020-10-10,17:00:00,117.0
2020-10-14,16:00:00,51.0
2020-10-14,17:00:00,51.0
2020-10-17,17:00:00,125.0
2020-10-22,14:00:00,76.0
2020-10-22,15:00:00,2.0
2020-10-24,16:00:00,93.0
2020-10-28,16:00:00,51.0
2020-10-28,17:00:00,27.0
2020-10-31,16:00:00,59.0
2020-11-04,17:00:00,105.0
2020-11-04,18:00:00,2.0
2020-11-07,17:00:00,98.0
2020-11-07,18:00:00,29.0
2020-11-13,13:00:00,2.0
2020-11-13,14:00:00,104.0
2020-11-13,15:00:00,9.0
2020-11-14,16:00:00,20.0
2020-11-14,17:00:00,76.0
2020-11-14,18:00:00,2.0
2020-11-18,17:00:00,50.0
2020-11-18,18:00:00,47.0
2020-11-21,17:00:00,100.0
2020-11-21,18:00:00,17.0
2020-12-02,17:00:00,27.0
2020-12-05,17:00:00,22.0
2020-12-09,15:00:00,6.0
2020-12-09,16:00:00,39.0
2020-12-12,17:00:00,44.0
2020-12-16,16:00:00,30.0
2020-12-19,17:00:00,65.0
2020-12-23,16:00:00,13.0
2020-12-26,12:00:00,24.0
2020-12-30,16:00:00,31.0
2021-01-02,16:00:00,20.0
2021-01-06,17:00:00,5.0
2021-01-09,16:00:00,17.0
2021-01-13,17:00:00,29.0
2021-01-20,17:00:00,29.0
2021-01-23,17:00:00,18.0
2021-01-27,17:00:00,25.0
2021-01-30,18:00:00,12.0
2021-02-03,17:00:00,21.0
2021-02-06,17:00:00,38.0
2021-02-10,17:00:00,27.0
2021-02-17,17:00:00,29.0
2021-02-20,18:00:00,29.0
2021-02-24,16:00:00,27.0
2021-02-27,17:00:00,13.0
2021-03-03,16:00:00,14.0
2021-03-06,16:00:00,20.0
2021-03-10,17:00:00,33.0
2021-03-13,18:00:00,15.0
2021-03-17,17:00:00,32.0
2021-03-20,16:00:00,35.0
2021-03-20,17:00:00,2.0
2021-03-24,16:00:00,48.0
2021-03-24,17:00:00,1.0
2021-03-27,16:00:00,24.0
