Date,Hour,ENV ENVZ
2018-12-30,08:00:00,1.0
2018-12-30,09:00:00,93.0
2018-12-30,10:00:00,53.0
2018-12-31,07:00:00,1.0
2018-12-31,08:00:00,28.0
2018-12-31,09:00:00,113.0
2019-01-01,09:00:00,119.0
2019-01-01,10:00:00,37.0
2019-01-02,08:00:00,1.0
2019-01-02,09:00:00,98.0
2019-01-02,10:00:00,52.0
2019-01-03,07:00:00,1.0
2019-01-03,08:00:00,69.0
2019-01-03,09:00:00,68.0
2019-01-04,07:00:00,1.0
2019-01-04,08:00:00,67.0
2019-01-04,09:00:00,55.0
2019-01-05,08:00:00,1.0
2019-01-05,09:00:00,84.0
2019-01-05,10:00:00,48.0
2019-01-06,07:00:00,1.0
2019-01-06,08:00:00,84.0
2019-01-06,09:00:00,70.0
2019-01-07,08:00:00,89.0
2019-01-07,09:00:00,65.0
2019-01-07,15:00:00,14.0
2019-01-07,16:00:00,131.0
2019-01-08,08:00:00,2.0
2019-01-08,09:00:00,70.0
2019-01-08,10:00:00,85.0
2019-01-09,08:00:00,67.0
2019-01-09,09:00:00,77.0
2019-01-10,09:00:00,2.0
2019-01-10,10:00:00,94.0
2019-01-10,11:00:00,54.0
2019-01-11,09:00:00,1.0
2019-01-11,10:00:00,90.0
2019-01-11,11:00:00,44.0
2019-01-12,08:00:00,0.0
2019-01-12,09:00:00,0.0
2019-01-13,08:00:00,1.0
2019-01-13,09:00:00,117.0
2019-01-13,10:00:00,39.0
2019-01-14,08:00:00,1.0
2019-01-14,09:00:00,88.0
2019-01-14,10:00:00,68.0
2019-01-15,07:00:00,1.0
2019-01-15,08:00:00,72.0
2019-01-15,09:00:00,68.0
2019-01-16,07:00:00,1.0
2019-01-16,08:00:00,78.0
2019-01-16,09:00:00,75.0
2019-01-17,07:00:00,3.0
2019-01-17,08:00:00,2.0
2019-01-17,11:00:00,33.0
2019-01-17,12:00:00,70.0
2019-01-18,07:00:00,75.0
2019-01-18,08:00:00,56.0
2019-01-19,07:00:00,1.0
2019-01-19,08:00:00,73.0
2019-01-19,09:00:00,72.0
2019-01-20,07:00:00,1.0
2019-01-20,08:00:00,91.0
2019-01-20,09:00:00,58.0
2019-01-20,12:00:00,42.0
2019-01-20,13:00:00,107.0
2019-01-21,07:00:00,1.0
2019-01-21,08:00:00,82.0
2019-01-21,09:00:00,77.0
2019-01-22,08:00:00,84.0
2019-01-22,09:00:00,71.0
2019-01-23,09:00:00,94.0
2019-01-23,10:00:00,17.0
2019-01-24,07:00:00,1.0
2019-01-24,08:00:00,97.0
2019-01-24,09:00:00,56.0
2019-01-25,07:00:00,1.0
2019-01-25,08:00:00,73.0
2019-01-25,09:00:00,54.0
2019-01-26,07:00:00,3.0
2019-01-26,08:00:00,94.0
2019-01-26,09:00:00,44.0
2019-01-27,07:00:00,2.0
2019-01-27,08:00:00,67.0
2019-01-27,09:00:00,81.0
2019-01-28,07:00:00,2.0
2019-01-28,08:00:00,69.0
2019-01-28,09:00:00,86.0
2019-01-29,08:00:00,1.0
2019-01-29,09:00:00,101.0
2019-01-29,10:00:00,49.0
2019-01-30,07:00:00,1.0
2019-01-30,08:00:00,79.0
2019-01-30,09:00:00,72.0
2019-01-31,08:00:00,1.0
2019-01-31,09:00:00,88.0
2019-01-31,10:00:00,55.0
2019-02-01,08:00:00,1.0
2019-02-01,09:00:00,105.0
2019-02-01,10:00:00,42.0
2019-02-02,07:00:00,1.0
2019-02-02,08:00:00,67.0
2019-02-02,09:00:00,81.0
2019-02-03,08:00:00,1.0
2019-02-03,09:00:00,73.0
2019-02-03,10:00:00,76.0
2019-02-03,11:00:00,2.0
2019-02-04,08:00:00,1.0
2019-02-04,09:00:00,93.0
2019-02-04,10:00:00,53.0
2019-02-04,14:00:00,1.0
2019-02-05,10:00:00,109.0
2019-02-05,11:00:00,47.0
2019-02-06,09:00:00,3.0
2019-02-06,10:00:00,4.0
2019-02-07,07:00:00,1.0
2019-02-07,08:00:00,91.0
2019-02-07,09:00:00,53.0
2019-02-08,07:00:00,1.0
2019-02-08,08:00:00,87.0
2019-02-08,09:00:00,59.0
2019-02-09,07:00:00,1.0
2019-02-09,08:00:00,100.0
2019-02-09,09:00:00,49.0
2019-02-10,07:00:00,1.0
2019-02-10,08:00:00,71.0
2019-02-10,09:00:00,38.0
2019-02-10,10:00:00,6.0
2019-02-10,11:00:00,15.0
2019-02-10,12:00:00,5.0
2019-02-10,13:00:00,9.0
2019-02-11,07:00:00,1.0
2019-02-11,08:00:00,96.0
2019-02-11,09:00:00,54.0
2019-02-12,08:00:00,95.0
2019-02-12,09:00:00,53.0
2019-02-13,07:00:00,1.0
2019-02-13,08:00:00,83.0
2019-02-13,09:00:00,33.0
2019-02-14,07:00:00,1.0
2019-02-14,08:00:00,87.0
2019-02-14,09:00:00,38.0
2019-02-15,07:00:00,1.0
2019-02-15,08:00:00,82.0
2019-02-15,09:00:00,72.0
2019-02-16,07:00:00,2.0
2019-02-16,08:00:00,75.0
2019-02-16,09:00:00,66.0
2019-02-16,11:00:00,2.0
2019-02-16,12:00:00,89.0
2019-02-16,13:00:00,49.0
2019-02-17,07:00:00,1.0
2019-02-17,08:00:00,104.0
2019-02-17,09:00:00,53.0
2019-02-18,07:00:00,1.0
2019-02-18,08:00:00,47.0
2019-02-18,09:00:00,104.0
2019-02-19,09:00:00,107.0
2019-02-19,10:00:00,58.0
2019-02-20,07:00:00,1.0
2019-02-20,08:00:00,96.0
2019-02-20,09:00:00,50.0
2019-02-21,09:00:00,46.0
2019-02-21,10:00:00,112.0
2019-02-22,08:00:00,5.0
2019-02-22,10:00:00,1.0
2019-02-22,11:00:00,60.0
2019-02-22,12:00:00,40.0
2019-02-23,08:00:00,77.0
2019-02-23,09:00:00,68.0
2019-02-24,08:00:00,106.0
2019-02-24,09:00:00,51.0
2019-02-24,10:00:00,9.0
2019-02-25,07:00:00,113.0
2019-02-25,08:00:00,42.0
2019-02-25,09:00:00,107.0
2019-02-25,10:00:00,35.0
2019-02-25,13:00:00,77.0
2019-02-25,14:00:00,64.0
2019-02-26,08:00:00,91.0
2019-02-26,09:00:00,61.0
2019-02-27,11:00:00,7.0
2019-02-28,08:00:00,87.0
2019-02-28,09:00:00,43.0
2019-03-01,08:00:00,88.0
2019-03-01,09:00:00,59.0
2019-03-02,09:00:00,92.0
2019-03-02,10:00:00,52.0
2019-03-03,09:00:00,90.0
2019-03-03,10:00:00,65.0
2019-03-04,08:00:00,125.0
2019-03-04,09:00:00,26.0
2019-03-04,12:00:00,73.0
2019-03-04,13:00:00,66.0
2019-03-05,08:00:00,87.0
2019-03-05,09:00:00,62.0
2019-03-06,09:00:00,95.0
2019-03-06,10:00:00,47.0
2019-03-07,08:00:00,1.0
2019-03-07,09:00:00,113.0
2019-03-07,10:00:00,17.0
2019-03-08,07:00:00,1.0
2019-03-08,08:00:00,89.0
2019-03-08,09:00:00,61.0
2019-03-09,08:00:00,78.0
2019-03-09,09:00:00,81.0
2019-03-10,08:00:00,1.0
2019-03-10,09:00:00,83.0
2019-03-10,10:00:00,69.0
2019-03-11,07:00:00,1.0
2019-03-11,08:00:00,71.0
2019-03-11,09:00:00,78.0
2019-03-12,09:00:00,97.0
2019-03-12,10:00:00,52.0
2019-03-13,09:00:00,102.0
2019-03-13,10:00:00,48.0
2019-03-14,08:00:00,94.0
2019-03-14,09:00:00,58.0
2019-03-15,08:00:00,48.0
2019-03-15,09:00:00,42.0
2019-03-16,07:00:00,1.0
2019-03-16,08:00:00,105.0
2019-03-16,09:00:00,48.0
2019-03-17,08:00:00,63.0
2019-03-17,09:00:00,94.0
2019-03-18,07:00:00,1.0
2019-03-18,08:00:00,81.0
2019-03-18,09:00:00,71.0
2019-03-19,08:00:00,80.0
2019-03-19,09:00:00,74.0
2019-03-20,08:00:00,95.0
2019-03-20,09:00:00,52.0
2019-03-21,07:00:00,1.0
2019-03-21,08:00:00,82.0
2019-03-21,09:00:00,69.0
2019-03-22,07:00:00,1.0
2019-03-22,08:00:00,84.0
2019-03-22,09:00:00,69.0
2019-03-23,07:00:00,1.0
2019-03-23,08:00:00,95.0
2019-03-23,09:00:00,54.0
2019-03-24,08:00:00,90.0
2019-03-24,09:00:00,67.0
2019-03-25,07:00:00,1.0
2019-03-25,08:00:00,94.0
2019-03-25,09:00:00,52.0
2019-03-25,14:00:00,82.0
2019-03-25,15:00:00,69.0
2019-03-26,07:00:00,1.0
2019-03-26,08:00:00,72.0
2019-03-26,09:00:00,84.0
2019-03-27,08:00:00,79.0
2019-03-27,09:00:00,77.0
2019-03-28,08:00:00,1.0
2019-03-28,09:00:00,107.0
2019-03-28,10:00:00,48.0
2019-03-29,07:00:00,1.0
2019-03-29,08:00:00,112.0
2019-03-29,09:00:00,45.0
2019-03-30,06:00:00,2.0
2019-03-30,07:00:00,3.0
2019-03-30,08:00:00,77.0
2019-03-30,09:00:00,71.0
2019-03-31,07:00:00,3.0
2019-03-31,08:00:00,74.0
2019-03-31,09:00:00,79.0
2019-04-01,07:00:00,3.0
2019-04-01,08:00:00,90.0
2019-04-01,09:00:00,66.0
2019-04-02,07:00:00,1.0
2019-04-02,08:00:00,86.0
2019-04-02,09:00:00,71.0
2019-04-03,08:00:00,99.0
2019-04-03,09:00:00,54.0
2019-04-04,08:00:00,86.0
2019-04-04,09:00:00,58.0
2019-04-05,07:00:00,1.0
2019-04-05,08:00:00,90.0
2019-04-05,09:00:00,67.0
2019-04-06,07:00:00,1.0
2019-04-06,08:00:00,58.0
2019-04-06,09:00:00,94.0
2019-04-07,07:00:00,1.0
2019-04-07,08:00:00,88.0
2019-04-07,09:00:00,62.0
2019-04-08,07:00:00,1.0
2019-04-08,08:00:00,98.0
2019-04-08,09:00:00,58.0
2019-04-09,08:00:00,102.0
2019-04-09,09:00:00,49.0
2019-04-10,07:00:00,1.0
2019-04-10,08:00:00,105.0
2019-04-10,09:00:00,44.0
2019-04-11,07:00:00,1.0
2019-04-11,08:00:00,67.0
2019-04-12,07:00:00,88.0
2019-04-12,08:00:00,50.0
2019-04-12,11:00:00,74.0
2019-04-12,12:00:00,80.0
