Date,Hour,FNL Ft. Collins
2019-01-10,06:00:00,72
2019-01-10,07:00:00,5
2019-01-22,12:00:00,22
2019-02-21,06:00:00,94
2019-02-24,16:00:00,14
2019-02-24,17:00:00,25
2019-03-24,15:00:00,19
2019-03-24,16:00:00,8
2019-04-11,06:00:00,43
2019-04-11,07:00:00,7
2019-04-28,13:00:00,8
2019-04-28,14:00:00,18
2019-05-26,14:00:00,32
2019-05-26,15:00:00,0
2019-06-02,06:00:00,103
2019-08-04,12:00:00,24
2019-08-04,13:00:00,7
2019-08-05,06:00:00,64
2019-08-05,07:00:00,8
2019-09-19,06:00:00,83
2019-09-19,07:00:00,8
2019-10-06,14:00:00,38
2019-11-03,06:00:00,84
2019-11-03,07:00:00,50
2019-11-10,13:00:00,24
2019-11-10,14:00:00,1
2019-12-08,13:00:00,11
2019-12-08,14:00:00,25
2020-01-13,14:00:00,12
2020-01-17,06:00:00,61
2020-01-17,07:00:00,13
2020-03-16,06:00:00,15
2020-03-16,07:00:00,4
2020-06-29,13:00:00,10
2020-06-29,14:00:00,6
2020-09-01,14:00:00,12
2020-10-05,15:00:00,41
2020-10-24,07:00:00,76
2020-10-24,08:00:00,8
2020-11-06,12:00:00,5
2020-11-06,13:00:00,29
2020-11-06,14:00:00,2
2020-12-03,06:00:00,14
2020-12-03,07:00:00,52
2020-12-03,08:00:00,3
2021-01-03,15:00:00,14
2021-04-25,14:00:00,58
2021-07-18,16:00:00,51
2021-10-06,09:00:00,19
2021-10-06,10:00:00,22
2021-10-09,09:00:00,21
2021-10-09,10:00:00,16
2021-10-13,09:00:00,30
2021-10-13,10:00:00,40
2021-10-20,09:00:00,37
2021-10-20,10:00:00,21
2021-10-23,09:00:00,20
2021-10-23,10:00:00,35
2021-10-27,09:00:00,21
2021-10-27,10:00:00,27
2021-10-30,09:00:00,14
2021-10-30,10:00:00,17
2021-11-03,09:00:00,10
2021-11-03,10:00:00,13
2021-11-06,09:00:00,13
2021-11-06,10:00:00,15
2021-11-10,09:00:00,18
2021-11-10,10:00:00,24
2021-11-13,09:00:00,16
2021-11-13,10:00:00,32
2021-11-17,09:00:00,19
2021-11-17,10:00:00,20
2021-11-20,09:00:00,91
2021-11-20,10:00:00,79
2021-11-24,09:00:00,95
2021-11-24,10:00:00,48
2021-11-27,09:00:00,81
2021-11-27,10:00:00,99
2021-12-01,09:00:00,32
2021-12-01,10:00:00,34
2021-12-04,09:00:00,21
2021-12-04,10:00:00,27
2021-12-08,09:00:00,32
2021-12-08,10:00:00,16
2021-12-11,09:00:00,25
2021-12-11,10:00:00,20
2021-12-15,09:00:00,5
2021-12-15,10:00:00,80
2021-12-15,11:00:00,33
2021-12-15,15:00:00,39
2021-12-15,16:00:00,25
2021-12-18,09:00:00,38
2021-12-18,10:00:00,43
2021-12-18,11:00:00,16
2021-12-18,14:00:00,29
2021-12-18,15:00:00,69
2021-12-18,16:00:00,65
2021-12-22,10:00:00,110
2021-12-22,11:00:00,14
2021-12-22,14:00:00,11
2021-12-22,15:00:00,93
2021-12-22,16:00:00,51
2021-12-25,09:00:00,35
2021-12-25,10:00:00,97
2021-12-25,11:00:00,12
2021-12-25,14:00:00,33
2021-12-25,15:00:00,109
2021-12-25,16:00:00,21
2021-12-29,09:00:00,31
2021-12-29,10:00:00,107
2021-12-29,11:00:00,23
2021-12-29,14:00:00,4
2021-12-29,15:00:00,89
2021-12-29,16:00:00,66
2022-01-01,09:00:00,9
2022-01-01,10:00:00,35
2022-01-01,11:00:00,14
2022-01-01,12:00:00,7
2022-01-01,15:00:00,15
2022-01-01,16:00:00,38
2022-01-01,17:00:00,31
2022-01-01,18:00:00,87
2022-01-02,14:00:00,30
2022-01-02,15:00:00,2
2022-01-05,09:00:00,10
2022-01-05,10:00:00,32
2022-01-05,11:00:00,20
2022-01-05,14:00:00,17
2022-01-05,15:00:00,19
2022-01-05,16:00:00,41
2022-01-08,09:00:00,7
2022-01-08,10:00:00,25
2022-01-08,11:00:00,7
2022-01-08,14:00:00,8
2022-01-08,15:00:00,27
2022-01-08,16:00:00,42
2022-01-12,09:00:00,18
2022-01-12,10:00:00,67
2022-01-12,11:00:00,19
2022-01-12,14:00:00,7
2022-01-12,15:00:00,10
2022-01-12,16:00:00,24
2022-01-15,09:00:00,10
2022-01-15,10:00:00,41
2022-01-15,11:00:00,22
2022-01-15,14:00:00,8
2022-01-15,15:00:00,41
2022-01-15,16:00:00,23
2022-01-19,09:00:00,9
2022-01-19,10:00:00,52
2022-01-19,11:00:00,28
2022-01-19,14:00:00,10
2022-01-19,15:00:00,14
2022-01-19,16:00:00,28
2022-01-22,09:00:00,18
2022-01-22,10:00:00,29
2022-01-22,11:00:00,18
2022-01-22,14:00:00,7
2022-01-22,15:00:00,23
2022-01-22,16:00:00,39
2022-01-26,09:00:00,17
2022-01-26,10:00:00,47
2022-01-26,11:00:00,16
2022-01-26,14:00:00,5
2022-01-26,15:00:00,19
2022-01-26,16:00:00,23
2022-01-29,09:00:00,17
2022-01-29,10:00:00,50
2022-01-29,11:00:00,12
2022-01-29,14:00:00,5
2022-01-29,15:00:00,23
2022-01-29,16:00:00,14
2022-02-02,09:00:00,15
2022-02-02,10:00:00,51
2022-02-02,11:00:00,12
2022-02-02,14:00:00,6
2022-02-02,15:00:00,33
2022-02-02,16:00:00,20
2022-02-05,09:00:00,10
2022-02-05,10:00:00,35
2022-02-05,11:00:00,17
2022-02-05,14:00:00,12
2022-02-05,15:00:00,5
2022-02-05,16:00:00,31
2022-02-09,09:00:00,18
2022-02-09,10:00:00,59
2022-02-09,11:00:00,31
2022-02-09,14:00:00,12
2022-02-09,15:00:00,42
2022-02-09,16:00:00,8
2022-02-10,06:00:00,72
2022-02-10,07:00:00,32
2022-02-12,09:00:00,4
2022-02-12,10:00:00,48
2022-02-12,11:00:00,21
2022-02-12,14:00:00,1
2022-02-12,15:00:00,3
2022-02-12,16:00:00,44
2022-02-16,10:00:00,7
2022-02-16,11:00:00,65
2022-02-16,12:00:00,9
2022-02-16,14:00:00,3
2022-02-16,15:00:00,54
2022-02-16,16:00:00,34
2022-02-18,09:00:00,16
2022-02-18,10:00:00,119
2022-02-18,11:00:00,34
2022-02-18,12:00:00,19
2022-02-18,13:00:00,92
2022-02-18,14:00:00,28
2022-02-21,09:00:00,10
2022-02-21,10:00:00,30
2022-02-21,11:00:00,11
2022-02-21,13:00:00,43
2022-02-21,14:00:00,56
2022-02-25,09:00:00,71
2022-02-25,10:00:00,70
2022-02-25,11:00:00,44
2022-02-25,13:00:00,6
2022-02-25,14:00:00,7
2022-02-25,15:00:00,87
2022-02-28,09:00:00,5
2022-02-28,10:00:00,29
2022-02-28,11:00:00,13
2022-02-28,13:00:00,9
2022-02-28,14:00:00,4
2022-02-28,15:00:00,22
2022-03-04,09:00:00,47
2022-03-04,10:00:00,92
2022-03-04,11:00:00,31
2022-03-04,12:00:00,17
2022-03-04,13:00:00,30
2022-03-04,14:00:00,30
2022-03-07,09:00:00,29
2022-03-07,10:00:00,26
2022-03-07,11:00:00,19
2022-03-07,12:00:00,19
2022-03-07,13:00:00,61
2022-03-07,14:00:00,16
2022-03-11,09:00:00,70
2022-03-11,10:00:00,75
2022-03-11,11:00:00,33
2022-03-11,12:00:00,27
2022-03-11,13:00:00,98
2022-03-11,14:00:00,24
2022-03-14,10:00:00,120
2022-03-14,11:00:00,55
2022-03-14,12:00:00,101
2022-03-14,13:00:00,62
2022-03-18,09:00:00,28
2022-03-18,10:00:00,103
2022-03-18,11:00:00,54
2022-03-18,12:00:00,73
2022-03-18,13:00:00,64
2022-03-18,14:00:00,26
2022-03-21,10:00:00,121
2022-03-21,11:00:00,51
2022-03-21,13:00:00,100
2022-03-21,14:00:00,65
2022-03-25,10:00:00,122
2022-03-25,11:00:00,54
2022-03-25,13:00:00,89
2022-03-25,14:00:00,37
2022-03-28,09:00:00,49
2022-03-28,10:00:00,44
2022-03-28,11:00:00,38
2022-03-28,12:00:00,15
2022-03-28,13:00:00,18
2022-03-28,14:00:00,43
2022-04-01,09:00:00,69
2022-04-01,10:00:00,74
2022-04-01,11:00:00,24
2022-04-01,12:00:00,3
2022-04-01,13:00:00,117
2022-04-01,14:00:00,23
2022-04-04,09:00:00,26
2022-04-04,10:00:00,23
2022-04-04,11:00:00,20
2022-04-04,12:00:00,47
2022-04-04,13:00:00,14
2022-04-04,14:00:00,32
2022-04-08,09:00:00,87
2022-04-08,10:00:00,30
2022-04-08,11:00:00,35
2022-04-08,12:00:00,13
2022-04-08,13:00:00,74
2022-04-08,14:00:00,63
2022-04-11,09:00:00,21
2022-04-11,10:00:00,28
2022-04-11,11:00:00,13
2022-04-11,12:00:00,30
2022-04-11,13:00:00,11
2022-04-11,14:00:00,63
2022-04-15,09:00:00,49
2022-04-15,10:00:00,18
2022-04-15,11:00:00,0
2022-04-15,12:00:00,89
2022-04-15,13:00:00,58
2022-04-15,14:00:00,109
2022-04-15,15:00:00,26
2022-04-18,09:00:00,23
2022-04-18,10:00:00,83
2022-04-18,11:00:00,17
2022-04-18,12:00:00,47
2022-04-18,13:00:00,21
2022-04-18,14:00:00,51
2022-04-22,09:00:00,20
2022-04-22,10:00:00,82
2022-04-22,11:00:00,49
2022-04-22,12:00:00,29
2022-04-22,13:00:00,84
2022-04-22,14:00:00,28
2022-04-25,09:00:00,3
2022-04-25,10:00:00,39
2022-04-25,11:00:00,18
2022-04-25,12:00:00,4
2022-04-25,13:00:00,59
2022-04-25,14:00:00,32
2022-04-29,09:00:00,9
2022-04-29,10:00:00,45
2022-04-29,11:00:00,25
2022-04-29,12:00:00,5
2022-04-29,13:00:00,35
2022-04-29,14:00:00,19
2022-05-05,12:00:00,12
2022-05-05,13:00:00,33
2022-05-05,14:00:00,51
2022-05-05,15:00:00,70
2022-05-08,12:00:00,7
2022-05-08,13:00:00,44
2022-05-08,14:00:00,36
2022-05-08,15:00:00,19
2022-05-08,16:00:00,3
2022-05-08,17:00:00,5
2022-05-08,18:00:00,2
2022-05-12,13:00:00,14
2022-05-12,14:00:00,14
2022-05-12,15:00:00,53
2022-05-12,16:00:00,71
2022-05-15,12:00:00,34
2022-05-15,13:00:00,45
2022-05-15,14:00:00,86
2022-05-15,15:00:00,22
2022-05-19,12:00:00,20
2022-05-19,13:00:00,26
2022-05-19,14:00:00,82
2022-05-19,15:00:00,80
2022-05-22,13:00:00,80
2022-05-22,14:00:00,63
2022-05-22,15:00:00,25
2022-05-22,16:00:00,2
2022-05-27,10:00:00,127
2022-05-27,11:00:00,46
2022-05-27,13:00:00,93
2022-05-27,14:00:00,71
2022-05-30,10:00:00,107
2022-05-30,11:00:00,16
2022-05-30,13:00:00,109
2022-05-30,14:00:00,61
2022-06-03,10:00:00,106
2022-06-03,11:00:00,17
2022-06-03,12:00:00,18
2022-06-03,13:00:00,120
2022-06-03,14:00:00,48
2022-06-06,10:00:00,90
2022-06-06,11:00:00,5
2022-06-06,13:00:00,108
2022-06-06,14:00:00,6
2022-06-10,10:00:00,77
2022-06-10,11:00:00,56
2022-06-10,13:00:00,91
2022-06-10,14:00:00,56
2022-06-13,10:00:00,24
2022-06-13,11:00:00,21
2022-06-13,13:00:00,63
2022-06-13,14:00:00,65
2022-11-26,16:00:00,38
2022-11-26,17:00:00,5
2023-02-19,18:00:00,11
2023-02-19,19:00:00,33
2023-03-05,15:00:00,38
2023-03-05,16:00:00,33
2023-03-05,17:00:00,6
2023-03-20,09:00:00,93
2023-03-20,10:00:00,14
2023-04-14,17:00:00,96
2023-04-14,18:00:00,2
2023-04-30,09:00:00,24
2023-05-27,17:00:00,63
2023-05-27,18:00:00,23
2023-07-20,09:00:00,39
2023-07-20,10:00:00,14
2023-08-20,18:00:00,26
2023-08-20,19:00:00,21
2023-09-29,17:00:00,41
2023-10-31,19:00:00,69
2023-10-31,20:00:00,0
2024-02-16,06:00:00,79
2024-02-16,07:00:00,4
2024-02-16,17:00:00,53
2024-02-16,18:00:00,2
2024-04-28,09:00:00,13
2024-04-28,10:00:00,0
2024-06-09,17:00:00,37
2024-06-09,18:00:00,57
2024-09-12,17:00:00,26
2024-09-12,18:00:00,37
