Date,Hour,GEG GEG-A/B,GEG GEGC
2018-12-30,03:00:00,48.0,51.0
2018-12-30,04:00:00,534.0,167.0
2018-12-30,05:00:00,413.0,122.0
2018-12-30,06:00:00,345.0,116.0
2018-12-30,07:00:00,30.0,162.0
2018-12-30,08:00:00,99.0,215.0
2018-12-30,09:00:00,213.0,24.0
2018-12-30,10:00:00,254.0,217.0
2018-12-30,11:00:00,231.0,82.0
2018-12-30,12:00:00,338.0,212.0
2018-12-30,13:00:00,288.0,168.0
2018-12-30,14:00:00,213.0,118.0
2018-12-30,15:00:00,206.0,111.0
2018-12-30,16:00:00,173.0,78.0
2018-12-30,17:00:00,56.0,96.0
2018-12-30,18:00:00,138.0,80.0
2018-12-30,19:00:00,208.0,173.0
2018-12-30,20:00:00,23.0,41.0
2018-12-30,21:00:00,84.0,4.0
2018-12-30,22:00:00,73.0,
2018-12-31,03:00:00,40.0,61.0
2018-12-31,04:00:00,455.0,204.0
2018-12-31,05:00:00,484.0,98.0
2018-12-31,06:00:00,303.0,287.0
2018-12-31,07:00:00,34.0,150.0
2018-12-31,08:00:00,90.0,102.0
2018-12-31,09:00:00,171.0,126.0
2018-12-31,10:00:00,134.0,86.0
2018-12-31,11:00:00,205.0,150.0
2018-12-31,12:00:00,261.0,172.0
2018-12-31,13:00:00,129.0,71.0
2018-12-31,14:00:00,173.0,54.0
2018-12-31,15:00:00,326.0,148.0
2018-12-31,16:00:00,66.0,123.0
2018-12-31,17:00:00,60.0,64.0
2018-12-31,18:00:00,48.0,85.0
2018-12-31,19:00:00,17.0,26.0
2018-12-31,20:00:00,25.0,21.0
2018-12-31,21:00:00,12.0,
2018-12-31,22:00:00,22.0,
2019-01-01,03:00:00,69.0,70.0
2019-01-01,04:00:00,415.0,229.0
2019-01-01,05:00:00,386.0,85.0
2019-01-01,06:00:00,106.0,211.0
2019-01-01,07:00:00,125.0,163.0
2019-01-01,08:00:00,105.0,87.0
2019-01-01,09:00:00,102.0,156.0
2019-01-01,10:00:00,32.0,109.0
2019-01-01,11:00:00,194.0,155.0
2019-01-01,12:00:00,253.0,244.0
2019-01-01,13:00:00,150.0,153.0
2019-01-01,14:00:00,69.0,108.0
2019-01-01,15:00:00,234.0,106.0
2019-01-01,16:00:00,115.0,169.0
2019-01-01,17:00:00,121.0,66.0
2019-01-01,18:00:00,89.0,149.0
2019-01-01,19:00:00,0.0,53.0
2019-01-01,20:00:00,12.0,12.0
2019-01-01,21:00:00,86.0,
2019-01-01,22:00:00,64.0,
2019-01-02,03:00:00,96.0,57.0
2019-01-02,04:00:00,501.0,200.0
2019-01-02,05:00:00,408.0,115.0
2019-01-02,06:00:00,317.0,229.0
2019-01-02,07:00:00,77.0,257.0
2019-01-02,08:00:00,66.0,126.0
2019-01-02,09:00:00,204.0,89.0
2019-01-02,10:00:00,201.0,113.0
2019-01-02,11:00:00,280.0,276.0
2019-01-02,12:00:00,321.0,144.0
2019-01-02,13:00:00,211.0,142.0
2019-01-02,14:00:00,201.0,165.0
2019-01-02,15:00:00,168.0,120.0
2019-01-02,16:00:00,209.0,141.0
2019-01-02,17:00:00,68.0,103.0
2019-01-02,18:00:00,148.0,104.0
2019-01-02,19:00:00,129.0,53.0
2019-01-02,20:00:00,24.0,1.0
2019-01-02,21:00:00,49.0,
2019-01-02,22:00:00,108.0,
2019-01-02,23:00:00,17.0,
2019-01-03,03:00:00,51.0,76.0
2019-01-03,04:00:00,534.0,225.0
2019-01-03,05:00:00,526.0,117.0
