Date,Hour,GSO North Concourse,GSO South Concourse
2018-12-30,04:00:00,68.0,73.0
2018-12-30,05:00:00,202.0,104.0
2018-12-30,06:00:00,182.0,166.0
2018-12-30,07:00:00,70.0,70.0
2018-12-30,08:00:00,83.0,175.0
2018-12-30,09:00:00,146.0,62.0
2018-12-30,10:00:00,151.0,66.0
2018-12-30,11:00:00,129.0,86.0
2018-12-30,12:00:00,140.0,51.0
2018-12-30,13:00:00,70.0,75.0
2018-12-30,14:00:00,25.0,90.0
2018-12-30,15:00:00,67.0,42.0
2018-12-30,16:00:00,87.0,80.0
2018-12-30,17:00:00,115.0,121.0
2018-12-30,18:00:00,53.0,148.0
2018-12-30,19:00:00,,167.0
2018-12-30,20:00:00,,18.0
2018-12-31,04:00:00,97.0,41.0
2018-12-31,05:00:00,161.0,68.0
2018-12-31,06:00:00,81.0,133.0
2018-12-31,07:00:00,55.0,53.0
2018-12-31,08:00:00,103.0,97.0
2018-12-31,09:00:00,128.0,139.0
2018-12-31,10:00:00,104.0,43.0
2018-12-31,11:00:00,115.0,68.0
2018-12-31,12:00:00,101.0,160.0
2018-12-31,13:00:00,55.0,158.0
2018-12-31,14:00:00,27.0,83.0
2018-12-31,15:00:00,14.0,31.0
2018-12-31,16:00:00,30.0,24.0
2018-12-31,17:00:00,11.0,13.0
2019-01-01,04:00:00,37.0,25.0
2019-01-01,05:00:00,59.0,93.0
2019-01-01,06:00:00,139.0,167.0
2019-01-01,07:00:00,36.0,78.0
2019-01-01,08:00:00,137.0,92.0
2019-01-01,09:00:00,104.0,103.0
2019-01-01,10:00:00,79.0,128.0
2019-01-01,11:00:00,100.0,91.0
2019-01-01,12:00:00,65.0,130.0
2019-01-01,13:00:00,78.0,92.0
2019-01-01,14:00:00,33.0,106.0
2019-01-01,15:00:00,52.0,90.0
2019-01-01,16:00:00,69.0,107.0
2019-01-01,17:00:00,27.0,143.0
2019-01-01,18:00:00,41.0,140.0
2019-01-01,19:00:00,,51.0
2019-01-01,20:00:00,,60.0
2019-01-02,04:00:00,74.0,65.0
2019-01-02,05:00:00,273.0,110.0
2019-01-02,06:00:00,114.0,186.0
2019-01-02,07:00:00,105.0,45.0
2019-01-02,08:00:00,104.0,74.0
2019-01-02,09:00:00,112.0,91.0
2019-01-02,10:00:00,144.0,78.0
2019-01-02,11:00:00,142.0,100.0
2019-01-02,12:00:00,99.0,193.0
2019-01-02,13:00:00,57.0,273.0
2019-01-02,14:00:00,27.0,86.0
2019-01-02,15:00:00,67.0,68.0
2019-01-02,16:00:00,71.0,21.0
2019-01-02,17:00:00,41.0,111.0
