Date,Hour,GST ASAA-GST
2019-06-06,17:00:00,15
2019-06-07,17:00:00,39
2019-06-08,17:00:00,47
2019-06-09,17:00:00,28
2019-06-10,17:00:00,31
2019-06-11,17:00:00,46
2019-06-12,17:00:00,35
2019-06-13,17:00:00,51
2019-06-14,17:00:00,59
2019-06-15,17:00:00,92
2019-06-16,17:00:00,29
2019-06-17,17:00:00,35
2019-06-18,17:00:00,25
2019-06-19,17:00:00,36
2019-06-20,17:00:00,44
2019-06-21,17:00:00,60
2019-06-22,17:00:00,93
2019-06-23,17:00:00,56
2019-06-24,17:00:00,36
2019-06-25,17:00:00,57
2019-06-26,17:00:00,46
2019-06-27,17:00:00,19
2019-06-28,17:00:00,116
2019-06-29,17:00:00,75
2019-06-30,17:00:00,24
2019-07-01,17:00:00,42
2019-07-02,17:00:00,35
2019-07-03,17:00:00,45
2019-07-04,17:00:00,86
2019-07-05,17:00:00,76
2019-07-05,18:00:00,29
2019-07-06,17:00:00,113
2019-07-07,17:00:00,83
2019-07-08,17:00:00,67
2019-07-09,17:00:00,67
2019-07-10,17:00:00,49
2019-07-11,17:00:00,61
2019-07-12,17:00:00,110
2019-07-13,17:00:00,66
2019-07-14,17:00:00,50
2019-07-15,17:00:00,42
2019-07-16,17:00:00,30
2019-07-17,17:00:00,61
2019-07-18,17:00:00,63
2019-07-19,17:00:00,78
2019-07-20,17:00:00,92
2019-07-21,19:00:00,56
2019-07-22,17:00:00,52
2019-07-23,17:00:00,44
2019-07-24,17:00:00,39
2019-07-25,17:00:00,75
2019-07-26,17:00:00,107
2019-07-27,17:00:00,87
2019-07-28,17:00:00,55
2019-07-29,17:00:00,76
2019-07-30,17:00:00,43
2019-07-31,17:00:00,100
2019-07-31,18:00:00,13
2019-08-01,17:00:00,32
2019-08-02,18:00:00,84
2019-08-03,17:00:00,62
2019-08-04,17:00:00,56
2019-08-05,17:00:00,75
2019-08-06,17:00:00,58
2019-08-07,17:00:00,55
2019-08-08,17:00:00,79
2019-08-09,17:00:00,119
2019-08-10,17:00:00,68
2019-08-11,17:00:00,71
2019-08-12,17:00:00,64
2019-08-13,17:00:00,25
2019-08-14,17:00:00,43
2019-08-15,17:00:00,69
2019-08-16,17:00:00,74
2019-08-17,17:00:00,67
2019-08-17,18:00:00,20
2019-08-18,17:00:00,120
2019-08-18,18:00:00,8
2019-08-19,17:00:00,54
2019-08-19,18:00:00,8
2019-08-20,17:00:00,56
2019-08-21,17:00:00,49
2019-08-22,17:00:00,42
2019-08-23,17:00:00,91
2019-08-24,17:00:00,91
2019-08-25,19:00:00,18
2019-08-25,20:00:00,15
2019-08-26,17:00:00,40
2019-08-26,18:00:00,25
2020-06-04,18:00:00,4
2020-06-05,18:00:00,5
2020-06-06,18:00:00,7
2020-06-07,06:00:00,7
2020-06-08,18:00:00,2
2020-06-09,18:00:00,0
2020-06-10,18:00:00,3
2020-06-11,18:00:00,1
2020-06-12,18:00:00,2
2020-06-13,18:00:00,7
2020-06-14,18:00:00,4
2020-06-15,18:00:00,5
2020-06-16,18:00:00,4
2020-06-17,18:00:00,4
2020-06-18,18:00:00,0
2020-06-19,18:00:00,7
2020-06-20,18:00:00,22
2020-06-21,18:00:00,15
2020-06-22,18:00:00,2
2020-06-23,18:00:00,2
2020-06-24,18:00:00,1
2020-06-25,18:00:00,18
2020-06-26,18:00:00,6
2020-06-27,18:00:00,19
2020-06-28,18:00:00,23
2020-06-29,18:00:00,4
2020-06-30,18:00:00,6
2020-07-01,19:00:00,3
2020-07-02,18:00:00,14
2020-07-03,18:00:00,0
2020-07-04,18:00:00,21
2020-07-05,18:00:00,9
2020-07-06,18:00:00,11
2020-07-07,18:00:00,20
2020-07-08,18:00:00,13
2020-07-09,18:00:00,12
2020-07-10,18:00:00,26
2020-07-11,18:00:00,30
2020-07-12,18:00:00,19
2020-07-13,18:00:00,12
2020-07-14,18:00:00,18
2020-07-15,18:00:00,13
2020-07-16,18:00:00,4
2020-07-18,18:00:00,49
2020-07-19,18:00:00,26
2020-07-20,18:00:00,18
2020-07-21,18:00:00,7
2020-07-22,18:00:00,12
2020-07-23,18:00:00,8
2020-07-24,18:00:00,25
2020-07-25,18:00:00,41
2020-07-26,18:00:00,21
2020-07-27,18:00:00,5
2020-07-28,18:00:00,16
2020-07-29,18:00:00,11
2020-07-30,18:00:00,13
2020-07-31,18:00:00,29
2020-08-02,18:00:00,20
2020-08-03,19:00:00,6
2020-08-04,18:00:00,14
2020-08-05,18:00:00,5
2020-08-06,18:00:00,9
2020-08-07,19:00:00,23
2020-08-08,18:00:00,4
2020-08-09,18:00:00,12
2020-08-09,19:00:00,11
2020-08-10,18:00:00,8
2020-08-11,19:00:00,14
2020-08-12,19:00:00,22
2020-08-13,19:00:00,21
2020-08-14,18:00:00,42
2020-08-15,18:00:00,57
2020-08-16,18:00:00,25
2020-08-18,18:00:00,10
2020-08-19,18:00:00,12
2020-08-20,18:00:00,23
2020-08-21,18:00:00,26
2020-08-22,18:00:00,48
2020-08-23,18:00:00,26
2020-08-24,18:00:00,34
2021-05-20,14:00:00,13
2021-05-21,16:00:00,8
2021-05-22,16:00:00,12
