Date,Hour,HGR HGR
2018-12-30,09:00:00,0
2018-12-30,14:00:00,5
2018-12-31,06:00:00,4
2018-12-31,07:00:00,81
2018-12-31,08:00:00,78
2018-12-31,09:00:00,7
2018-12-31,14:00:00,0
2019-01-01,07:00:00,0
2019-01-01,09:00:00,2
2019-01-01,16:00:00,1
2019-01-01,17:00:00,0
2019-01-02,06:00:00,0
2019-01-02,09:00:00,5
2019-01-02,13:00:00,50
2019-01-02,14:00:00,86
2019-01-02,15:00:00,18
2019-01-02,16:00:00,1
2019-01-03,06:00:00,0
2019-01-03,08:00:00,1
2019-01-03,09:00:00,2
2019-01-03,14:00:00,4
2019-01-03,16:00:00,3
2019-01-04,06:00:00,1
2019-01-04,08:00:00,1
2019-01-04,14:00:00,0
2019-01-04,17:00:00,6
2019-01-04,18:00:00,64
2019-01-04,19:00:00,62
2019-01-05,11:00:00,3
2019-01-05,13:00:00,2
2019-01-05,18:00:00,30
2019-01-05,19:00:00,15
2019-01-05,20:00:00,12
2019-01-05,21:00:00,52
2019-01-05,22:00:00,3
2019-01-06,09:00:00,1
2019-01-06,11:00:00,5
2019-01-06,14:00:00,0
2019-01-07,06:00:00,0
2019-01-07,08:00:00,2
2019-01-07,14:00:00,0
2019-01-07,17:00:00,0
2019-01-07,18:00:00,12
2019-01-07,19:00:00,43
2019-01-07,20:00:00,59
2019-01-07,21:00:00,2
2019-01-08,06:00:00,2
2019-01-08,09:00:00,1
2019-01-08,14:00:00,1
2019-01-08,16:00:00,1
2019-01-09,06:00:00,2
2019-01-09,08:00:00,2
2019-01-09,16:00:00,3
2019-01-10,08:00:00,1
2019-01-10,12:00:00,0
2019-01-10,14:00:00,3
2019-01-10,17:00:00,0
2019-01-11,06:00:00,1
2019-01-11,07:00:00,50
2019-01-11,08:00:00,74
2019-01-11,09:00:00,50
2019-01-11,14:00:00,3
2019-01-12,11:00:00,2
2019-01-12,13:00:00,2
2019-01-13,11:00:00,1
2019-01-13,13:00:00,3
2019-01-13,16:00:00,1
2019-01-14,06:00:00,2
2019-01-14,07:00:00,45
2019-01-14,08:00:00,105
2019-01-14,09:00:00,4
2019-01-14,15:00:00,2
2019-01-14,17:00:00,0
2019-01-15,06:00:00,4
2019-01-15,08:00:00,0
2019-01-15,14:00:00,3
2019-01-15,16:00:00,2
2019-01-16,06:00:00,0
2019-01-16,09:00:00,0
2019-01-16,16:00:00,3
2019-01-17,06:00:00,0
2019-01-17,07:00:00,6
2019-01-17,09:00:00,1
2019-01-17,14:00:00,1
2019-01-17,16:00:00,0
2019-01-18,07:00:00,57
2019-01-18,08:00:00,111
2019-01-18,09:00:00,14
2019-01-18,15:00:00,0
2019-01-18,17:00:00,0
2019-01-19,11:00:00,0
2019-01-19,13:00:00,0
2019-01-20,09:00:00,1
2019-01-20,13:00:00,0
2019-01-20,15:00:00,0
2019-01-21,06:00:00,2
2019-01-21,07:00:00,56
2019-01-21,08:00:00,97
2019-01-21,09:00:00,2
2019-01-21,15:00:00,1
2019-01-21,17:00:00,1
2019-01-22,06:00:00,3
2019-01-22,08:00:00,4
2019-01-22,17:00:00,0
2019-01-23,06:00:00,1
2019-01-23,08:00:00,1
2019-01-23,17:00:00,3
2019-01-24,07:00:00,0
2019-01-24,09:00:00,1
2019-01-24,16:00:00,1
2019-01-25,06:00:00,0
2019-01-25,07:00:00,0
2019-01-25,08:00:00,26
2019-01-25,09:00:00,97
2019-01-25,10:00:00,22
2019-01-25,12:00:00,4
2019-01-25,14:00:00,1
2019-01-25,17:00:00,0
2019-01-26,11:00:00,2
2019-01-26,13:00:00,1
2019-01-27,09:00:00,0
2019-01-27,12:00:00,4
2019-01-27,15:00:00,0
2019-01-28,06:00:00,3
2019-01-28,07:00:00,57
2019-01-28,08:00:00,76
2019-01-28,09:00:00,6
2019-01-28,14:00:00,1
2019-01-28,16:00:00,0
2019-01-29,06:00:00,4
2019-01-29,08:00:00,1
2019-01-29,17:00:00,1
2019-01-30,06:00:00,1
2019-01-30,09:00:00,2
2019-01-30,17:00:00,0
2019-01-31,06:00:00,2
2019-01-31,08:00:00,0
2019-01-31,14:00:00,0
2019-01-31,16:00:00,1
2019-02-01,06:00:00,3
2019-02-01,07:00:00,58
2019-02-01,08:00:00,85
2019-02-01,09:00:00,12
2019-02-01,14:00:00,3
2019-02-01,17:00:00,0
2019-02-02,11:00:00,2
2019-02-02,13:00:00,0
2019-02-03,09:00:00,1
2019-02-03,11:00:00,1
2019-02-03,15:00:00,2
2019-02-04,06:00:00,1
2019-02-04,07:00:00,41
2019-02-04,08:00:00,87
2019-02-04,09:00:00,12
2019-02-04,14:00:00,2
2019-02-04,17:00:00,1
2019-02-05,06:00:00,1
2019-02-05,08:00:00,1
2019-02-05,15:00:00,0
2019-02-05,17:00:00,0
2019-02-06,06:00:00,2
2019-02-06,08:00:00,2
2019-02-06,17:00:00,0
2019-02-07,06:00:00,2
2019-02-07,08:00:00,0
2019-02-07,14:00:00,2
2019-02-07,16:00:00,3
2019-02-08,06:00:00,0
2019-02-08,07:00:00,34
2019-02-08,08:00:00,68
2019-02-08,09:00:00,63
2019-02-08,10:00:00,4
2019-02-08,14:00:00,0
2019-02-08,16:00:00,0
2019-02-09,10:00:00,0
2019-02-09,13:00:00,3
2019-02-10,09:00:00,2
2019-02-10,11:00:00,3
