Date,Hour,IAG IAG-01
2018-12-30,00:00:00,42
2018-12-30,01:00:00,123
2018-12-30,02:00:00,5
2018-12-30,07:00:00,12
2018-12-30,08:00:00,70
2018-12-30,09:00:00,85
2018-12-30,10:00:00,1
2018-12-31,00:00:00,86
2018-12-31,01:00:00,82
2018-12-31,14:00:00,75
2018-12-31,15:00:00,156
2018-12-31,16:00:00,83
2018-12-31,17:00:00,5
2019-01-01,00:00:00,64
2019-01-01,01:00:00,93
2019-01-01,09:00:00,18
2019-01-01,10:00:00,121
2019-01-01,11:00:00,24
2019-01-01,13:00:00,82
2019-01-01,14:00:00,68
2019-01-02,00:00:00,69
2019-01-02,01:00:00,97
2019-01-02,08:00:00,112
2019-01-02,09:00:00,46
2019-01-02,14:00:00,74
2019-01-02,15:00:00,48
2019-01-02,16:00:00,14
2019-01-03,00:00:00,68
2019-01-03,01:00:00,98
2019-01-03,07:00:00,24
2019-01-03,08:00:00,114
2019-01-03,09:00:00,9
2019-01-04,00:00:00,77
2019-01-04,01:00:00,91
2019-01-04,15:00:00,131
2019-01-04,16:00:00,120
2019-01-04,17:00:00,26
2019-01-05,00:00:00,84
2019-01-05,01:00:00,85
2019-01-05,14:00:00,69
2019-01-05,15:00:00,65
2019-01-05,16:00:00,144
2019-01-05,17:00:00,104
2019-01-05,18:00:00,33
2019-01-06,00:00:00,52
2019-01-06,01:00:00,47
2019-01-06,07:00:00,19
2019-01-06,08:00:00,112
2019-01-06,09:00:00,13
2019-01-07,01:00:00,62
2019-01-07,15:00:00,34
2019-01-07,16:00:00,125
2019-01-07,17:00:00,93
2019-01-07,18:00:00,16
2019-01-08,00:00:00,63
2019-01-08,01:00:00,28
2019-01-09,00:00:00,51
2019-01-09,01:00:00,27
2019-01-10,00:00:00,50
2019-01-10,01:00:00,44
2019-01-10,02:00:00,8
2019-01-11,00:00:00,47
2019-01-11,01:00:00,63
2019-01-11,02:00:00,11
2019-01-11,12:00:00,76
2019-01-11,13:00:00,20
2019-01-11,15:00:00,156
2019-01-11,16:00:00,12
2019-01-12,00:00:00,70
2019-01-12,01:00:00,46
2019-01-12,13:00:00,36
2019-01-12,14:00:00,85
2019-01-12,15:00:00,66
2019-01-12,16:00:00,80
2019-01-13,00:00:00,43
2019-01-13,01:00:00,37
2019-01-14,00:00:00,85
2019-01-14,01:00:00,63
2019-01-14,15:00:00,31
2019-01-14,16:00:00,137
2019-01-14,17:00:00,7
2019-01-18,00:00:00,99
2019-01-18,01:00:00,81
2019-01-18,15:00:00,132
2019-01-18,16:00:00,48
2019-01-19,00:00:00,49
2019-01-19,01:00:00,96
2019-01-21,00:00:00,67
2019-01-21,01:00:00,102
2019-01-21,15:00:00,20
2019-01-21,16:00:00,137
2019-01-21,17:00:00,31
2019-01-25,00:00:00,77
2019-01-25,01:00:00,99
2019-01-25,15:00:00,171
2019-01-25,16:00:00,9
2019-01-26,00:00:00,66
2019-01-26,01:00:00,85
2019-01-26,14:00:00,99
2019-01-26,15:00:00,129
2019-01-26,16:00:00,68
2019-01-27,00:00:00,41
2019-01-27,01:00:00,41
2019-01-28,00:00:00,57
2019-01-28,01:00:00,106
2019-01-28,15:00:00,29
2019-01-28,16:00:00,128
2019-01-28,17:00:00,25
2019-01-31,07:00:00,24
2019-01-31,08:00:00,138
2019-01-31,09:00:00,11
2019-02-01,00:00:00,57
2019-02-01,01:00:00,113
2019-02-01,02:00:00,6
2019-02-01,14:00:00,21
2019-02-01,15:00:00,145
2019-02-01,16:00:00,24
2019-02-01,19:00:00,134
2019-02-01,20:00:00,17
2019-02-01,23:00:00,21
2019-02-02,00:00:00,98
2019-02-02,01:00:00,77
2019-02-02,08:00:00,55
2019-02-02,09:00:00,120
2019-02-03,00:00:00,64
2019-02-03,01:00:00,81
2019-02-03,07:00:00,27
2019-02-03,08:00:00,127
2019-02-03,09:00:00,6
2019-02-04,00:00:00,61
2019-02-04,01:00:00,113
2019-02-04,14:00:00,29
2019-02-04,15:00:00,126
2019-02-04,16:00:00,32
2019-02-04,19:00:00,122
2019-02-04,20:00:00,18
2019-02-07,07:00:00,39
2019-02-07,08:00:00,125
2019-02-08,00:00:00,52
2019-02-08,01:00:00,66
2019-02-08,02:00:00,64
2019-02-08,14:00:00,47
2019-02-08,15:00:00,131
2019-02-08,19:00:00,147
2019-02-08,20:00:00,20
2019-02-09,00:00:00,78
2019-02-09,01:00:00,95
2019-02-09,02:00:00,11
2019-02-09,08:00:00,51
2019-02-09,09:00:00,112
2019-02-09,10:00:00,10
2019-02-10,00:00:00,67
2019-02-10,01:00:00,105
2019-02-10,07:00:00,42
2019-02-10,08:00:00,128
2019-02-11,01:00:00,94
2019-02-11,02:00:00,50
2019-02-11,03:00:00,33
2019-02-11,14:00:00,18
2019-02-11,15:00:00,128
2019-02-11,16:00:00,31
2019-02-11,19:00:00,140
2019-02-11,20:00:00,16
2019-02-13,15:00:00,64
2019-02-13,16:00:00,108
2019-02-13,19:00:00,157
2019-02-13,20:00:00,16
2019-02-14,00:00:00,66
2019-02-14,01:00:00,112
2019-02-14,08:00:00,48
2019-02-14,09:00:00,157
2019-02-14,10:00:00,121
2019-02-14,11:00:00,37
2019-02-15,00:00:00,71
2019-02-15,01:00:00,101
2019-02-15,02:00:00,9
2019-02-15,07:00:00,71
2019-02-15,08:00:00,110
2019-02-15,16:00:00,167
2019-02-15,17:00:00,160
2019-02-15,18:00:00,47
2019-02-16,00:00:00,84
2019-02-16,01:00:00,88
2019-02-16,02:00:00,8
2019-02-16,08:00:00,124
2019-02-16,09:00:00,167
2019-02-16,10:00:00,67
2019-02-16,17:00:00,125
2019-02-16,18:00:00,52
2019-02-17,00:00:00,79
2019-02-17,01:00:00,87
2019-02-17,02:00:00,16
2019-02-17,10:00:00,56
2019-02-17,11:00:00,101
2019-02-17,12:00:00,7
2019-02-18,00:00:00,53
2019-02-18,01:00:00,110
2019-02-18,02:00:00,13
2019-02-18,08:00:00,70
2019-02-18,09:00:00,85
2019-02-18,16:00:00,155
2019-02-18,17:00:00,126
2019-02-18,18:00:00,41
2019-02-19,00:00:00,75
2019-02-19,01:00:00,90
2019-02-19,02:00:00,9
2019-02-19,09:00:00,144
2019-02-19,10:00:00,142
2019-02-19,11:00:00,89
2019-02-19,12:00:00,126
2019-02-19,13:00:00,7
2019-02-20,00:00:00,62
2019-02-20,01:00:00,112
2019-02-20,15:00:00,57
2019-02-20,16:00:00,119
2019-02-20,17:00:00,92
2019-02-20,18:00:00,88
2019-02-20,19:00:00,134
2019-02-20,20:00:00,11
2019-02-21,01:00:00,103
2019-02-21,02:00:00,76
2019-02-21,03:00:00,5
2019-02-21,08:00:00,81
2019-02-21,09:00:00,122
2019-02-21,10:00:00,137
2019-02-22,00:00:00,60
2019-02-22,01:00:00,117
2019-02-22,02:00:00,6
2019-02-22,07:00:00,54
2019-02-22,08:00:00,99
2019-02-22,16:00:00,130
2019-02-22,17:00:00,131
2019-02-22,18:00:00,55
2019-02-23,00:00:00,77
2019-02-23,01:00:00,97
2019-02-23,08:00:00,156
2019-02-23,09:00:00,103
2019-02-23,10:00:00,88
2019-02-23,11:00:00,127
2019-02-24,00:00:00,70
2019-02-24,01:00:00,105
2019-02-24,10:00:00,63
2019-02-24,11:00:00,93
2019-02-25,07:00:00,31
2019-02-25,08:00:00,109
2019-02-25,16:00:00,134
2019-02-25,17:00:00,122
2019-02-25,18:00:00,11
2019-02-26,00:00:00,63
2019-02-26,01:00:00,104
2019-02-26,08:00:00,143
2019-02-26,09:00:00,114
2019-02-26,10:00:00,51
2019-02-26,16:00:00,64
2019-02-26,17:00:00,86
2019-02-27,00:00:00,57
2019-02-27,01:00:00,58
2019-02-27,08:00:00,46
2019-02-27,09:00:00,112
2019-02-27,17:00:00,62
2019-02-27,18:00:00,60
2019-02-27,19:00:00,89
2019-02-27,20:00:00,14
2019-02-28,00:00:00,53
2019-02-28,01:00:00,88
2019-02-28,02:00:00,20
2019-02-28,16:00:00,111
2019-02-28,17:00:00,167
2019-02-28,18:00:00,37
2019-03-01,00:00:00,79
2019-03-01,01:00:00,54
2019-03-01,02:00:00,45
2019-03-01,08:00:00,29
2019-03-01,09:00:00,135
2019-03-01,10:00:00,3
2019-03-01,15:00:00,110
2019-03-01,16:00:00,88
2019-03-01,17:00:00,102
2019-03-01,18:00:00,57
2019-03-02,08:00:00,103
2019-03-02,09:00:00,59
2019-03-02,16:00:00,102
2019-03-02,17:00:00,119
2019-03-02,18:00:00,64
2019-03-03,00:00:00,71
2019-03-03,01:00:00,109
2019-03-03,15:00:00,29
2019-03-03,16:00:00,151
2019-03-03,17:00:00,105
2019-03-03,18:00:00,14
2019-03-04,00:00:00,62
2019-03-04,01:00:00,104
2019-03-04,08:00:00,31
2019-03-04,09:00:00,136
2019-03-04,15:00:00,110
2019-03-04,16:00:00,73
2019-03-04,17:00:00,76
2019-03-04,18:00:00,17
2019-03-05,00:00:00,54
2019-03-05,01:00:00,115
2019-03-05,09:00:00,112
2019-03-05,10:00:00,60
2019-03-05,16:00:00,98
2019-03-05,17:00:00,59
2019-03-06,00:00:00,75
2019-03-06,01:00:00,102
2019-03-06,08:00:00,142
2019-03-06,09:00:00,2
2019-03-06,16:00:00,155
2019-03-06,17:00:00,186
2019-03-06,18:00:00,155
2019-03-06,19:00:00,7
2019-03-07,00:00:00,68
2019-03-07,01:00:00,107
2019-03-07,02:00:00,11
2019-03-07,08:00:00,14
2019-03-07,09:00:00,144
2019-03-07,10:00:00,5
2019-03-07,15:00:00,58
2019-03-07,16:00:00,96
2019-03-07,17:00:00,78
2019-03-07,18:00:00,103
2019-03-08,00:00:00,88
2019-03-08,01:00:00,93
2019-03-08,02:00:00,9
2019-03-08,07:00:00,63
2019-03-08,08:00:00,118
2019-03-08,16:00:00,99
2019-03-08,17:00:00,181
2019-03-08,18:00:00,74
2019-03-09,00:00:00,80
2019-03-09,01:00:00,89
2019-03-09,02:00:00,12
2019-03-09,08:00:00,117
2019-03-09,09:00:00,105
2019-03-09,10:00:00,104
2019-03-09,16:00:00,36
2019-03-09,17:00:00,111
2019-03-09,18:00:00,20
2019-03-10,08:00:00,51
2019-03-10,09:00:00,120
2019-03-10,15:00:00,32
2019-03-10,16:00:00,124
2019-03-10,17:00:00,97
2019-03-10,18:00:00,73
2019-03-11,01:00:00,93
2019-03-11,02:00:00,65
2019-03-11,03:00:00,27
2019-03-11,07:00:00,33
2019-03-11,08:00:00,119
2019-03-11,16:00:00,91
2019-03-11,17:00:00,210
2019-03-11,18:00:00,41
2019-03-12,00:00:00,72
2019-03-12,01:00:00,103
2019-03-12,08:00:00,106
2019-03-12,09:00:00,111
2019-03-12,10:00:00,63
2019-03-12,11:00:00,150
2019-03-12,12:00:00,18
2019-03-13,00:00:00,55
2019-03-13,01:00:00,88
2019-03-13,08:00:00,31
2019-03-13,09:00:00,126
2019-03-13,17:00:00,122
2019-03-13,18:00:00,150
2019-03-13,19:00:00,102
2019-03-13,20:00:00,67
2019-03-14,00:00:00,49
2019-03-14,01:00:00,83
2019-03-14,02:00:00,12
2019-03-14,08:00:00,37
2019-03-14,09:00:00,127
2019-03-14,15:00:00,73
2019-03-14,16:00:00,79
2019-03-14,17:00:00,91
2019-03-14,18:00:00,50
2019-03-15,00:00:00,51
2019-03-15,01:00:00,103
2019-03-15,02:00:00,7
2019-03-15,08:00:00,105
2019-03-15,09:00:00,31
2019-03-15,16:00:00,59
2019-03-15,17:00:00,110
2019-03-16,00:00:00,71
2019-03-16,01:00:00,99
2019-03-16,02:00:00,5
2019-03-16,08:00:00,54
2019-03-16,09:00:00,104
2019-03-16,15:00:00,43
2019-03-16,16:00:00,117
2019-03-16,17:00:00,200
2019-03-16,18:00:00,94
2019-03-17,00:00:00,33
2019-03-17,01:00:00,94
2019-03-17,08:00:00,24
2019-03-17,09:00:00,104
2019-03-17,15:00:00,63
2019-03-17,16:00:00,82
2019-03-17,17:00:00,46
2019-03-17,18:00:00,18
2019-03-18,00:00:00,53
2019-03-18,01:00:00,59
2019-03-18,08:00:00,113
2019-03-18,09:00:00,25
2019-03-18,16:00:00,78
2019-03-18,17:00:00,75
2019-03-18,18:00:00,12
2019-03-19,00:00:00,29
2019-03-19,01:00:00,41
2019-03-19,08:00:00,39
2019-03-19,09:00:00,108
2019-03-19,10:00:00,87
2019-03-19,11:00:00,10
2019-03-19,17:00:00,56
2019-03-19,18:00:00,64
2019-03-20,00:00:00,38
2019-03-20,01:00:00,85
2019-03-20,08:00:00,51
2019-03-20,09:00:00,83
2019-03-20,16:00:00,146
2019-03-20,17:00:00,14
2019-03-21,00:00:00,43
2019-03-21,01:00:00,70
2019-03-21,02:00:00,14
2019-03-21,08:00:00,49
2019-03-21,09:00:00,99
2019-03-21,15:00:00,62
2019-03-21,16:00:00,81
2019-03-22,00:00:00,39
2019-03-22,01:00:00,106
2019-03-22,02:00:00,9
2019-03-22,08:00:00,95
2019-03-22,09:00:00,49
2019-03-22,16:00:00,115
2019-03-22,17:00:00,39
2019-03-23,00:00:00,58
2019-03-23,01:00:00,92
2019-03-23,02:00:00,24
2019-03-23,08:00:00,95
2019-03-23,09:00:00,62
2019-03-23,15:00:00,45
2019-03-23,16:00:00,113
2019-03-23,17:00:00,171
2019-03-23,18:00:00,57
2019-03-24,00:00:00,58
2019-03-24,01:00:00,37
2019-03-24,08:00:00,41
2019-03-24,09:00:00,82
2019-03-24,10:00:00,4
2019-03-24,15:00:00,37
2019-03-24,16:00:00,88
2019-03-25,00:00:00,42
2019-03-25,01:00:00,43
2019-03-25,02:00:00,22
2019-03-25,08:00:00,100
2019-03-25,09:00:00,8
2019-03-25,14:00:00,74
2019-03-25,15:00:00,93
2019-03-25,16:00:00,7
2019-03-26,00:00:00,58
2019-03-26,01:00:00,37
2019-03-26,08:00:00,18
2019-03-26,09:00:00,89
2019-03-26,10:00:00,113
2019-03-26,11:00:00,25
2019-03-26,15:00:00,54
2019-03-26,16:00:00,48
2019-03-27,00:00:00,43
2019-03-27,01:00:00,53
2019-03-27,16:00:00,141
2019-03-27,17:00:00,127
2019-03-27,18:00:00,38
2019-03-28,00:00:00,21
2019-03-28,01:00:00,135
2019-03-28,02:00:00,8
2019-03-28,08:00:00,29
2019-03-28,09:00:00,106
2019-03-28,10:00:00,6
2019-03-28,15:00:00,48
2019-03-28,16:00:00,88
2019-03-29,00:00:00,54
2019-03-29,01:00:00,104
2019-03-29,08:00:00,106
2019-03-29,09:00:00,36
2019-03-29,16:00:00,74
2019-03-29,17:00:00,76
2019-03-30,00:00:00,71
2019-03-30,01:00:00,101
2019-03-30,08:00:00,79
2019-03-30,09:00:00,45
2019-03-30,10:00:00,108
2019-03-30,11:00:00,5
2019-03-30,15:00:00,63
2019-03-30,16:00:00,75
2019-03-30,17:00:00,92
2019-03-30,18:00:00,34
2019-03-31,00:00:00,31
2019-03-31,01:00:00,51
2019-03-31,08:00:00,35
2019-03-31,09:00:00,95
2019-03-31,15:00:00,48
2019-03-31,16:00:00,76
2019-04-01,00:00:00,54
2019-04-01,01:00:00,37
2019-04-01,08:00:00,95
2019-04-01,09:00:00,15
2019-04-01,16:00:00,78
2019-04-01,17:00:00,129
2019-04-01,18:00:00,38
2019-04-02,00:00:00,26
2019-04-02,01:00:00,29
2019-04-02,02:00:00,7
2019-04-02,09:00:00,47
2019-04-02,10:00:00,57
2019-04-02,15:00:00,66
2019-04-02,16:00:00,37
2019-04-02,17:00:00,105
2019-04-02,18:00:00,10
2019-04-03,00:00:00,25
2019-04-03,01:00:00,90
2019-04-03,15:00:00,39
2019-04-03,16:00:00,115
2019-04-03,17:00:00,144
2019-04-03,18:00:00,75
2019-04-03,19:00:00,68
2019-04-03,20:00:00,2
2019-04-04,00:00:00,56
2019-04-04,01:00:00,81
2019-04-04,02:00:00,24
2019-04-04,08:00:00,31
2019-04-04,09:00:00,111
2019-04-04,10:00:00,82
2019-04-04,11:00:00,63
2019-04-05,00:00:00,70
2019-04-05,01:00:00,80
2019-04-05,02:00:00,4
2019-04-05,13:00:00,8
2019-04-05,14:00:00,136
2019-04-05,15:00:00,15
2019-04-05,16:00:00,120
2019-04-05,17:00:00,1
2019-04-06,00:00:00,51
2019-04-06,01:00:00,92
2019-04-06,02:00:00,18
2019-04-06,07:00:00,64
2019-04-06,08:00:00,98
2019-04-06,09:00:00,106
2019-04-06,10:00:00,13
2019-04-06,17:00:00,193
2019-04-06,18:00:00,111
2019-04-07,00:00:00,57
2019-04-07,01:00:00,53
2019-04-07,08:00:00,24
2019-04-07,09:00:00,152
2019-04-07,10:00:00,87
2019-04-07,11:00:00,14
2019-04-08,00:00:00,29
2019-04-08,01:00:00,65
2019-04-08,13:00:00,33
2019-04-08,14:00:00,96
2019-04-08,15:00:00,6
2019-04-08,16:00:00,112
2019-04-08,17:00:00,88
2019-04-08,18:00:00,24
2019-04-09,01:00:00,88
2019-04-09,02:00:00,6
2019-04-09,08:00:00,99
2019-04-09,09:00:00,107
2019-04-09,10:00:00,57
2019-04-09,14:00:00,51
2019-04-09,15:00:00,72
2019-04-10,00:00:00,86
2019-04-10,01:00:00,93
2019-04-10,08:00:00,31
2019-04-10,09:00:00,140
2019-04-10,10:00:00,108
2019-04-10,17:00:00,121
2019-04-10,18:00:00,63
2019-04-11,00:00:00,33
2019-04-11,01:00:00,121
2019-04-11,02:00:00,9
2019-04-11,08:00:00,42
2019-04-11,09:00:00,112
2019-04-11,10:00:00,133
2019-04-11,11:00:00,30
2019-04-12,00:00:00,75
2019-04-12,01:00:00,98
2019-04-12,02:00:00,11
2019-04-12,08:00:00,58
2019-04-12,09:00:00,127
2019-04-12,13:00:00,30
2019-04-12,14:00:00,108
2019-04-12,15:00:00,1
2019-04-13,00:00:00,58
