Date,Hour,ILG ILG1
2021-02-23,11:00:00,3
2021-02-23,12:00:00,47
2021-02-23,13:00:00,2
2021-02-25,11:00:00,25
2021-02-25,12:00:00,105
2021-02-25,13:00:00,7
2021-02-28,11:00:00,11
2021-02-28,12:00:00,48
2021-02-28,13:00:00,14
2021-03-02,11:00:00,4
2021-03-02,12:00:00,20
2021-03-02,13:00:00,4
2021-03-04,11:00:00,32
2021-03-04,12:00:00,90
2021-03-04,13:00:00,25
2021-03-07,11:00:00,11
2021-03-07,12:00:00,24
2021-03-07,13:00:00,5
2021-03-09,11:00:00,37
2021-03-09,12:00:00,16
2021-03-11,11:00:00,68
2021-03-11,12:00:00,73
2021-03-11,13:00:00,3
2021-03-13,06:00:00,26
2021-03-13,07:00:00,37
2021-03-13,08:00:00,103
2021-03-13,09:00:00,30
2021-03-14,10:00:00,68
2021-03-14,11:00:00,34
2021-03-16,10:00:00,31
2021-03-16,11:00:00,42
2021-03-16,12:00:00,3
2021-03-18,10:00:00,61
2021-03-18,11:00:00,61
2021-03-18,12:00:00,18
2021-03-21,10:00:00,88
2021-03-21,11:00:00,48
2021-03-25,10:00:00,68
2021-03-25,11:00:00,21
2021-03-25,12:00:00,75
2021-03-28,10:00:00,103
2021-03-30,10:00:00,57
2021-03-30,11:00:00,73
2021-03-30,12:00:00,11
2021-04-01,10:00:00,72
2021-04-01,11:00:00,61
2021-04-01,12:00:00,15
2021-04-04,10:00:00,105
2021-04-04,11:00:00,22
2021-04-06,10:00:00,63
2021-04-06,11:00:00,68
2021-04-08,10:00:00,52
2021-04-08,11:00:00,73
2021-04-08,12:00:00,1
2021-04-10,14:00:00,33
2021-04-10,15:00:00,26
2021-04-11,10:00:00,27
2021-04-11,11:00:00,4
2021-04-11,12:00:00,5
2021-04-11,13:00:00,10
2021-04-13,09:00:00,27
2021-04-13,10:00:00,24
2021-04-15,09:00:00,78
2021-04-15,10:00:00,63
2021-04-18,09:00:00,17
2021-04-18,10:00:00,14
2021-04-20,09:00:00,41
2021-04-20,10:00:00,40
2021-04-22,09:00:00,35
2021-04-22,10:00:00,111
2021-04-22,11:00:00,2
2021-04-25,09:00:00,19
2021-04-25,10:00:00,20
2021-04-25,11:00:00,2
2021-04-27,10:00:00,25
2021-04-27,11:00:00,43
2021-04-27,12:00:00,3
2021-04-29,09:00:00,24
2021-04-29,10:00:00,88
2021-05-02,09:00:00,15
2021-05-02,10:00:00,35
2021-05-02,11:00:00,1
2021-05-04,09:00:00,28
2021-05-04,10:00:00,57
2021-05-06,09:00:00,41
2021-05-06,10:00:00,44
2021-05-06,11:00:00,4
2021-05-09,09:00:00,21
2021-05-09,10:00:00,33
2021-05-09,11:00:00,2
2021-05-11,09:00:00,48
2021-05-11,10:00:00,30
2021-05-11,11:00:00,1
2021-05-13,09:00:00,30
2021-05-13,10:00:00,65
2021-05-13,11:00:00,13
2021-05-16,09:00:00,22
2021-05-16,10:00:00,21
2021-05-16,11:00:00,11
2021-05-18,09:00:00,12
2021-05-18,10:00:00,51
2021-05-18,11:00:00,9
2021-05-20,09:00:00,43
2021-05-20,10:00:00,68
2021-05-23,09:00:00,23
2021-05-23,10:00:00,44
2021-05-23,11:00:00,45
2021-05-25,09:00:00,10
2021-05-25,10:00:00,41
2021-05-25,11:00:00,14
2021-05-27,08:00:00,12
2021-05-27,09:00:00,46
2021-05-27,10:00:00,3
2021-06-01,09:00:00,11
2021-06-01,10:00:00,20
2021-06-03,08:00:00,6
2021-06-03,09:00:00,15
2021-06-08,09:00:00,4
2021-06-08,10:00:00,45
2021-06-08,11:00:00,12
2021-06-08,12:00:00,6
2021-06-10,13:00:00,56
2021-06-10,14:00:00,14
2021-06-13,09:00:00,13
2021-06-13,10:00:00,43
2021-06-13,11:00:00,26
2021-06-15,09:00:00,26
2021-06-15,10:00:00,26
2021-06-15,11:00:00,72
2021-06-17,13:00:00,82
2021-06-20,09:00:00,15
2021-06-20,10:00:00,132
2021-06-20,11:00:00,19
2021-06-22,09:00:00,1
2021-06-22,10:00:00,34
2021-06-22,11:00:00,105
2021-06-24,13:00:00,72
2021-06-27,09:00:00,11
2021-06-27,10:00:00,58
2021-06-27,11:00:00,53
2021-06-27,12:00:00,23
2021-07-01,13:00:00,116
2021-07-04,09:00:00,1
2021-07-04,10:00:00,92
2021-07-04,11:00:00,22
2021-07-06,09:00:00,6
2021-07-06,10:00:00,51
2021-07-06,11:00:00,31
2021-07-08,13:00:00,48
2021-07-08,14:00:00,4
2021-07-11,09:00:00,14
2021-07-11,10:00:00,109
2021-07-11,11:00:00,51
2021-07-22,13:00:00,73
2021-07-22,14:00:00,94
2021-07-22,15:00:00,10
2021-07-25,09:00:00,12
2021-07-25,10:00:00,84
2021-07-25,11:00:00,161
2021-07-25,12:00:00,188
2021-07-27,09:00:00,5
