Date,Hour,IPT Main Checkpoint
2018-12-30,04:00:00,13.0
2018-12-30,05:00:00,39.0
2018-12-30,09:00:00,7.0
2018-12-30,10:00:00,46.0
2018-12-31,04:00:00,10.0
2018-12-31,05:00:00,36.0
2018-12-31,09:00:00,11.0
2018-12-31,10:00:00,35.0
2019-01-01,10:00:00,0.0
2019-01-02,06:00:00,22.0
2019-01-02,07:00:00,29.0
2019-01-02,09:00:00,13.0
2019-01-02,10:00:00,23.0
2019-01-03,04:00:00,12.0
2019-01-03,05:00:00,32.0
2019-01-03,09:00:00,11.0
2019-01-03,10:00:00,27.0
2019-01-04,04:00:00,9.0
2019-01-04,05:00:00,17.0
2019-01-04,09:00:00,13.0
2019-01-04,10:00:00,21.0
2019-01-05,04:00:00,6.0
2019-01-05,05:00:00,28.0
2019-01-05,09:00:00,8.0
2019-01-05,10:00:00,22.0
2019-01-06,09:00:00,27.0
2019-01-06,10:00:00,16.0
2019-01-07,09:00:00,18.0
2019-01-07,10:00:00,13.0
2019-01-08,09:00:00,7.0
2019-01-09,09:00:00,46.0
2019-01-09,10:00:00,12.0
2019-01-10,09:00:00,14.0
2019-01-10,10:00:00,6.0
2019-01-11,09:00:00,17.0
2019-01-11,10:00:00,6.0
2019-01-12,09:00:00,20.0
2019-01-12,10:00:00,9.0
2019-01-13,10:00:00,3.0
2019-01-14,09:00:00,33.0
2019-01-14,10:00:00,9.0
2019-01-15,09:00:00,27.0
2019-01-15,10:00:00,7.0
2019-01-16,09:00:00,20.0
2019-01-16,10:00:00,11.0
2019-01-17,09:00:00,22.0
2019-01-17,10:00:00,3.0
2019-01-18,09:00:00,19.0
2019-01-18,10:00:00,5.0
2019-01-19,09:00:00,10.0
2019-01-19,10:00:00,9.0
2019-01-20,09:00:00,10.0
2019-01-20,10:00:00,9.0
2019-01-21,09:00:00,0.0
2019-01-22,09:00:00,38.0
2019-01-22,10:00:00,4.0
2019-01-23,09:00:00,36.0
2019-01-24,09:00:00,0.0
2019-01-25,09:00:00,27.0
2019-01-25,10:00:00,12.0
2019-01-26,09:00:00,21.0
2019-01-26,10:00:00,23.0
2019-01-27,09:00:00,14.0
2019-01-27,10:00:00,7.0
2019-01-28,09:00:00,25.0
2019-01-28,10:00:00,7.0
2019-01-29,09:00:00,17.0
2019-01-29,10:00:00,5.0
2019-01-30,09:00:00,25.0
2019-01-30,10:00:00,2.0
2019-01-31,09:00:00,8.0
2019-01-31,10:00:00,3.0
2019-02-01,09:00:00,20.0
2019-02-01,10:00:00,1.0
2019-02-02,09:00:00,18.0
