Date,Hour,JAN JAN-East,JAN JAN-West
2018-12-30,04:00:00,74.0,23.0
2018-12-30,05:00:00,196.0,77.0
2018-12-30,06:00:00,28.0,75.0
2018-12-30,07:00:00,42.0,31.0
2018-12-30,08:00:00,107.0,122.0
2018-12-30,09:00:00,82.0,142.0
2018-12-30,10:00:00,45.0,70.0
2018-12-30,11:00:00,65.0,37.0
2018-12-30,12:00:00,44.0,63.0
2018-12-30,13:00:00,84.0,13.0
2018-12-30,14:00:00,19.0,62.0
2018-12-30,15:00:00,81.0,54.0
2018-12-30,16:00:00,72.0,43.0
2018-12-30,17:00:00,93.0,38.0
2018-12-30,18:00:00,21.0,
2018-12-31,04:00:00,94.0,36.0
2018-12-31,05:00:00,99.0,76.0
2018-12-31,06:00:00,31.0,59.0
2018-12-31,07:00:00,24.0,23.0
2018-12-31,08:00:00,113.0,73.0
2018-12-31,09:00:00,65.0,8.0
2018-12-31,10:00:00,76.0,11.0
2018-12-31,11:00:00,133.0,14.0
2018-12-31,12:00:00,37.0,109.0
2018-12-31,13:00:00,76.0,203.0
2018-12-31,14:00:00,7.0,
2018-12-31,15:00:00,13.0,
2018-12-31,16:00:00,31.0,
2018-12-31,17:00:00,37.0,
2019-01-01,04:00:00,88.0,1.0
2019-01-01,05:00:00,50.0,4.0
2019-01-01,06:00:00,30.0,68.0
2019-01-01,07:00:00,23.0,28.0
2019-01-01,08:00:00,86.0,64.0
2019-01-01,09:00:00,84.0,2.0
2019-01-01,10:00:00,94.0,4.0
2019-01-01,11:00:00,97.0,39.0
2019-01-01,12:00:00,21.0,80.0
2019-01-01,13:00:00,78.0,7.0
2019-01-01,14:00:00,19.0,43.0
2019-01-01,15:00:00,40.0,28.0
2019-01-01,16:00:00,55.0,
2019-01-01,17:00:00,62.0,
2019-01-01,18:00:00,39.0,
2019-01-01,19:00:00,19.0,
2019-01-02,04:00:00,74.0,12.0
2019-01-02,05:00:00,160.0,26.0
2019-01-02,06:00:00,27.0,67.0
2019-01-02,07:00:00,29.0,29.0
2019-01-02,08:00:00,103.0,85.0
2019-01-02,09:00:00,62.0,14.0
2019-01-02,10:00:00,92.0,51.0
2019-01-02,11:00:00,78.0,45.0
2019-01-02,12:00:00,94.0,84.0
2019-01-02,13:00:00,85.0,11.0
2019-01-02,14:00:00,28.0,36.0
2019-01-02,15:00:00,72.0,30.0
2019-01-02,16:00:00,31.0,19.0
2019-01-02,17:00:00,33.0,44.0
2019-01-02,18:00:00,18.0,
2019-01-03,04:00:00,70.0,43.0
2019-01-03,05:00:00,74.0,66.0
2019-01-03,06:00:00,29.0,66.0
2019-01-03,07:00:00,45.0,40.0
2019-01-03,08:00:00,62.0,93.0
2019-01-03,09:00:00,95.0,155.0
2019-01-03,10:00:00,94.0,11.0
2019-01-03,11:00:00,68.0,38.0
2019-01-03,12:00:00,51.0,89.0
2019-01-03,13:00:00,130.0,6.0
2019-01-03,14:00:00,25.0,58.0
2019-01-03,15:00:00,25.0,53.0
2019-01-03,16:00:00,52.0,
2019-01-03,17:00:00,66.0,
2019-01-03,18:00:00,76.0,
2019-01-04,04:00:00,66.0,33.0
2019-01-04,05:00:00,131.0,74.0
2019-01-04,06:00:00,13.0,70.0
2019-01-04,07:00:00,23.0,30.0
2019-01-04,08:00:00,119.0,82.0
2019-01-04,09:00:00,92.0,2.0
2019-01-04,10:00:00,57.0,11.0
2019-01-04,11:00:00,89.0,47.0
2019-01-04,12:00:00,55.0,130.0
2019-01-04,13:00:00,121.0,132.0
2019-01-04,14:00:00,25.0,47.0
2019-01-04,15:00:00,17.0,64.0
2019-01-04,16:00:00,58.0,
2019-01-04,17:00:00,80.0,
2019-01-04,18:00:00,17.0,
2019-01-05,04:00:00,130.0,39.0
2019-01-05,05:00:00,110.0,80.0
2019-01-05,06:00:00,26.0,51.0
2019-01-05,07:00:00,5.0,23.0
2019-01-05,08:00:00,24.0,2.0
2019-01-05,09:00:00,94.0,61.0
2019-01-05,10:00:00,97.0,58.0
2019-01-05,11:00:00,83.0,1.0
2019-01-05,12:00:00,32.0,5.0
2019-01-05,13:00:00,77.0,1.0
2019-01-05,14:00:00,4.0,19.0
2019-01-05,15:00:00,15.0,71.0
2019-01-05,16:00:00,59.0,
2019-01-05,17:00:00,84.0,
2019-01-05,18:00:00,18.0,
2019-01-06,04:00:00,65.0,48.0
2019-01-06,05:00:00,84.0,75.0
2019-01-06,06:00:00,22.0,133.0
2019-01-06,07:00:00,30.0,7.0
2019-01-06,08:00:00,104.0,51.0
2019-01-06,09:00:00,61.0,186.0
2019-01-06,10:00:00,65.0,41.0
2019-01-06,11:00:00,82.0,36.0
2019-01-06,12:00:00,44.0,75.0
2019-01-06,13:00:00,87.0,3.0
2019-01-06,14:00:00,23.0,18.0
2019-01-06,15:00:00,49.0,81.0
2019-01-06,16:00:00,55.0,23.0
2019-01-06,17:00:00,66.0,10.0
2019-01-06,18:00:00,36.0,7.0
2019-01-07,04:00:00,62.0,36.0
2019-01-07,05:00:00,109.0,62.0
2019-01-07,06:00:00,33.0,102.0
2019-01-07,07:00:00,11.0,15.0
2019-01-07,08:00:00,75.0,43.0
2019-01-07,09:00:00,85.0,118.0
2019-01-07,10:00:00,67.0,5.0
2019-01-07,11:00:00,69.0,32.0
2019-01-07,12:00:00,56.0,106.0
2019-01-07,13:00:00,65.0,125.0
2019-01-07,14:00:00,25.0,47.0
2019-01-07,15:00:00,30.0,80.0
2019-01-07,16:00:00,68.0,13.0
2019-01-07,17:00:00,41.0,19.0
2019-01-07,18:00:00,20.0,12.0
2019-01-08,04:00:00,68.0,30.0
2019-01-08,05:00:00,84.0,64.0
2019-01-08,06:00:00,15.0,74.0
2019-01-08,07:00:00,5.0,9.0
2019-01-08,08:00:00,72.0,38.0
2019-01-08,09:00:00,42.0,95.0
2019-01-08,10:00:00,39.0,6.0
2019-01-08,11:00:00,48.0,47.0
2019-01-08,12:00:00,34.0,48.0
2019-01-08,13:00:00,72.0,5.0
2019-01-08,14:00:00,22.0,26.0
2019-01-08,15:00:00,35.0,63.0
2019-01-08,16:00:00,13.0,12.0
2019-01-08,17:00:00,22.0,28.0
2019-01-08,18:00:00,16.0,14.0
2019-01-09,04:00:00,64.0,25.0
2019-01-09,05:00:00,96.0,52.0
2019-01-09,06:00:00,14.0,72.0
2019-01-09,07:00:00,10.0,15.0
2019-01-09,08:00:00,71.0,39.0
2019-01-09,09:00:00,37.0,100.0
2019-01-09,10:00:00,73.0,11.0
2019-01-09,11:00:00,41.0,36.0
2019-01-09,12:00:00,41.0,68.0
2019-01-09,13:00:00,72.0,2.0
2019-01-09,14:00:00,40.0,42.0
2019-01-09,15:00:00,23.0,66.0
2019-01-09,16:00:00,29.0,10.0
2019-01-09,17:00:00,32.0,23.0
2019-01-09,18:00:00,10.0,17.0
2019-01-10,04:00:00,65.0,45.0
2019-01-10,05:00:00,77.0,55.0
2019-01-10,06:00:00,14.0,125.0
2019-01-10,07:00:00,34.0,10.0
2019-01-10,08:00:00,49.0,97.0
2019-01-10,09:00:00,37.0,179.0
2019-01-10,10:00:00,64.0,10.0
2019-01-10,11:00:00,45.0,27.0
2019-01-10,12:00:00,55.0,76.0
2019-01-10,13:00:00,91.0,9.0
2019-01-10,14:00:00,42.0,47.0
2019-01-10,15:00:00,38.0,105.0
2019-01-10,16:00:00,38.0,13.0
2019-01-10,17:00:00,46.0,23.0
2019-01-10,18:00:00,20.0,24.0
2019-01-11,04:00:00,80.0,47.0
2019-01-11,05:00:00,86.0,57.0
2019-01-11,06:00:00,28.0,62.0
2019-01-11,07:00:00,29.0,20.0
2019-01-11,08:00:00,96.0,42.0
2019-01-11,09:00:00,44.0,89.0
2019-01-11,10:00:00,43.0,59.0
2019-01-11,11:00:00,71.0,50.0
2019-01-11,12:00:00,37.0,112.0
2019-01-11,13:00:00,116.0,112.0
2019-01-11,14:00:00,27.0,37.0
2019-01-11,15:00:00,27.0,94.0
2019-01-11,16:00:00,44.0,17.0
2019-01-11,17:00:00,42.0,26.0
2019-01-11,18:00:00,4.0,3.0
2019-01-12,04:00:00,54.0,48.0
2019-01-12,05:00:00,101.0,83.0
2019-01-12,06:00:00,16.0,69.0
2019-01-12,07:00:00,0.0,0.0
2019-01-12,08:00:00,7.0,33.0
2019-01-12,09:00:00,24.0,51.0
2019-01-12,10:00:00,49.0,48.0
2019-01-12,11:00:00,44.0,1.0
2019-01-12,12:00:00,81.0,1.0
2019-01-12,13:00:00,66.0,4.0
2019-01-12,14:00:00,,12.0
2019-01-12,15:00:00,,54.0
2019-01-13,04:00:00,58.0,51.0
2019-01-13,05:00:00,24.0,46.0
2019-01-13,06:00:00,2.0,94.0
2019-01-13,07:00:00,24.0,6.0
2019-01-13,08:00:00,94.0,69.0
2019-01-13,09:00:00,65.0,169.0
2019-01-13,10:00:00,65.0,20.0
2019-01-13,11:00:00,101.0,45.0
2019-01-13,12:00:00,106.0,75.0
2019-01-13,13:00:00,121.0,5.0
2019-01-13,14:00:00,16.0,13.0
