Date,Hour,LNK North Hold,LNK South Hold
2018-12-30,04:00:00,46.0,24.0
2018-12-30,05:00:00,77.0,75.0
2018-12-30,10:00:00,,48.0
2018-12-30,11:00:00,,32.0
2018-12-30,12:00:00,44.0,20.0
2018-12-30,16:00:00,,55.0
2018-12-30,17:00:00,,50.0
2018-12-31,04:00:00,,13.0
2018-12-31,05:00:00,22.0,78.0
2018-12-31,06:00:00,82.0,
2018-12-31,10:00:00,,42.0
2018-12-31,11:00:00,,9.0
2018-12-31,12:00:00,,39.0
2018-12-31,13:00:00,,8.0
2018-12-31,17:00:00,,12.0
2019-01-01,04:00:00,18.0,34.0
2019-01-01,05:00:00,87.0,48.0
2019-01-01,06:00:00,,2.0
2019-01-01,10:00:00,,42.0
2019-01-01,11:00:00,,5.0
2019-01-01,12:00:00,,12.0
2019-01-01,14:00:00,,25.0
2019-01-01,16:00:00,,51.0
2019-01-01,17:00:00,,36.0
2019-01-02,04:00:00,12.0,13.0
2019-01-02,05:00:00,90.0,71.0
2019-01-02,10:00:00,,21.0
2019-01-02,11:00:00,,35.0
2019-01-02,12:00:00,29.0,21.0
2019-01-02,15:00:00,,14.0
2019-01-02,16:00:00,,35.0
2019-01-02,17:00:00,,16.0
2019-01-03,04:00:00,96.0,
2019-01-03,05:00:00,12.0,50.0
2019-01-03,06:00:00,,50.0
2019-01-03,10:00:00,,49.0
2019-01-03,11:00:00,,12.0
2019-01-03,12:00:00,30.0,32.0
2019-01-03,16:00:00,,22.0
2019-01-03,17:00:00,,29.0
2019-01-04,04:00:00,,8.0
2019-01-04,05:00:00,80.0,40.0
2019-01-04,06:00:00,3.0,
2019-01-04,10:00:00,,46.0
2019-01-04,11:00:00,,11.0
2019-01-04,12:00:00,27.0,24.0
2019-01-04,16:00:00,,27.0
2019-01-04,17:00:00,,13.0
2019-01-05,04:00:00,44.0,6.0
2019-01-05,05:00:00,42.0,55.0
2019-01-05,10:00:00,,48.0
2019-01-05,11:00:00,16.0,14.0
2019-01-05,12:00:00,12.0,31.0
2019-01-05,16:00:00,,34.0
2019-01-05,17:00:00,,12.0
2019-01-06,04:00:00,,8.0
2019-01-06,05:00:00,35.0,67.0
2019-01-06,06:00:00,2.0,4.0
2019-01-06,09:00:00,9.0,
2019-01-06,10:00:00,18.0,59.0
2019-01-06,11:00:00,,15.0
2019-01-06,12:00:00,,18.0
2019-01-06,16:00:00,25.0,50.0
2019-01-06,17:00:00,,24.0
2019-01-07,04:00:00,24.0,8.0
