Date,Hour,LWS LWS-Ckpt,LWS SSC Main
2018-12-30,02:00:00,,6.0
2018-12-30,03:00:00,,46.0
2018-12-30,10:00:00,,0.0
2018-12-30,11:00:00,,43.0
2018-12-30,12:00:00,,7.0
2018-12-30,17:00:00,,24.0
2018-12-30,18:00:00,,8.0
2018-12-31,06:00:00,,27.0
2018-12-31,07:00:00,,13.0
2018-12-31,10:00:00,,0.0
2018-12-31,11:00:00,,36.0
2018-12-31,12:00:00,,0.0
2018-12-31,15:00:00,,34.0
2018-12-31,16:00:00,,5.0
2019-01-01,04:00:00,,3.0
2019-01-01,05:00:00,,22.0
2019-01-01,10:00:00,,0.0
2019-01-01,11:00:00,,54.0
2019-01-02,03:00:00,,11.0
2019-01-02,04:00:00,,24.0
2019-01-02,10:00:00,,0.0
2019-01-02,11:00:00,,49.0
2019-01-03,03:00:00,,1.0
2019-01-03,04:00:00,,40.0
2019-01-03,10:00:00,,0.0
2019-01-03,11:00:00,,50.0
2019-01-03,12:00:00,,1.0
2019-01-03,15:00:00,,15.0
2019-01-03,16:00:00,,7.0
2019-01-04,03:00:00,,5.0
2019-01-04,04:00:00,,42.0
2019-01-04,08:00:00,,1.0
2019-01-04,09:00:00,,1.0
2019-01-04,10:00:00,,2.0
2019-01-04,11:00:00,,35.0
2019-01-04,12:00:00,,0.0
2019-01-04,15:00:00,,10.0
2019-01-04,16:00:00,,10.0
2019-01-05,03:00:00,,3.0
2019-01-05,04:00:00,,32.0
2019-01-05,10:00:00,,0.0
2019-01-05,11:00:00,,33.0
2019-01-06,03:00:00,,2.0
2019-01-06,04:00:00,,39.0
2019-01-06,10:00:00,,2.0
2019-01-06,11:00:00,,35.0
2019-01-07,03:00:00,,5.0
2019-01-07,04:00:00,,36.0
2019-01-07,10:00:00,,1.0
2019-01-07,11:00:00,,31.0
2019-01-07,12:00:00,,2.0
2019-01-08,03:00:00,,3.0
2019-01-08,04:00:00,,37.0
2019-01-08,10:00:00,,1.0
2019-01-08,11:00:00,,32.0
2019-01-09,03:00:00,,0.0
2019-01-09,04:00:00,,48.0
2019-01-09,10:00:00,,0.0
2019-01-09,11:00:00,,38.0
2019-01-10,03:00:00,,4.0
2019-01-10,04:00:00,,37.0
2019-01-10,05:00:00,,0.0
2019-01-10,11:00:00,,46.0
2019-01-10,12:00:00,,0.0
2019-01-11,03:00:00,,4.0
2019-01-11,04:00:00,,46.0
2019-01-11,05:00:00,,0.0
2019-01-11,10:00:00,,0.0
2019-01-11,11:00:00,,38.0
2019-01-11,12:00:00,,0.0
2019-01-12,03:00:00,,8.0
2019-01-12,04:00:00,,35.0
2019-01-12,11:00:00,,26.0
2019-01-13,03:00:00,,2.0
2019-01-13,04:00:00,,39.0
2019-01-13,11:00:00,,30.0
2019-01-13,12:00:00,,0.0
2019-01-14,03:00:00,,2.0
2019-01-14,04:00:00,,30.0
2019-01-14,08:00:00,,1.0
2019-01-14,09:00:00,,0.0
2019-01-14,10:00:00,,30.0
2019-01-14,11:00:00,,0.0
2019-01-15,03:00:00,,4.0
2019-01-15,04:00:00,,39.0
2019-01-15,09:00:00,,1.0
2019-01-15,10:00:00,,0.0
2019-01-15,11:00:00,,37.0
2019-01-16,03:00:00,,2.0
2019-01-16,04:00:00,,39.0
