Date,Hour,MCK Gate 1
2018-12-30,06:00:00,5.0
2018-12-30,07:00:00,3.0
2018-12-31,06:00:00,4.0
2018-12-31,07:00:00,2.0
2019-01-01,06:00:00,2.0
2019-01-01,07:00:00,2.0
2019-01-01,16:00:00,1.0
2019-01-01,17:00:00,4.0
2019-01-02,06:00:00,2.0
2019-01-02,07:00:00,3.0
2019-01-02,17:00:00,6.0
2019-01-03,06:00:00,2.0
2019-01-03,07:00:00,4.0
2019-01-04,06:00:00,2.0
2019-01-04,07:00:00,1.0
2019-01-05,06:00:00,3.0
2019-01-05,07:00:00,2.0
2019-01-06,06:00:00,2.0
2019-01-06,07:00:00,2.0
2019-01-07,06:00:00,2.0
2019-01-07,16:00:00,4.0
2019-01-07,17:00:00,2.0
2019-01-08,06:00:00,5.0
2019-01-08,17:00:00,1.0
2019-01-09,06:00:00,1.0
2019-01-09,17:00:00,1.0
2019-01-10,07:00:00,1.0
2019-01-10,17:00:00,4.0
2019-01-11,06:00:00,0.0
2019-01-11,17:00:00,1.0
2019-01-12,05:00:00,5.0
2019-01-12,06:00:00,1.0
2019-01-13,06:00:00,2.0
2019-01-14,18:00:00,2.0
2019-01-15,06:00:00,1.0
2019-01-15,07:00:00,3.0
2019-01-15,17:00:00,2.0
2019-01-16,07:00:00,6.0
2019-01-16,17:00:00,5.0
2019-01-17,06:00:00,2.0
2019-01-17,07:00:00,1.0
2019-01-17,17:00:00,4.0
2019-01-19,06:00:00,5.0
2019-01-19,07:00:00,1.0
2019-01-20,06:00:00,2.0
2019-01-20,07:00:00,2.0
2019-01-21,17:00:00,0.0
2019-01-22,17:00:00,1.0
2019-01-23,06:00:00,3.0
2019-01-23,17:00:00,4.0
2019-01-24,06:00:00,1.0
2019-01-24,07:00:00,1.0
2019-01-25,06:00:00,2.0
2019-01-25,17:00:00,3.0
2019-01-26,08:00:00,3.0
2019-01-27,07:00:00,1.0
2019-01-28,06:00:00,1.0
2019-01-28,17:00:00,4.0
2019-01-29,06:00:00,2.0
2019-01-29,17:00:00,4.0
2019-01-30,06:00:00,6.0
2019-01-31,17:00:00,1.0
2019-02-01,06:00:00,1.0
2019-02-01,17:00:00,2.0
2019-02-02,06:00:00,0.0
2019-02-03,06:00:00,4.0
2019-02-03,07:00:00,2.0
2019-02-04,07:00:00,1.0
2019-02-04,17:00:00,1.0
2019-02-05,06:00:00,1.0
2019-02-05,07:00:00,2.0
2019-02-05,17:00:00,3.0
2019-02-06,08:00:00,5.0
2019-02-06,09:00:00,0.0
2019-02-06,10:00:00,0.0
2019-02-06,17:00:00,5.0
2019-02-07,18:00:00,1.0
2019-02-08,06:00:00,4.0
2019-02-08,07:00:00,2.0
2019-02-08,17:00:00,4.0
2019-02-09,07:00:00,2.0
2019-02-10,06:00:00,4.0
2019-02-10,07:00:00,2.0
2019-02-11,19:00:00,3.0
2019-02-12,06:00:00,4.0
2019-02-12,17:00:00,1.0
2019-02-13,06:00:00,5.0
2019-02-13,17:00:00,3.0
2019-02-14,06:00:00,2.0
2019-02-14,07:00:00,0.0
2019-02-15,06:00:00,4.0
2019-02-15,17:00:00,5.0
2019-02-15,18:00:00,2.0
2019-02-16,07:00:00,4.0
2019-02-17,05:00:00,0.0
2019-02-18,06:00:00,2.0
2019-02-18,07:00:00,2.0
2019-02-18,17:00:00,2.0
2019-02-18,18:00:00,1.0
2019-02-19,06:00:00,0.0
2019-02-19,17:00:00,0.0
2019-02-20,06:00:00,1.0
2019-02-20,19:00:00,3.0
2019-02-21,06:00:00,3.0
2019-02-21,07:00:00,2.0
2019-02-21,17:00:00,3.0
2019-02-22,07:00:00,3.0
2019-02-23,06:00:00,0.0
2019-02-24,06:00:00,1.0
2019-02-24,07:00:00,2.0
2019-02-25,06:00:00,3.0
2019-02-26,16:00:00,2.0
2019-02-27,07:00:00,4.0
2019-02-28,07:00:00,3.0
2019-02-28,08:00:00,2.0
2019-02-28,17:00:00,4.0
2019-02-28,18:00:00,3.0
2019-03-01,06:00:00,2.0
2019-03-01,17:00:00,3.0
2019-03-02,06:00:00,0.0
2019-03-04,07:00:00,5.0
2019-03-04,17:00:00,2.0
2019-03-05,06:00:00,1.0
2019-03-05,07:00:00,1.0
2019-03-05,17:00:00,1.0
2019-03-06,06:00:00,4.0
2019-03-06,17:00:00,3.0
2019-03-07,06:00:00,1.0
2019-03-07,07:00:00,1.0
2019-03-07,17:00:00,5.0
2019-03-08,06:00:00,4.0
2019-03-08,17:00:00,1.0
2019-03-09,08:00:00,3.0
2019-03-10,06:00:00,2.0
2019-03-10,07:00:00,1.0
2019-03-11,06:00:00,3.0
2019-03-11,07:00:00,3.0
2019-03-11,16:00:00,3.0
2019-03-12,06:00:00,3.0
2019-03-12,17:00:00,2.0
2019-03-14,20:00:00,0.0
2019-03-15,08:00:00,8.0
2019-03-15,17:00:00,6.0
2019-03-16,06:00:00,1.0
2019-03-17,06:00:00,2.0
2019-03-17,07:00:00,2.0
2019-03-18,06:00:00,1.0
2019-03-18,07:00:00,3.0
2019-03-18,17:00:00,4.0
2019-03-18,18:00:00,2.0
2019-03-19,06:00:00,3.0
2019-03-19,07:00:00,2.0
2019-03-19,17:00:00,3.0
2019-03-20,06:00:00,2.0
2019-03-20,07:00:00,1.0
2019-03-20,17:00:00,2.0
2019-03-20,18:00:00,2.0
2019-03-21,06:00:00,3.0
2019-03-21,07:00:00,2.0
2019-03-21,17:00:00,3.0
2019-03-22,06:00:00,1.0
2019-03-22,17:00:00,1.0
2019-03-22,18:00:00,1.0
2019-03-23,08:00:00,3.0
2019-03-24,06:00:00,2.0
2019-03-25,06:00:00,2.0
2019-03-25,17:00:00,1.0
2019-03-26,06:00:00,3.0
2019-03-26,07:00:00,2.0
2019-03-26,17:00:00,4.0
2019-03-27,07:00:00,4.0
2019-03-27,17:00:00,1.0
2019-03-28,06:00:00,1.0
2019-03-28,17:00:00,1.0
2019-03-29,07:00:00,3.0
2019-03-29,18:00:00,4.0
2019-03-30,10:00:00,3.0
2019-03-31,07:00:00,3.0
2019-04-01,06:00:00,3.0
2019-04-02,06:00:00,3.0
2019-04-02,17:00:00,4.0
2019-04-03,06:00:00,5.0
2019-04-03,07:00:00,1.0
2019-04-03,18:00:00,2.0
2019-04-04,06:00:00,3.0
2019-04-04,07:00:00,2.0
2019-04-04,17:00:00,3.0
2019-04-05,07:00:00,3.0
2019-04-06,07:00:00,1.0
2019-04-07,06:00:00,3.0
2019-04-08,06:00:00,4.0
2019-04-08,07:00:00,2.0
2019-04-09,06:00:00,5.0
2019-04-09,07:00:00,2.0
2019-04-10,06:00:00,3.0
2019-04-10,07:00:00,1.0
2019-04-12,17:00:00,2.0
2019-04-13,07:00:00,4.0
2019-04-14,06:00:00,3.0
2019-04-15,06:00:00,1.0
2019-04-15,07:00:00,1.0
2019-04-15,17:00:00,2.0
2019-04-16,06:00:00,3.0
2019-04-16,07:00:00,1.0
2019-04-16,17:00:00,4.0
2019-04-17,06:00:00,2.0
2019-04-17,07:00:00,1.0
2019-04-17,17:00:00,2.0
2019-04-18,06:00:00,3.0
2019-04-18,07:00:00,1.0
2019-04-18,17:00:00,1.0
2019-04-18,18:00:00,1.0
2019-04-19,06:00:00,4.0
2019-04-19,17:00:00,3.0
2019-04-20,06:00:00,2.0
2019-04-21,06:00:00,6.0
2019-04-22,06:00:00,4.0
2019-04-22,07:00:00,1.0
2019-04-22,17:00:00,3.0
2019-04-23,06:00:00,2.0
2019-04-23,07:00:00,2.0
2019-04-23,17:00:00,2.0
2019-04-24,06:00:00,5.0
2019-04-24,07:00:00,2.0
2019-04-25,06:00:00,2.0
2019-04-25,07:00:00,1.0
2019-04-25,17:00:00,3.0
2019-04-26,06:00:00,2.0
2019-04-26,07:00:00,2.0
2019-04-26,17:00:00,6.0
2019-04-27,06:00:00,2.0
2019-04-28,06:00:00,3.0
2019-04-29,06:00:00,1.0
2019-04-29,07:00:00,7.0
2019-04-29,17:00:00,5.0
2019-04-29,18:00:00,1.0
2019-04-30,06:00:00,3.0
2019-04-30,17:00:00,3.0
2019-05-01,08:00:00,1.0
2019-05-01,09:00:00,1.0
2019-05-01,17:00:00,2.0
2019-05-02,06:00:00,3.0
2019-05-02,07:00:00,1.0
2019-05-02,17:00:00,2.0
2019-05-02,18:00:00,0.0
2019-05-03,06:00:00,1.0
2019-05-03,17:00:00,5.0
2019-05-03,18:00:00,2.0
2019-05-04,07:00:00,2.0
2019-05-05,06:00:00,4.0
2019-05-06,06:00:00,4.0
2019-05-06,17:00:00,4.0
2019-05-07,06:00:00,1.0
2019-05-07,07:00:00,3.0
2019-05-08,06:00:00,2.0
2019-05-08,07:00:00,4.0
2019-05-08,17:00:00,8.0
2019-05-09,06:00:00,3.0
2019-05-09,07:00:00,4.0
2019-05-09,17:00:00,4.0
2019-05-10,06:00:00,5.0
2019-05-10,07:00:00,1.0
2019-05-11,07:00:00,0.0
2019-05-12,06:00:00,3.0
2019-05-13,06:00:00,1.0
2019-05-13,07:00:00,7.0
2019-05-13,17:00:00,3.0
2019-05-13,18:00:00,2.0
2019-05-14,06:00:00,5.0
2019-05-14,07:00:00,4.0
2019-05-14,18:00:00,5.0
2019-05-15,06:00:00,3.0
2019-05-15,17:00:00,3.0
2019-05-16,06:00:00,3.0
2019-05-16,07:00:00,4.0
2019-05-16,17:00:00,0.0
2019-05-17,08:00:00,5.0
2019-05-17,17:00:00,1.0
2019-05-17,18:00:00,1.0
2019-05-18,06:00:00,4.0
2019-05-18,07:00:00,3.0
2019-05-19,06:00:00,4.0
2019-05-20,06:00:00,2.0
2019-05-20,07:00:00,2.0
2019-05-20,16:00:00,2.0
2019-05-20,17:00:00,2.0
2019-05-21,17:00:00,3.0
2019-05-22,06:00:00,2.0
2019-05-22,07:00:00,2.0
2019-05-22,17:00:00,4.0
2019-05-22,18:00:00,2.0
2019-05-23,06:00:00,3.0
