Date,Hour,MCN MCN-A
2018-12-30,08:00:00,30
2018-12-30,14:00:00,30
2018-12-31,06:00:00,28
2018-12-31,14:00:00,29
2019-01-01,14:00:00,31
2019-01-02,07:00:00,29
2019-01-02,14:00:00,9
2019-01-03,06:00:00,23
2019-01-03,14:00:00,20
2019-01-04,06:00:00,20
2019-01-04,13:00:00,16
2019-01-05,06:00:00,20
2019-01-05,11:00:00,2
2019-01-06,08:00:00,27
2019-01-06,14:00:00,29
2019-01-07,06:00:00,17
2019-01-07,14:00:00,15
2019-01-08,06:00:00,22
2019-01-08,14:00:00,7
2019-01-09,07:00:00,24
2019-01-09,14:00:00,10
2019-01-10,06:00:00,12
2019-01-10,14:00:00,20
2019-01-11,06:00:00,13
2019-01-11,09:00:00,58
2019-01-11,14:00:00,19
2019-01-12,06:00:00,23
2019-01-13,08:00:00,17
2019-01-13,14:00:00,23
2019-01-14,06:00:00,25
2019-01-14,14:00:00,13
2019-01-15,06:00:00,13
2019-01-15,14:00:00,15
2019-01-16,07:00:00,16
2019-01-16,15:00:00,3
2019-01-16,19:00:00,107
2019-01-17,06:00:00,19
2019-01-17,14:00:00,27
2019-01-18,06:00:00,19
2019-01-18,14:00:00,23
2019-01-19,06:00:00,28
2019-01-19,11:00:00,8
2019-01-20,08:00:00,25
2019-01-20,14:00:00,12
2019-01-21,06:00:00,18
2019-01-21,14:00:00,28
2019-01-22,06:00:00,17
2019-01-22,14:00:00,32
2019-01-23,07:00:00,27
2019-01-23,14:00:00,4
2019-01-24,06:00:00,17
2019-01-24,14:00:00,22
2019-01-25,06:00:00,14
2019-01-25,14:00:00,25
2019-01-26,06:00:00,21
2019-01-27,08:00:00,16
2019-01-27,14:00:00,28
2019-01-28,06:00:00,21
2019-01-28,14:00:00,16
2019-01-29,06:00:00,17
2019-01-29,14:00:00,15
2019-01-30,06:00:00,25
2019-01-30,16:00:00,6
2019-01-31,06:00:00,11
2019-01-31,14:00:00,14
2019-02-01,06:00:00,26
2019-02-01,14:00:00,19
2019-02-02,06:00:00,19
2019-02-03,08:00:00,18
2019-02-03,14:00:00,23
2019-02-04,06:00:00,29
2019-02-04,17:00:00,23
2019-02-05,06:00:00,15
2019-02-05,14:00:00,30
2019-02-06,07:00:00,19
2019-02-06,14:00:00,8
2019-02-07,06:00:00,17
2019-02-07,14:00:00,18
2019-02-08,06:00:00,15
2019-02-08,14:00:00,16
2019-02-09,06:00:00,13
2019-02-09,11:00:00,3
2019-02-10,08:00:00,19
2019-02-10,14:00:00,29
2019-02-11,06:00:00,15
2019-02-11,13:00:00,29
2019-02-12,06:00:00,28
2019-02-12,14:00:00,19
2019-02-13,06:00:00,14
2019-02-13,14:00:00,16
2019-02-14,07:00:00,22
2019-02-14,14:00:00,29
2019-02-15,06:00:00,30
2019-02-15,14:00:00,30
2019-02-16,06:00:00,28
2019-02-17,08:00:00,31
2019-02-17,14:00:00,22
2019-02-18,06:00:00,31
2019-02-18,14:00:00,30
2019-02-19,06:00:00,15
2019-02-19,14:00:00,26
2019-02-20,07:00:00,26
2019-02-20,15:00:00,11
2019-02-21,06:00:00,17
2019-02-21,14:00:00,144
2019-02-22,06:00:00,16
2019-02-22,14:00:00,19
2019-02-23,06:00:00,30
2019-02-23,11:00:00,7
2019-02-24,08:00:00,22
2019-02-24,14:00:00,29
2019-02-25,06:00:00,23
2019-02-25,14:00:00,17
2019-02-26,06:00:00,24
2019-02-26,14:00:00,21
2019-02-27,06:00:00,18
2019-02-27,14:00:00,7
2019-02-28,06:00:00,18
2019-02-28,14:00:00,19
2019-03-01,06:00:00,21
2019-03-01,14:00:00,30
2019-03-02,06:00:00,26
2019-03-03,06:00:00,30
2019-03-03,14:00:00,24
2019-03-04,06:00:00,20
2019-03-04,14:00:00,20
2019-03-05,06:00:00,29
2019-03-05,14:00:00,16
