Date,Hour,OGD Checkpoint 1
2018-12-31,07:00:00,101
2018-12-31,08:00:00,55
2019-01-04,12:00:00,33
2019-01-04,13:00:00,112
2019-01-04,14:00:00,35
2019-01-07,07:00:00,33
2019-01-07,08:00:00,62
2019-01-07,09:00:00,47
2019-01-11,07:00:00,62
2019-01-11,08:00:00,90
2019-01-14,07:00:00,88
2019-01-14,08:00:00,28
2019-01-18,07:00:00,88
2019-01-18,08:00:00,85
2019-01-21,07:00:00,92
2019-01-21,08:00:00,58
2019-01-25,08:00:00,103
2019-01-25,09:00:00,45
2019-01-28,07:00:00,85
2019-01-28,08:00:00,46
2019-01-29,14:00:00,42
2019-01-29,15:00:00,47
2019-02-01,07:00:00,68
2019-02-01,08:00:00,106
2019-02-04,07:00:00,101
2019-02-04,08:00:00,20
2019-02-08,07:00:00,66
2019-02-08,08:00:00,84
2019-02-11,07:00:00,72
2019-02-11,08:00:00,30
2019-02-15,07:00:00,79
2019-02-15,08:00:00,106
2019-02-18,07:00:00,95
2019-02-18,08:00:00,71
2019-02-22,07:00:00,93
2019-02-22,08:00:00,89
2019-02-25,07:00:00,81
2019-02-25,08:00:00,73
2019-03-01,07:00:00,78
2019-03-01,08:00:00,98
2019-03-04,07:00:00,67
2019-03-04,08:00:00,77
2019-03-08,07:00:00,97
2019-03-08,08:00:00,80
2019-03-11,07:00:00,45
2019-03-11,08:00:00,94
2019-03-15,08:00:00,110
2019-03-15,09:00:00,70
2019-03-18,07:00:00,41
2019-03-18,08:00:00,125
2019-03-25,07:00:00,50
2019-03-25,08:00:00,100
2019-03-25,09:00:00,3
2019-03-29,08:00:00,86
2019-03-29,09:00:00,92
2019-04-05,08:00:00,84
2019-04-05,09:00:00,74
2019-04-08,08:00:00,88
2019-04-08,09:00:00,48
2019-04-08,10:00:00,1
2019-04-12,08:00:00,72
2019-04-12,09:00:00,105
2019-04-15,08:00:00,93
2019-04-15,09:00:00,48
2019-04-19,08:00:00,95
2019-04-19,09:00:00,74
2019-04-22,08:00:00,90
2019-04-22,09:00:00,60
2019-04-26,08:00:00,164
2019-04-26,09:00:00,91
2019-04-29,08:00:00,72
2019-04-29,09:00:00,52
2019-05-31,14:00:00,63
2019-05-31,15:00:00,104
2019-05-31,16:00:00,3
2019-05-31,17:00:00,3
2019-06-03,14:00:00,57
2019-06-03,15:00:00,94
2019-06-07,14:00:00,70
