Date,Hour,ONT T2,ONT T4
2018-12-30,00:00:00,,54.0
2018-12-30,03:00:00,72.0,40.0
2018-12-30,04:00:00,263.0,331.0
2018-12-30,05:00:00,126.0,605.0
2018-12-30,06:00:00,9.0,405.0
2018-12-30,07:00:00,139.0,363.0
2018-12-30,08:00:00,110.0,273.0
2018-12-30,09:00:00,97.0,462.0
2018-12-30,10:00:00,86.0,371.0
2018-12-30,11:00:00,17.0,283.0
2018-12-30,12:00:00,59.0,352.0
2018-12-30,13:00:00,10.0,325.0
2018-12-30,14:00:00,15.0,293.0
2018-12-30,15:00:00,163.0,397.0
2018-12-30,16:00:00,207.0,148.0
2018-12-30,17:00:00,159.0,197.0
2018-12-30,18:00:00,,262.0
2018-12-30,19:00:00,37.0,123.0
2018-12-30,20:00:00,116.0,52.0
2018-12-30,21:00:00,219.0,43.0
2018-12-30,22:00:00,222.0,23.0
2018-12-30,23:00:00,37.0,69.0
2018-12-31,00:00:00,1.0,54.0
2018-12-31,03:00:00,56.0,7.0
2018-12-31,04:00:00,323.0,198.0
2018-12-31,05:00:00,104.0,667.0
2018-12-31,06:00:00,20.0,390.0
2018-12-31,07:00:00,68.0,330.0
2018-12-31,08:00:00,120.0,346.0
2018-12-31,09:00:00,33.0,367.0
2018-12-31,10:00:00,90.0,401.0
2018-12-31,11:00:00,90.0,275.0
2018-12-31,12:00:00,94.0,336.0
2018-12-31,13:00:00,60.0,320.0
2018-12-31,14:00:00,32.0,186.0
2018-12-31,15:00:00,75.0,85.0
2018-12-31,16:00:00,157.0,49.0
2018-12-31,17:00:00,51.0,56.0
2018-12-31,18:00:00,8.0,38.0
2018-12-31,19:00:00,80.0,
2018-12-31,20:00:00,145.0,
2018-12-31,21:00:00,111.0,
2018-12-31,22:00:00,137.0,
2018-12-31,23:00:00,38.0,
2019-01-01,00:00:00,4.0,
2019-01-01,03:00:00,43.0,15.0
2019-01-01,04:00:00,239.0,306.0
2019-01-01,05:00:00,86.0,611.0
2019-01-01,06:00:00,35.0,352.0
2019-01-01,07:00:00,87.0,275.0
2019-01-01,08:00:00,235.0,266.0
2019-01-01,09:00:00,78.0,274.0
2019-01-01,10:00:00,114.0,462.0
2019-01-01,11:00:00,70.0,454.0
2019-01-01,12:00:00,65.0,171.0
2019-01-01,13:00:00,7.0,160.0
2019-01-01,14:00:00,30.0,346.0
2019-01-01,15:00:00,120.0,383.0
2019-01-01,16:00:00,258.0,530.0
2019-01-01,17:00:00,92.0,333.0
2019-01-01,18:00:00,4.0,217.0
2019-01-01,19:00:00,2.0,199.0
2019-01-01,20:00:00,13.0,126.0
2019-01-01,21:00:00,68.0,22.0
2019-01-01,22:00:00,324.0,14.0
2019-01-01,23:00:00,45.0,126.0
2019-01-02,00:00:00,,43.0
2019-01-02,03:00:00,48.0,29.0
2019-01-02,04:00:00,332.0,418.0
2019-01-02,05:00:00,110.0,687.0
2019-01-02,06:00:00,9.0,424.0
2019-01-02,07:00:00,103.0,459.0
2019-01-02,08:00:00,158.0,343.0
2019-01-02,09:00:00,90.0,427.0
2019-01-02,10:00:00,118.0,418.0
2019-01-02,11:00:00,111.0,289.0
2019-01-02,12:00:00,150.0,293.0
2019-01-02,13:00:00,122.0,277.0
2019-01-02,14:00:00,27.0,489.0
2019-01-02,15:00:00,178.0,203.0
2019-01-02,16:00:00,302.0,207.0
2019-01-02,17:00:00,83.0,304.0
2019-01-02,18:00:00,10.0,220.0
2019-01-02,19:00:00,55.0,60.0
2019-01-02,20:00:00,113.0,95.0
2019-01-02,21:00:00,221.0,11.0
2019-01-02,22:00:00,317.0,38.0
2019-01-02,23:00:00,,83.0
2019-01-03,00:00:00,,49.0
2019-01-03,03:00:00,34.0,5.0
2019-01-03,04:00:00,292.0,233.0
2019-01-03,05:00:00,215.0,887.0
2019-01-03,06:00:00,6.0,268.0
2019-01-03,07:00:00,84.0,410.0
2019-01-03,08:00:00,181.0,539.0
2019-01-03,09:00:00,70.0,207.0
2019-01-03,10:00:00,90.0,235.0
2019-01-03,11:00:00,38.0,488.0
2019-01-03,12:00:00,72.0,310.0
2019-01-03,13:00:00,14.0,351.0
2019-01-03,14:00:00,22.0,278.0
2019-01-03,15:00:00,96.0,331.0
2019-01-03,16:00:00,311.0,218.0
2019-01-03,17:00:00,134.0,274.0
2019-01-03,18:00:00,19.0,237.0
2019-01-03,19:00:00,46.0,57.0
2019-01-03,20:00:00,191.0,81.0
2019-01-03,21:00:00,194.0,1.0
2019-01-03,22:00:00,248.0,27.0
2019-01-03,23:00:00,94.0,123.0
2019-01-04,00:00:00,0.0,46.0
2019-01-04,03:00:00,60.0,6.0
2019-01-04,04:00:00,282.0,158.0
2019-01-04,05:00:00,182.0,648.0
2019-01-04,06:00:00,5.0,375.0
2019-01-04,07:00:00,69.0,454.0
2019-01-04,08:00:00,224.0,272.0
2019-01-04,09:00:00,78.0,347.0
2019-01-04,10:00:00,74.0,407.0
2019-01-04,11:00:00,50.0,369.0
2019-01-04,12:00:00,129.0,359.0
2019-01-04,13:00:00,58.0,456.0
2019-01-04,14:00:00,33.0,208.0
2019-01-04,15:00:00,67.0,252.0
2019-01-04,16:00:00,203.0,306.0
2019-01-04,17:00:00,99.0,197.0
2019-01-04,18:00:00,4.0,169.0
2019-01-04,19:00:00,47.0,58.0
2019-01-04,20:00:00,115.0,146.0
2019-01-04,21:00:00,181.0,25.0
2019-01-04,22:00:00,162.0,32.0
2019-01-04,23:00:00,178.0,93.0
2019-01-05,00:00:00,9.0,64.0
2019-01-05,03:00:00,41.0,7.0
2019-01-05,04:00:00,301.0,184.0
2019-01-05,05:00:00,144.0,493.0
2019-01-05,06:00:00,7.0,371.0
2019-01-05,07:00:00,161.0,342.0
2019-01-05,08:00:00,44.0,496.0
2019-01-05,09:00:00,25.0,488.0
2019-01-05,10:00:00,61.0,351.0
2019-01-05,11:00:00,118.0,358.0
2019-01-05,12:00:00,46.0,310.0
2019-01-05,13:00:00,3.0,389.0
2019-01-05,14:00:00,20.0,201.0
2019-01-05,15:00:00,136.0,223.0
2019-01-05,16:00:00,203.0,71.0
2019-01-05,17:00:00,90.0,108.0
2019-01-05,18:00:00,31.0,56.0
2019-01-05,19:00:00,34.0,9.0
2019-01-05,20:00:00,151.0,2.0
2019-01-05,21:00:00,181.0,14.0
2019-01-05,22:00:00,274.0,18.0
2019-01-05,23:00:00,136.0,117.0
2019-01-06,00:00:00,,28.0
2019-01-06,03:00:00,41.0,3.0
2019-01-06,04:00:00,315.0,181.0
2019-01-06,05:00:00,201.0,719.0
2019-01-06,06:00:00,7.0,832.0
2019-01-06,07:00:00,56.0,340.0
2019-01-06,08:00:00,212.0,295.0
2019-01-06,09:00:00,69.0,470.0
2019-01-06,10:00:00,66.0,373.0
2019-01-06,11:00:00,19.0,125.0
2019-01-06,12:00:00,52.0,303.0
2019-01-06,13:00:00,7.0,378.0
2019-01-06,14:00:00,18.0,349.0
