Date,Hour,PIT Alternate Checkpoint,PIT Int'l Checkpoint,PIT Main Checkpoint
2018-12-30,00:00:00,,,14.0
2018-12-30,01:00:00,,,3.0
2018-12-30,02:00:00,,,33.0
2018-12-30,03:00:00,66.0,,338.0
2018-12-30,04:00:00,519.0,,941.0
2018-12-30,05:00:00,613.0,,1120.0
2018-12-30,06:00:00,603.0,,915.0
2018-12-30,07:00:00,134.0,,453.0
2018-12-30,08:00:00,91.0,,579.0
2018-12-30,09:00:00,125.0,,721.0
2018-12-30,10:00:00,146.0,,629.0
2018-12-30,11:00:00,114.0,,504.0
2018-12-30,12:00:00,224.0,,760.0
2018-12-30,13:00:00,103.0,,521.0
2018-12-30,14:00:00,114.0,,796.0
2018-12-30,15:00:00,164.0,,761.0
2018-12-30,16:00:00,79.0,,765.0
2018-12-30,17:00:00,76.0,,598.0
2018-12-30,18:00:00,,,796.0
2018-12-30,19:00:00,,,273.0
2018-12-30,20:00:00,,,63.0
2018-12-30,21:00:00,,,77.0
2018-12-30,22:00:00,,,101.0
2018-12-30,23:00:00,,,12.0
2018-12-31,00:00:00,,,15.0
2018-12-31,01:00:00,,,4.0
2018-12-31,02:00:00,,,16.0
2018-12-31,03:00:00,40.0,,141.0
2018-12-31,04:00:00,419.0,,860.0
2018-12-31,05:00:00,636.0,,979.0
2018-12-31,06:00:00,477.0,,950.0
2018-12-31,07:00:00,98.0,,574.0
2018-12-31,08:00:00,186.0,,458.0
2018-12-31,09:00:00,134.0,,720.0
2018-12-31,10:00:00,90.0,,617.0
2018-12-31,11:00:00,126.0,,744.0
2018-12-31,12:00:00,234.0,,496.0
2018-12-31,13:00:00,152.0,,498.0
2018-12-31,14:00:00,174.0,,505.0
2018-12-31,15:00:00,244.0,,640.0
2018-12-31,16:00:00,200.0,,559.0
2018-12-31,17:00:00,75.0,,465.0
2018-12-31,18:00:00,,,204.0
2018-12-31,19:00:00,,,86.0
2018-12-31,20:00:00,,,67.0
2018-12-31,21:00:00,,,74.0
2018-12-31,22:00:00,,,26.0
2018-12-31,23:00:00,,,7.0
2019-01-01,00:00:00,,,12.0
2019-01-01,01:00:00,,,2.0
2019-01-01,02:00:00,,,13.0
2019-01-01,03:00:00,34.0,,80.0
2019-01-01,04:00:00,290.0,,688.0
2019-01-01,05:00:00,429.0,,849.0
2019-01-01,06:00:00,205.0,,677.0
2019-01-01,07:00:00,136.0,,393.0
2019-01-01,08:00:00,94.0,,500.0
2019-01-01,09:00:00,92.0,,639.0
2019-01-01,10:00:00,79.0,,490.0
2019-01-01,11:00:00,86.0,,621.0
2019-01-01,12:00:00,260.0,,664.0
2019-01-01,13:00:00,304.0,,640.0
2019-01-01,14:00:00,286.0,,654.0
2019-01-01,15:00:00,305.0,,702.0
2019-01-01,16:00:00,296.0,,597.0
2019-01-01,17:00:00,122.0,,565.0
2019-01-01,18:00:00,,,356.0
2019-01-01,19:00:00,,,200.0
2019-01-01,20:00:00,,,40.0
2019-01-01,21:00:00,,,62.0
2019-01-01,22:00:00,,,43.0
2019-01-01,23:00:00,,,11.0
2019-01-02,00:00:00,,,7.0
2019-01-02,01:00:00,,,2.0
2019-01-02,02:00:00,,,27.0
2019-01-02,03:00:00,67.0,,348.0
2019-01-02,04:00:00,435.0,,945.0
2019-01-02,05:00:00,635.0,,925.0
2019-01-02,06:00:00,299.0,,960.0
2019-01-02,07:00:00,193.0,,439.0
2019-01-02,08:00:00,156.0,,468.0
2019-01-02,09:00:00,145.0,,652.0
2019-01-02,10:00:00,141.0,,642.0
2019-01-02,11:00:00,164.0,,583.0
2019-01-02,12:00:00,289.0,,766.0
2019-01-02,13:00:00,128.0,,379.0
2019-01-02,14:00:00,209.0,,598.0
2019-01-02,15:00:00,417.0,,532.0
2019-01-02,16:00:00,190.0,,673.0
