Date,Hour,PPG Checkpoint 1
2018-12-31,20:00:00,18
2018-12-31,21:00:00,127
2018-12-31,22:00:00,144
2019-01-03,20:00:00,19
2019-01-03,21:00:00,115
2019-01-03,22:00:00,142
2019-01-06,20:00:00,64
2019-01-06,21:00:00,150
2019-01-06,22:00:00,73
2019-01-07,20:00:00,25
2019-01-07,21:00:00,120
2019-01-07,22:00:00,133
2019-01-10,20:00:00,33
2019-01-10,21:00:00,95
2019-01-10,22:00:00,143
2019-01-14,20:00:00,39
2019-01-14,21:00:00,92
2019-01-14,22:00:00,109
2019-01-15,20:00:00,0
2019-01-15,21:00:00,123
2019-01-15,22:00:00,114
2019-01-17,20:00:00,26
2019-01-17,21:00:00,105
2019-01-17,22:00:00,148
2019-01-21,20:00:00,33
2019-01-21,21:00:00,135
2019-01-21,22:00:00,97
2019-01-24,20:00:00,25
2019-01-24,21:00:00,124
2019-01-24,22:00:00,51
2019-01-28,20:00:00,33
2019-01-28,21:00:00,115
2019-01-28,22:00:00,119
2019-01-31,20:00:00,29
2019-01-31,21:00:00,90
2019-01-31,22:00:00,127
2019-02-04,20:00:00,31
2019-02-04,21:00:00,101
2019-02-04,22:00:00,91
2019-02-07,20:00:00,28
2019-02-07,21:00:00,113
2019-02-07,22:00:00,85
2019-02-11,20:00:00,37
2019-02-11,21:00:00,86
2019-02-11,22:00:00,111
2019-02-13,04:00:00,28
2019-02-13,05:00:00,148
2019-02-13,06:00:00,48
2019-02-14,20:00:00,6
2019-02-14,21:00:00,127
2019-02-14,22:00:00,88
2019-02-18,20:00:00,24
2019-02-18,21:00:00,116
2019-02-18,22:00:00,137
2019-02-21,20:00:00,20
2019-02-21,21:00:00,105
2019-02-21,22:00:00,146
2019-02-25,20:00:00,30
2019-02-25,21:00:00,113
2019-02-25,22:00:00,119
2019-02-28,20:00:00,20
2019-02-28,21:00:00,102
2019-02-28,22:00:00,85
2019-03-04,20:00:00,31
2019-03-04,21:00:00,104
2019-03-04,22:00:00,93
2019-03-07,20:00:00,45
2019-03-07,21:00:00,122
2019-03-07,22:00:00,109
2019-03-11,20:00:00,37
2019-03-11,21:00:00,139
2019-03-11,22:00:00,83
2019-03-14,20:00:00,46
2019-03-14,21:00:00,128
2019-03-14,22:00:00,79
2019-03-18,20:00:00,27
2019-03-18,21:00:00,81
2019-03-18,22:00:00,92
2019-03-21,20:00:00,29
2019-03-21,21:00:00,137
2019-03-21,22:00:00,109
2019-03-25,20:00:00,5
2019-03-25,21:00:00,30
2019-03-25,22:00:00,27
2019-03-28,20:00:00,7
2019-03-28,21:00:00,36
2019-03-28,22:00:00,33
2019-04-01,20:00:00,43
2019-04-01,21:00:00,126
2019-04-01,22:00:00,109
2019-04-04,20:00:00,16
2019-04-04,21:00:00,76
2019-04-04,22:00:00,46
2019-04-08,20:00:00,45
2019-04-08,21:00:00,132
2019-04-08,22:00:00,75
2019-04-11,20:00:00,30
2019-04-11,21:00:00,112
2019-04-11,22:00:00,94
2019-04-19,20:00:00,47
2019-04-19,21:00:00,129
2019-04-19,22:00:00,88
2019-04-22,20:00:00,40
2019-04-22,21:00:00,136
2019-04-22,22:00:00,103
2019-04-25,20:00:00,45
2019-04-25,21:00:00,124
2019-04-25,22:00:00,107
2019-04-29,20:00:00,38
2019-04-29,21:00:00,140
2019-04-29,22:00:00,103
2019-05-02,20:00:00,31
2019-05-02,21:00:00,130
2019-05-02,22:00:00,121
2019-05-06,20:00:00,42
2019-05-06,21:00:00,132
2019-05-06,22:00:00,100
2019-05-09,20:00:00,48
2019-05-09,21:00:00,136
2019-05-09,22:00:00,111
2019-05-13,20:00:00,59
2019-05-13,21:00:00,126
2019-05-13,22:00:00,88
2019-05-16,20:00:00,64
2019-05-16,21:00:00,121
2019-05-16,22:00:00,87
2019-05-20,20:00:00,41
2019-05-20,21:00:00,159
2019-05-20,22:00:00,94
2019-05-23,20:00:00,50
2019-05-23,21:00:00,135
2019-05-23,22:00:00,96
2019-05-27,20:00:00,46
2019-05-27,21:00:00,130
2019-05-27,22:00:00,111
2019-05-30,20:00:00,57
2019-05-30,21:00:00,114
2019-05-30,22:00:00,106
2019-06-03,20:00:00,60
2019-06-03,21:00:00,116
2019-06-03,22:00:00,93
2019-06-06,20:00:00,43
2019-06-06,21:00:00,158
2019-06-06,22:00:00,81
2019-06-10,20:00:00,49
2019-06-10,21:00:00,150
2019-06-10,22:00:00,85
2019-06-11,20:00:00,32
2019-06-11,21:00:00,157
2019-06-11,22:00:00,75
2019-06-13,20:00:00,43
2019-06-13,21:00:00,140
2019-06-13,22:00:00,89
2019-06-17,20:00:00,36
2019-06-17,21:00:00,154
2019-06-17,22:00:00,86
2019-06-18,20:00:00,0
2019-06-18,21:00:00,128
2019-06-18,22:00:00,131
2019-06-18,23:00:00,15
2019-06-20,20:00:00,35
2019-06-20,21:00:00,149
2019-06-20,22:00:00,97
2019-06-24,20:00:00,33
2019-06-24,21:00:00,142
2019-06-24,22:00:00,103
2019-06-25,20:00:00,19
2019-06-25,21:00:00,115
2019-06-25,22:00:00,155
2019-06-27,20:00:00,28
2019-06-27,21:00:00,118
2019-06-27,22:00:00,139
2019-07-01,20:00:00,32
2019-07-01,21:00:00,135
2019-07-01,22:00:00,116
2019-07-02,20:00:00,50
2019-07-02,21:00:00,138
2019-07-02,22:00:00,102
2019-07-08,20:00:00,39
2019-07-08,21:00:00,192
2019-07-08,22:00:00,64
2019-07-09,20:00:00,46
2019-07-09,21:00:00,137
2019-07-09,22:00:00,100
2019-07-16,20:00:00,32
2019-07-16,21:00:00,154
2019-07-16,22:00:00,101
2019-07-18,20:00:00,34
2019-07-18,21:00:00,122
2019-07-18,22:00:00,128
2019-07-22,20:00:00,36
2019-07-22,21:00:00,139
2019-07-22,22:00:00,110
2019-07-23,20:00:00,31
2019-07-23,21:00:00,108
2019-07-23,22:00:00,137
2019-07-29,20:00:00,45
2019-07-29,21:00:00,154
2019-07-29,22:00:00,83
2019-07-30,12:00:00,98
2019-07-30,13:00:00,129
2019-07-30,14:00:00,94
2019-07-30,20:00:00,24
2019-07-30,21:00:00,121
2019-07-30,22:00:00,133
2019-08-01,20:00:00,35
2019-08-01,21:00:00,124
2019-08-01,22:00:00,131
2019-08-05,20:00:00,44
2019-08-05,21:00:00,76
2019-08-05,22:00:00,54
2019-08-06,20:00:00,57
2019-08-06,21:00:00,76
2019-08-06,22:00:00,44
2019-08-08,20:00:00,20
2019-08-08,21:00:00,124
2019-08-08,22:00:00,139
2019-08-12,21:00:00,29
2019-08-12,22:00:00,150
2019-08-12,23:00:00,99
2019-08-13,20:00:00,34
2019-08-13,21:00:00,122
2019-08-13,22:00:00,68
2019-08-15,20:00:00,46
2019-08-15,21:00:00,108
2019-08-15,22:00:00,103
