Date,Hour,RDG Main Checkpoint
2019-02-27,06:00:00,143.0
2019-03-03,07:00:00,127.0
2019-03-31,07:00:00,73.0
2019-04-07,07:00:00,60.0
2019-05-05,07:00:00,142.0
2019-05-12,07:00:00,112.0
2019-06-02,07:00:00,38.0
2019-06-09,07:00:00,141.0
2019-09-29,07:00:00,135.0
2019-10-20,07:00:00,138.0
2019-10-27,07:00:00,79.0
2019-11-10,06:00:00,145.0
2019-12-01,10:00:00,140.0
2020-03-01,06:00:00,139.0
2021-09-26,06:00:00,85.0
2023-09-24,06:00:00,45.0
2023-09-24,07:00:00,65.0
2023-10-01,06:00:00,54.0
2023-10-01,07:00:00,50.0
2023-10-22,06:00:00,44.0
2023-10-22,07:00:00,44.0
2023-10-29,06:00:00,49.0
2023-10-29,07:00:00,66.0
2023-11-26,06:00:00,56.0
2023-11-26,07:00:00,87.0
2024-03-17,06:00:00,41.0
2024-03-17,07:00:00,49.0
2024-03-24,06:00:00,43.0
2024-03-24,07:00:00,50.0
2024-03-31,06:00:00,27.0
2024-10-20,06:00:00,39.0
2024-10-20,07:00:00,103.0
