Date,Hour,SFO Employee Security Checkpoint D,SFO Employee Security Checkpoint F,SFO Security Checkpoint A,SFO Security Checkpoint B,SFO Security Checkpoint C,SFO Security Checkpoint D,SFO Security Checkpoint F-1,SFO Security Checkpoint F-3,SFO Security Checkpoint G
2022-07-17,00:00:00,2.0,0.0,132.0,4.0,0.0,38.0,30.0,0.0,62.0
2022-07-17,01:00:00,,,0.0,,,,,,3.0
2022-07-17,03:00:00,,,,191.0,,59.0,284.0,,
2022-07-17,04:00:00,28.0,,105.0,507.0,,725.0,452.0,,22.0
2022-07-17,05:00:00,34.0,,256.0,792.0,,1162.0,507.0,,47.0
2022-07-17,06:00:00,29.0,29.0,222.0,526.0,,1387.0,1178.0,,167.0
2022-07-17,07:00:00,20.0,41.0,298.0,601.0,,1704.0,1958.0,,324.0
2022-07-17,08:00:00,21.0,20.0,486.0,411.0,,922.0,1360.0,,650.0
2022-07-17,09:00:00,30.0,30.0,237.0,456.0,,984.0,1225.0,,613.0
2022-07-17,10:00:00,19.0,,279.0,717.0,,1202.0,1039.0,,609.0
2022-07-17,11:00:00,39.0,,508.0,987.0,,1059.0,1136.0,,665.0
2022-07-17,12:00:00,27.0,,550.0,715.0,,1067.0,1072.0,,750.0
2022-07-17,13:00:00,26.0,,469.0,528.0,,450.0,604.0,,687.0
2022-07-17,14:00:00,36.0,,510.0,689.0,,718.0,835.0,,250.0
2022-07-17,15:00:00,18.0,,588.0,333.0,,572.0,1287.0,,253.0
2022-07-17,16:00:00,19.0,,582.0,322.0,,605.0,728.0,,354.0
2022-07-17,17:00:00,2.0,,692.0,276.0,,343.0,1115.0,,620.0
2022-07-17,18:00:00,12.0,,476.0,252.0,,403.0,633.0,,365.0
2022-07-17,19:00:00,14.0,,209.0,385.0,,398.0,664.0,,298.0
2022-07-17,20:00:00,11.0,,430.0,491.0,,581.0,740.0,,381.0
2022-07-17,21:00:00,14.0,,577.0,411.0,,491.0,1094.0,,454.0
2022-07-17,22:00:00,7.0,,574.0,217.0,,296.0,556.0,,255.0
2022-07-17,23:00:00,5.0,,141.0,48.0,,31.0,198.0,,197.0
2022-07-18,00:00:00,0.0,0.0,12.0,26.0,0.0,30.0,,0.0,103.0
2022-07-18,01:00:00,,,,,,,,,3.0
2022-07-18,03:00:00,,,,163.0,,115.0,267.0,,
2022-07-18,04:00:00,52.0,,111.0,732.0,,733.0,399.0,,14.0
2022-07-18,05:00:00,34.0,,349.0,706.0,,1382.0,612.0,,93.0
2022-07-18,06:00:00,42.0,183.0,254.0,606.0,,1084.0,1245.0,,250.0
2022-07-18,07:00:00,34.0,46.0,424.0,330.0,,1127.0,1662.0,,461.0
2022-07-18,08:00:00,26.0,44.0,293.0,366.0,,1069.0,1228.0,,464.0
2022-07-18,09:00:00,32.0,35.0,208.0,410.0,,1133.0,1901.0,,578.0
2022-07-18,10:00:00,32.0,,217.0,630.0,,1032.0,1038.0,,507.0
2022-07-18,11:00:00,35.0,,363.0,977.0,,1311.0,1015.0,,660.0
2022-07-18,12:00:00,45.0,,694.0,524.0,,917.0,1054.0,,659.0
2022-07-18,13:00:00,35.0,,619.0,480.0,,447.0,979.0,,501.0
2022-07-18,14:00:00,34.0,,518.0,667.0,,928.0,863.0,,341.0
2022-07-18,15:00:00,26.0,,834.0,165.0,,551.0,877.0,,264.0
2022-07-18,16:00:00,22.0,,693.0,322.0,,519.0,813.0,,328.0
2022-07-18,17:00:00,10.0,,403.0,218.0,,370.0,746.0,,417.0
2022-07-18,18:00:00,14.0,,369.0,218.0,,321.0,541.0,,288.0
2022-07-18,19:00:00,8.0,,763.0,436.0,,407.0,582.0,,280.0
2022-07-18,20:00:00,16.0,,322.0,345.0,,512.0,549.0,,357.0
2022-07-18,21:00:00,9.0,,345.0,473.0,,517.0,1103.0,,468.0
2022-07-18,22:00:00,1.0,,243.0,182.0,,229.0,433.0,,170.0
2022-07-18,23:00:00,1.0,,133.0,67.0,,77.0,82.0,,20.0
2022-07-19,00:00:00,6.0,0.0,110.0,17.0,0.0,19.0,3.0,0.0,74.0
2022-07-19,01:00:00,,,4.0,,,,,,4.0
2022-07-19,03:00:00,,,,187.0,,99.0,322.0,,
2022-07-19,04:00:00,30.0,,186.0,676.0,,672.0,388.0,,16.0
2022-07-19,05:00:00,42.0,,210.0,610.0,,1216.0,626.0,,56.0
2022-07-19,06:00:00,32.0,63.0,263.0,541.0,,970.0,949.0,,301.0
2022-07-19,07:00:00,37.0,41.0,339.0,512.0,,1328.0,1492.0,,384.0
2022-07-19,08:00:00,30.0,34.0,245.0,243.0,,563.0,1006.0,,392.0
2022-07-19,09:00:00,22.0,51.0,216.0,433.0,,922.0,1469.0,,666.0
2022-07-19,10:00:00,35.0,,263.0,694.0,,980.0,1063.0,,569.0
2022-07-19,11:00:00,36.0,,678.0,786.0,,1201.0,1064.0,,771.0
2022-07-19,12:00:00,60.0,,608.0,675.0,,910.0,1180.0,,667.0
2022-07-19,13:00:00,48.0,,456.0,435.0,,520.0,654.0,,530.0
2022-07-19,14:00:00,29.0,,581.0,486.0,,658.0,832.0,,429.0
2022-07-19,15:00:00,32.0,,426.0,214.0,,473.0,945.0,,236.0
2022-07-19,16:00:00,29.0,,340.0,303.0,,444.0,659.0,,319.0
2022-07-19,17:00:00,18.0,,445.0,198.0,,267.0,892.0,,622.0
2022-07-19,18:00:00,17.0,,556.0,224.0,,290.0,620.0,,472.0
2022-07-19,19:00:00,11.0,,319.0,372.0,,332.0,641.0,,503.0
2022-07-19,20:00:00,24.0,,385.0,404.0,,443.0,762.0,,527.0
2022-07-19,21:00:00,19.0,,551.0,382.0,,450.0,820.0,,366.0
2022-07-19,22:00:00,4.0,,224.0,280.0,,322.0,779.0,,279.0
2022-07-19,23:00:00,1.0,,172.0,23.0,,14.0,72.0,,55.0
2022-07-20,00:00:00,0.0,0.0,58.0,15.0,0.0,4.0,6.0,0.0,117.0
2022-07-20,01:00:00,,,1.0,,,,,,
2022-07-20,03:00:00,,,,182.0,,84.0,206.0,,
2022-07-20,04:00:00,40.0,,105.0,655.0,,876.0,570.0,,12.0
2022-07-20,05:00:00,16.0,,314.0,799.0,,1061.0,627.0,,49.0
2022-07-20,06:00:00,72.0,97.0,259.0,433.0,,1186.0,1101.0,,173.0
2022-07-20,07:00:00,23.0,44.0,314.0,478.0,,1326.0,1694.0,,282.0
2022-07-20,08:00:00,43.0,29.0,314.0,364.0,,708.0,1484.0,,568.0
2022-07-20,09:00:00,33.0,34.0,159.0,441.0,,993.0,1724.0,,506.0
2022-07-20,10:00:00,37.0,,236.0,831.0,,1271.0,723.0,,807.0
2022-07-20,11:00:00,34.0,,485.0,835.0,,985.0,1370.0,,603.0
2022-07-20,12:00:00,53.0,,749.0,510.0,,757.0,1094.0,,748.0
2022-07-20,13:00:00,26.0,,672.0,411.0,,544.0,648.0,,442.0
2022-07-20,14:00:00,53.0,,673.0,470.0,,842.0,720.0,,435.0
2022-07-20,15:00:00,24.0,,764.0,210.0,,638.0,1075.0,,419.0
2022-07-20,16:00:00,33.0,,644.0,311.0,,489.0,604.0,,283.0
2022-07-20,17:00:00,12.0,,365.0,327.0,,322.0,971.0,,491.0
2022-07-20,18:00:00,18.0,,342.0,199.0,,423.0,880.0,,246.0
2022-07-20,19:00:00,17.0,,299.0,302.0,,283.0,708.0,,311.0
2022-07-20,20:00:00,14.0,,370.0,535.0,,514.0,606.0,,342.0
2022-07-20,21:00:00,19.0,,613.0,533.0,,400.0,1262.0,,317.0
2022-07-20,22:00:00,16.0,,585.0,369.0,,318.0,336.0,,200.0
2022-07-20,23:00:00,8.0,,209.0,48.0,,31.0,143.0,,56.0
2022-07-21,00:00:00,,,244.0,8.0,0.0,16.0,30.0,0.0,100.0
2022-07-21,01:00:00,,,154.0,,,,,,9.0
2022-07-21,03:00:00,,,,177.0,,12.0,352.0,,
2022-07-21,04:00:00,32.0,,191.0,687.0,,1153.0,430.0,,20.0
2022-07-21,05:00:00,50.0,,286.0,807.0,,1314.0,792.0,,59.0
2022-07-21,06:00:00,29.0,93.0,247.0,662.0,,955.0,1197.0,,225.0
2022-07-21,07:00:00,38.0,63.0,488.0,492.0,,1503.0,1508.0,,318.0
2022-07-21,08:00:00,25.0,30.0,258.0,370.0,,1242.0,1739.0,,530.0
2022-07-21,09:00:00,38.0,40.0,279.0,432.0,,932.0,1373.0,,579.0
2022-07-21,10:00:00,34.0,,338.0,871.0,,1333.0,998.0,,614.0
2022-07-21,11:00:00,53.0,,579.0,947.0,,1317.0,1140.0,,822.0
2022-07-21,12:00:00,60.0,,477.0,406.0,,789.0,1069.0,,712.0
2022-07-21,13:00:00,33.0,,422.0,543.0,,724.0,642.0,,438.0
2022-07-21,14:00:00,41.0,,434.0,778.0,,822.0,932.0,,385.0
2022-07-21,15:00:00,34.0,,480.0,336.0,,465.0,1382.0,,476.0
2022-07-21,16:00:00,36.0,,618.0,406.0,,664.0,638.0,,463.0
2022-07-21,17:00:00,12.0,,763.0,201.0,,319.0,1005.0,,580.0
2022-07-21,18:00:00,16.0,,609.0,255.0,,476.0,1054.0,,481.0
2022-07-21,19:00:00,9.0,,319.0,367.0,,568.0,564.0,,518.0
2022-07-21,20:00:00,11.0,,337.0,432.0,,565.0,880.0,,556.0
2022-07-21,21:00:00,20.0,,603.0,470.0,,365.0,1562.0,,368.0
2022-07-21,22:00:00,13.0,,721.0,408.0,,555.0,260.0,,236.0
2022-07-21,23:00:00,1.0,,295.0,185.0,,104.0,111.0,,69.0
2022-07-22,00:00:00,,,0.0,11.0,0.0,14.0,35.0,0.0,7.0
2022-07-22,01:00:00,,,3.0,,,,,,2.0
2022-07-22,03:00:00,,,,312.0,,116.0,331.0,,
2022-07-22,04:00:00,46.0,,37.0,868.0,,691.0,472.0,,18.0
2022-07-22,05:00:00,40.0,,360.0,600.0,,1216.0,689.0,,89.0
2022-07-22,06:00:00,32.0,72.0,295.0,653.0,,1463.0,1225.0,,252.0
2022-07-22,07:00:00,37.0,57.0,518.0,488.0,,1250.0,1527.0,,343.0
2022-07-22,08:00:00,43.0,40.0,276.0,303.0,,1373.0,1482.0,,596.0
2022-07-22,09:00:00,34.0,37.0,118.0,466.0,,1041.0,1753.0,,582.0
2022-07-22,10:00:00,41.0,,253.0,738.0,,1216.0,1281.0,,632.0
2022-07-22,11:00:00,41.0,,490.0,1081.0,,1044.0,922.0,,637.0
2022-07-22,12:00:00,32.0,,621.0,448.0,,807.0,1305.0,,728.0
2022-07-22,13:00:00,36.0,,674.0,401.0,,805.0,671.0,,592.0
2022-07-22,14:00:00,46.0,,714.0,731.0,,852.0,1027.0,,608.0
2022-07-22,15:00:00,20.0,,709.0,296.0,,504.0,1053.0,,413.0
2022-07-22,16:00:00,21.0,,559.0,289.0,,674.0,824.0,,344.0
