Date,Hour,SGJ Checkpoint 1
2021-11-19,13:00:00,10.0
2021-11-19,14:00:00,18.0
2021-11-19,15:00:00,12.0
2021-11-22,11:00:00,15.0
2021-11-22,12:00:00,13.0
2021-11-22,13:00:00,1.0
2021-11-26,12:00:00,25.0
2021-11-29,12:00:00,21.0
2021-11-29,13:00:00,9.0
2021-12-04,07:00:00,20.0
2021-12-07,07:00:00,20.0
2021-12-11,06:00:00,4.0
2021-12-11,07:00:00,21.0
2021-12-14,07:00:00,24.0
2021-12-18,06:00:00,13.0
2021-12-18,07:00:00,26.0
2021-12-21,07:00:00,23.0
2021-12-24,12:00:00,20.0
2021-12-24,13:00:00,2.0
2021-12-28,06:00:00,32.0
2021-12-28,07:00:00,21.0
2021-12-31,13:00:00,48.0
2022-01-04,07:00:00,36.0
2022-01-08,07:00:00,28.0
2022-01-11,07:00:00,22.0
2022-01-18,06:00:00,4.0
2022-01-18,07:00:00,40.0
2022-01-18,08:00:00,2.0
2022-01-25,07:00:00,14.0
2022-01-25,08:00:00,16.0
2022-01-25,09:00:00,0.0
2022-02-01,07:00:00,18.0
2022-02-08,07:00:00,18.0
2022-02-12,07:00:00,13.0
2022-02-15,07:00:00,17.0
2022-02-19,06:00:00,4.0
2022-02-19,07:00:00,35.0
2022-02-22,06:00:00,3.0
2022-02-22,07:00:00,41.0
2022-02-26,06:00:00,4.0
2022-02-26,07:00:00,43.0
2022-03-01,07:00:00,35.0
2022-03-05,07:00:00,17.0
2022-03-08,06:00:00,3.0
2022-03-08,07:00:00,25.0
2022-03-12,13:00:00,36.0
2022-03-12,14:00:00,6.0
2022-03-15,07:00:00,47.0
2022-03-15,08:00:00,8.0
2022-03-19,07:00:00,41.0
2022-03-22,06:00:00,4.0
2022-03-22,07:00:00,36.0
2022-03-26,06:00:00,4.0
2022-03-26,07:00:00,35.0
2022-03-27,06:00:00,3.0
2022-03-27,07:00:00,3.0
2022-04-05,07:00:00,35.0
2022-04-05,08:00:00,8.0
2022-04-08,07:00:00,23.0
2022-04-08,08:00:00,3.0
2022-04-10,06:00:00,4.0
2022-04-10,07:00:00,18.0
2022-04-12,07:00:00,4.0
2022-04-12,08:00:00,35.0
2022-04-15,11:00:00,32.0
2022-04-15,13:00:00,12.0
2022-04-15,14:00:00,8.0
2022-04-17,07:00:00,13.0
2022-04-19,07:00:00,34.0
2022-04-19,08:00:00,20.0
2022-04-22,07:00:00,36.0
2022-04-22,08:00:00,34.0
2022-04-24,07:00:00,56.0
2022-05-03,07:00:00,33.0
2022-05-03,08:00:00,3.0
2022-05-08,06:00:00,5.0
2022-05-08,07:00:00,25.0
2022-05-10,10:00:00,36.0
2022-05-13,07:00:00,27.0
2022-05-13,08:00:00,3.0
2022-05-17,07:00:00,17.0
2022-05-17,08:00:00,8.0
2022-05-20,07:00:00,5.0
2022-05-20,08:00:00,32.0
2022-05-20,09:00:00,0.0
2022-05-22,07:00:00,30.0
2022-05-22,08:00:00,4.0
2022-05-24,07:00:00,3.0
2022-05-24,08:00:00,35.0
2022-05-27,12:00:00,19.0
2022-05-27,13:00:00,15.0
2022-05-29,06:00:00,4.0
2022-05-29,07:00:00,27.0
2022-05-31,07:00:00,4.0
2022-05-31,08:00:00,41.0
2022-06-03,07:00:00,4.0
2022-06-03,08:00:00,43.0
2022-06-05,06:00:00,4.0
2022-06-05,07:00:00,42.0
2022-06-05,08:00:00,3.0
2022-06-26,06:00:00,5.0
2022-06-26,07:00:00,31.0
2022-06-26,08:00:00,0.0
