Date,Hour,SLE Checkpoint 1
2023-10-05,07:00:00,5
2023-10-05,08:00:00,150
2023-10-05,09:00:00,40
2023-10-06,13:00:00,20
2023-10-06,14:00:00,78
2023-10-06,15:00:00,28
2023-10-08,18:00:00,32
2023-10-08,19:00:00,34
2023-10-08,20:00:00,6
2023-10-09,14:00:00,123
2023-10-09,15:00:00,9
2023-10-12,08:00:00,88
2023-10-12,09:00:00,42
2023-10-13,13:00:00,5
2023-10-13,14:00:00,121
2023-10-13,15:00:00,2
2023-10-15,08:00:00,60
2023-10-15,09:00:00,29
2023-10-16,14:00:00,120
2023-10-16,15:00:00,7
2023-10-19,08:00:00,74
2023-10-19,09:00:00,52
2023-10-19,10:00:00,14
2023-10-19,11:00:00,22
2023-10-19,12:00:00,44
2023-10-19,13:00:00,10
2023-10-20,15:00:00,73
2023-10-20,16:00:00,72
2023-10-22,08:00:00,45
2023-10-22,09:00:00,38
2023-10-23,14:00:00,132
2023-10-23,15:00:00,8
2023-10-24,14:00:00,132
2023-10-24,15:00:00,8
2023-10-26,08:00:00,83
2023-10-26,09:00:00,45
2023-10-26,10:00:00,3
2023-10-26,11:00:00,20
2023-10-27,14:00:00,131
2023-10-27,15:00:00,8
2023-10-30,09:00:00,3
2023-10-30,10:00:00,40
2023-10-30,14:00:00,115
2023-10-30,15:00:00,12
2023-11-02,08:00:00,99
2023-11-02,09:00:00,24
2023-11-02,18:00:00,105
2023-11-02,19:00:00,41
2023-11-05,08:00:00,57
2023-11-05,09:00:00,22
2023-11-05,18:00:00,94
2023-11-05,19:00:00,30
2023-11-09,08:00:00,104
2023-11-09,09:00:00,23
2023-11-09,17:00:00,98
2023-11-09,18:00:00,41
2023-11-12,08:00:00,75
2023-11-12,09:00:00,15
2023-11-12,18:00:00,100
2023-11-12,19:00:00,30
2023-11-16,08:00:00,100
2023-11-16,09:00:00,26
2023-11-16,20:00:00,17
2023-11-16,21:00:00,56
2023-11-16,22:00:00,46
2023-11-19,08:00:00,70
2023-11-19,09:00:00,12
2023-11-19,18:00:00,101
2023-11-19,19:00:00,27
2023-11-21,12:00:00,34
2023-11-21,13:00:00,94
2023-11-23,08:00:00,95
2023-11-23,09:00:00,22
2023-11-23,18:00:00,108
2023-11-23,19:00:00,13
2023-11-26,08:00:00,100
2023-11-26,09:00:00,28
2023-11-26,18:00:00,76
2023-11-26,19:00:00,54
2023-11-28,12:00:00,18
2023-11-28,13:00:00,102
2023-11-30,08:00:00,123
2023-11-30,09:00:00,23
2023-11-30,18:00:00,94
2023-11-30,19:00:00,42
2023-12-03,08:00:00,39
2023-12-03,09:00:00,11
2023-12-03,18:00:00,50
2023-12-03,19:00:00,77
2023-12-07,08:00:00,93
2023-12-07,09:00:00,34
2023-12-07,18:00:00,100
2023-12-07,19:00:00,30
2023-12-10,08:00:00,74
2023-12-10,09:00:00,8
2023-12-10,18:00:00,92
2023-12-10,19:00:00,30
2023-12-14,09:00:00,76
2023-12-14,10:00:00,54
2023-12-14,18:00:00,133
2023-12-14,19:00:00,144
2023-12-17,09:00:00,31
2023-12-17,10:00:00,85
2023-12-17,11:00:00,10
2023-12-17,18:00:00,97
2023-12-17,19:00:00,28
2023-12-19,08:00:00,47
2023-12-19,09:00:00,83
2023-12-21,09:00:00,65
2023-12-21,10:00:00,67
2023-12-21,18:00:00,79
2023-12-21,19:00:00,47
2023-12-24,08:00:00,92
2023-12-24,09:00:00,24
2023-12-24,18:00:00,96
2023-12-24,19:00:00,18
2023-12-26,08:00:00,54
2023-12-26,09:00:00,71
2023-12-26,10:00:00,2
2023-12-26,11:00:00,7
2023-12-26,12:00:00,10
2023-12-26,13:00:00,38
2023-12-28,08:00:00,93
2023-12-28,09:00:00,41
2023-12-28,18:00:00,72
2023-12-28,19:00:00,61
2023-12-31,13:00:00,74
2023-12-31,14:00:00,33
2023-12-31,18:00:00,85
2023-12-31,19:00:00,29
2024-01-02,08:00:00,48
2024-01-02,09:00:00,76
2024-01-04,08:00:00,71
2024-01-04,09:00:00,31
2024-01-04,18:00:00,77
2024-01-04,19:00:00,18
2024-01-07,08:00:00,19
2024-01-07,09:00:00,15
2024-01-07,18:00:00,63
2024-01-07,19:00:00,45
2024-01-07,20:00:00,1
2024-01-11,08:00:00,72
2024-01-11,09:00:00,70
2024-01-11,10:00:00,38
2024-01-18,09:00:00,64
2024-01-18,10:00:00,41
2024-01-19,08:00:00,11
2024-01-19,09:00:00,47
2024-01-19,10:00:00,12
2024-01-21,08:00:00,48
2024-01-21,09:00:00,61
2024-01-21,10:00:00,36
2024-01-25,08:00:00,52
2024-01-25,09:00:00,73
2024-01-25,10:00:00,67
2024-01-28,08:00:00,76
2024-01-28,09:00:00,53
2024-01-28,10:00:00,29
2024-02-01,08:00:00,55
2024-02-01,09:00:00,77
2024-02-01,10:00:00,54
2024-02-04,08:00:00,51
2024-02-04,09:00:00,45
2024-02-04,10:00:00,25
2024-02-08,08:00:00,77
2024-02-08,09:00:00,50
2024-02-08,10:00:00,23
2024-02-11,08:00:00,58
2024-02-11,09:00:00,46
2024-02-11,10:00:00,12
2024-02-15,09:00:00,86
2024-02-15,10:00:00,46
2024-02-15,18:00:00,110
2024-02-15,19:00:00,29
2024-02-18,09:00:00,69
2024-02-18,10:00:00,15
2024-02-18,18:00:00,47
2024-02-18,19:00:00,30
2024-02-22,09:00:00,94
2024-02-22,10:00:00,39
2024-02-22,18:00:00,83
2024-02-22,19:00:00,45
2024-02-25,09:00:00,25
2024-02-25,10:00:00,18
2024-02-25,18:00:00,80
2024-02-25,19:00:00,31
2024-02-29,09:00:00,82
2024-02-29,10:00:00,51
2024-02-29,18:00:00,80
2024-02-29,19:00:00,26
2024-03-03,18:00:00,45
2024-03-03,19:00:00,58
2024-03-03,20:00:00,4
2024-03-05,16:00:00,5
2024-03-05,17:00:00,1
2024-03-07,09:00:00,87
2024-03-07,10:00:00,37
2024-03-07,18:00:00,93
2024-03-07,19:00:00,32
2024-03-10,09:00:00,56
2024-03-10,10:00:00,16
2024-03-10,18:00:00,38
2024-03-10,19:00:00,41
2024-03-10,20:00:00,11
2024-03-14,09:00:00,82
2024-03-14,10:00:00,58
2024-03-14,19:00:00,36
2024-03-14,20:00:00,60
2024-03-14,21:00:00,26
2024-03-17,09:00:00,62
2024-03-17,10:00:00,23
2024-03-17,18:00:00,76
2024-03-17,19:00:00,45
2024-03-21,09:00:00,114
2024-03-21,10:00:00,28
2024-03-21,17:00:00,110
2024-03-21,18:00:00,23
2024-03-24,08:00:00,0
