Date,Hour,SPS SPS01
2018-12-30,05:00:00,17
2018-12-30,09:00:00,20
2018-12-30,14:00:00,20
2018-12-31,05:00:00,30
2018-12-31,09:00:00,34
2019-01-01,06:00:00,32
2019-01-01,15:00:00,16
2019-01-01,21:00:00,7
2019-01-02,05:00:00,18
2019-01-02,06:00:00,18
2019-01-02,09:00:00,24
2019-01-02,10:00:00,6
2019-01-02,14:00:00,31
2019-01-02,15:00:00,3
2019-01-04,14:00:00,38
2019-01-04,15:00:00,9
2019-01-05,05:00:00,22
2019-01-05,06:00:00,19
2019-01-05,14:00:00,37
2019-01-06,05:00:00,22
2019-01-06,06:00:00,27
2019-01-06,09:00:00,33
2019-01-06,15:00:00,18
2019-01-07,05:00:00,25
2019-01-07,06:00:00,19
2019-01-07,09:00:00,31
2019-01-07,14:00:00,18
2019-01-08,05:00:00,19
2019-01-08,06:00:00,11
2019-01-08,09:00:00,17
2019-01-08,15:00:00,13
2019-01-09,05:00:00,28
2019-01-09,06:00:00,7
2019-01-09,09:00:00,46
2019-01-09,14:00:00,23
2019-01-09,15:00:00,8
2019-01-10,05:00:00,39
2019-01-10,09:00:00,30
2019-01-10,10:00:00,3
2019-01-10,14:00:00,30
2019-01-11,05:00:00,38
2019-01-11,09:00:00,31
2019-01-11,14:00:00,18
2019-01-12,05:00:00,20
2019-01-12,06:00:00,15
2019-01-12,09:00:00,22
2019-01-12,10:00:00,7
2019-01-13,05:00:00,24
2019-01-13,06:00:00,25
2019-01-13,10:00:00,30
2019-01-13,15:00:00,15
2019-01-14,05:00:00,36
2019-01-14,06:00:00,9
2019-01-14,09:00:00,29
2019-01-14,10:00:00,4
2019-01-14,13:00:00,40
2019-01-14,14:00:00,42
2019-01-15,05:00:00,13
2019-01-15,06:00:00,23
2019-01-15,09:00:00,34
2019-01-15,10:00:00,6
2019-01-15,14:00:00,20
2019-01-16,05:00:00,34
2019-01-16,09:00:00,23
2019-01-16,14:00:00,27
2019-01-17,05:00:00,37
2019-01-17,09:00:00,40
2019-01-17,14:00:00,41
2019-01-18,05:00:00,40
2019-01-18,06:00:00,12
2019-01-18,09:00:00,44
2019-01-18,14:00:00,40
2019-01-19,05:00:00,47
2019-01-19,09:00:00,46
2019-01-20,05:00:00,41
2019-01-20,14:00:00,30
2019-01-21,05:00:00,33
2019-01-21,09:00:00,40
2019-01-21,14:00:00,33
2019-01-22,05:00:00,41
2019-01-22,09:00:00,29
2019-01-22,14:00:00,20
