Date,Hour,STC Gate
2018-12-31,05:00:00,129
2018-12-31,06:00:00,35
2019-01-02,09:00:00,120
2019-01-02,10:00:00,37
2019-01-02,17:00:00,117
2019-01-02,18:00:00,51
2019-01-05,10:00:00,90
2019-01-05,11:00:00,91
2019-01-05,16:00:00,131
2019-01-05,17:00:00,23
2019-01-09,14:00:00,124
2019-01-09,15:00:00,5
2019-01-09,16:00:00,104
2019-01-09,17:00:00,114
2019-01-12,08:00:00,52
2019-01-12,09:00:00,100
2019-01-12,16:00:00,84
2019-01-12,17:00:00,106
2019-01-16,10:00:00,127
2019-01-16,11:00:00,33
2019-01-16,16:00:00,75
2019-01-16,17:00:00,124
2019-01-19,08:00:00,44
2019-01-19,09:00:00,113
2019-01-19,18:00:00,106
2019-01-19,19:00:00,70
2019-01-23,10:00:00,126
2019-01-23,11:00:00,28
2019-01-23,16:00:00,39
2019-01-23,17:00:00,134
2019-01-26,09:00:00,44
2019-01-26,10:00:00,108
2019-01-26,18:00:00,118
2019-01-26,19:00:00,58
2019-01-30,10:00:00,112
2019-01-30,11:00:00,57
2019-01-30,12:00:00,10
2019-01-30,13:00:00,7
2019-01-30,14:00:00,16
2019-01-30,15:00:00,8
2019-01-30,16:00:00,6
2019-01-30,17:00:00,16
2019-01-30,18:00:00,110
2019-01-30,19:00:00,20
2019-01-30,20:00:00,28
2019-01-30,21:00:00,49
2019-02-02,15:00:00,68
2019-02-02,16:00:00,89
2019-02-02,17:00:00,102
2019-02-02,18:00:00,96
2019-02-06,10:00:00,101
2019-02-06,11:00:00,64
2019-02-06,17:00:00,34
2019-02-06,18:00:00,111
2019-02-06,19:00:00,44
2019-02-07,05:00:00,30
2019-02-07,06:00:00,133
2019-02-09,16:00:00,89
2019-02-09,17:00:00,155
2019-02-09,18:00:00,96
2019-02-13,10:00:00,90
2019-02-13,11:00:00,86
2019-02-13,16:00:00,131
2019-02-13,17:00:00,30
2019-02-15,18:00:00,44
2019-02-15,19:00:00,141
2019-02-16,08:00:00,90
2019-02-16,09:00:00,80
2019-02-16,18:00:00,80
2019-02-16,19:00:00,92
2019-02-18,18:00:00,151
2019-02-18,19:00:00,30
2019-02-20,10:00:00,115
2019-02-20,11:00:00,37
2019-02-22,18:00:00,30
2019-02-22,19:00:00,132
2019-02-22,20:00:00,23
2019-02-23,08:00:00,89
2019-02-23,09:00:00,98
2019-02-23,19:00:00,134
2019-02-23,20:00:00,51
2019-02-25,18:00:00,27
2019-02-25,19:00:00,147
2019-02-27,10:00:00,117
2019-02-27,11:00:00,70
2019-02-27,16:00:00,106
2019-02-27,17:00:00,64
2019-03-01,12:00:00,176
2019-03-02,08:00:00,53
2019-03-02,09:00:00,131
2019-03-02,18:00:00,160
2019-03-02,19:00:00,26
2019-03-04,10:00:00,86
2019-03-04,11:00:00,92
2019-03-06,10:00:00,97
2019-03-06,11:00:00,32
2019-03-06,16:00:00,127
2019-03-06,17:00:00,75
2019-03-11,11:00:00,78
2019-03-11,12:00:00,111
2019-03-12,18:00:00,77
2019-03-12,19:00:00,63
2019-03-15,11:00:00,96
2019-03-15,12:00:00,94
2019-03-16,08:00:00,48
2019-03-16,09:00:00,136
2019-03-16,18:00:00,56
2019-03-16,19:00:00,111
2019-03-16,20:00:00,19
2019-03-18,04:00:00,170
2019-03-18,05:00:00,10
2019-03-18,11:00:00,92
2019-03-18,12:00:00,96
2019-03-19,18:00:00,62
2019-03-19,19:00:00,110
2019-03-20,09:00:00,70
2019-03-20,10:00:00,88
2019-03-20,18:00:00,27
2019-03-20,19:00:00,147
2019-03-22,11:00:00,67
2019-03-22,12:00:00,110
2019-03-23,08:00:00,55
2019-03-23,09:00:00,115
2019-03-23,18:00:00,37
2019-03-23,19:00:00,145
2019-03-25,11:00:00,64
2019-03-25,12:00:00,113
2019-03-26,18:00:00,46
2019-03-26,19:00:00,101
2019-03-27,09:00:00,64
2019-03-27,10:00:00,100
2019-03-27,11:00:00,154
2019-03-29,11:00:00,89
2019-03-29,12:00:00,72
2019-03-30,08:00:00,61
2019-03-30,09:00:00,88
2019-03-30,11:00:00,163
2019-04-01,11:00:00,91
2019-04-01,12:00:00,40
2019-04-02,19:00:00,62
2019-04-02,20:00:00,12
2019-04-03,10:00:00,41
2019-04-03,11:00:00,85
2019-04-03,12:00:00,59
2019-04-05,11:00:00,124
2019-04-05,12:00:00,37
2019-04-06,11:00:00,144
2019-04-06,16:00:00,25
2019-04-08,11:00:00,80
2019-04-08,12:00:00,34
2019-04-10,18:00:00,120
2019-04-10,19:00:00,30
2019-04-12,16:00:00,88
2019-04-12,17:00:00,61
2019-04-13,19:00:00,26
2019-04-13,20:00:00,66
2019-04-15,11:00:00,65
2019-04-15,12:00:00,41
2019-04-17,18:00:00,110
2019-04-17,19:00:00,49
2019-04-19,11:00:00,50
2019-04-19,12:00:00,90
2019-04-20,19:00:00,28
2019-04-20,20:00:00,21
2019-04-22,11:00:00,22
2019-04-22,12:00:00,42
2019-04-24,10:00:00,50
2019-04-24,11:00:00,48
2019-04-27,11:00:00,65
2019-04-27,12:00:00,44
2019-05-04,17:00:00,51
2019-05-04,18:00:00,55
2019-05-10,05:00:00,67
2019-05-10,06:00:00,113
2019-05-11,17:00:00,45
2019-05-11,18:00:00,40
2019-05-18,11:00:00,85
2019-05-18,12:00:00,44
2019-05-25,19:00:00,51
2019-05-25,20:00:00,53
2019-06-01,19:00:00,46
2019-06-01,20:00:00,78
2019-06-05,19:00:00,58
2019-06-05,20:00:00,52
2019-06-08,19:00:00,78
2019-06-08,20:00:00,74
2019-06-12,19:00:00,67
2019-06-12,20:00:00,82
2019-06-15,19:00:00,66
2019-06-15,20:00:00,75
2019-06-19,19:00:00,83
2019-06-19,20:00:00,77
2019-06-22,13:00:00,60
2019-06-22,14:00:00,102
2019-06-22,19:00:00,63
2019-06-22,20:00:00,95
2019-06-26,19:00:00,49
2019-06-26,20:00:00,97
2019-06-29,19:00:00,70
2019-06-29,20:00:00,74
2019-07-03,19:00:00,80
2019-07-03,20:00:00,78
2019-07-06,19:00:00,84
2019-07-06,20:00:00,94
2019-07-10,19:00:00,61
2019-07-10,20:00:00,109
2019-07-13,19:00:00,78
2019-07-13,20:00:00,84
2019-07-17,19:00:00,84
2019-07-17,20:00:00,88
2019-07-20,19:00:00,88
2019-07-20,20:00:00,79
2019-07-24,10:00:00,69
2019-07-24,11:00:00,89
2019-07-27,19:00:00,79
2019-07-27,20:00:00,83
2019-08-03,19:00:00,87
2019-08-03,20:00:00,98
2019-08-10,10:00:00,62
2019-08-10,11:00:00,87
2019-08-12,05:00:00,61
2019-08-12,06:00:00,119
2019-09-29,05:00:00,54
2019-09-29,06:00:00,126
2019-10-05,20:00:00,101
2019-10-05,21:00:00,122
2019-10-06,09:00:00,111
2019-10-06,10:00:00,40
2019-10-06,11:00:00,31
2019-10-09,10:00:00,57
2019-10-09,11:00:00,109
2019-10-12,18:00:00,70
2019-10-12,19:00:00,91
2019-10-12,20:00:00,22
2019-10-16,10:00:00,42
2019-10-16,11:00:00,126
2019-10-19,17:00:00,46
2019-10-19,18:00:00,106
2019-10-23,12:00:00,99
2019-10-23,13:00:00,54
2019-10-26,18:00:00,30
2019-10-26,19:00:00,79
2019-10-26,20:00:00,53
2019-10-30,12:00:00,35
2019-10-30,13:00:00,131
2019-11-02,18:00:00,43
2019-11-02,19:00:00,117
2019-11-06,10:00:00,141
2019-11-06,11:00:00,20
2019-11-08,05:00:00,37
2019-11-08,06:00:00,90
2019-11-08,07:00:00,57
2019-11-09,17:00:00,43
2019-11-09,18:00:00,104
2019-11-09,19:00:00,28
2019-11-13,10:00:00,116
2019-11-13,11:00:00,31
2019-11-16,17:00:00,91
2019-11-16,18:00:00,66
2019-11-20,10:00:00,97
2019-11-20,11:00:00,67
2019-11-23,18:00:00,48
2019-11-23,19:00:00,90
2019-11-26,17:00:00,99
2019-11-26,18:00:00,57
2019-11-28,16:00:00,76
2019-11-28,17:00:00,27
2019-11-30,19:00:00,57
2019-11-30,20:00:00,74
2019-12-07,17:00:00,82
2019-12-07,18:00:00,70
2019-12-14,17:00:00,84
2019-12-14,18:00:00,66
2019-12-21,09:00:00,107
2019-12-21,10:00:00,60
2019-12-21,17:00:00,107
2019-12-21,18:00:00,80
2019-12-24,10:00:00,80
2019-12-24,11:00:00,89
2019-12-24,16:00:00,65
2019-12-24,17:00:00,87
2019-12-28,05:00:00,105
2019-12-28,06:00:00,75
2019-12-28,07:00:00,12
2019-12-28,08:00:00,36
2019-12-28,09:00:00,119
2019-12-28,10:00:00,27
2019-12-28,17:00:00,69
2019-12-28,18:00:00,97
2019-12-31,10:00:00,42
2019-12-31,11:00:00,141
2019-12-31,16:00:00,141
2019-12-31,17:00:00,51
2020-01-04,08:00:00,36
2020-01-04,09:00:00,108
2020-01-04,17:00:00,38
2020-01-04,18:00:00,107
2020-01-04,19:00:00,38
2020-01-08,10:00:00,40
2020-01-08,11:00:00,80
2020-01-08,12:00:00,62
2020-01-11,09:00:00,78
2020-01-11,10:00:00,75
2020-01-11,17:00:00,58
2020-01-11,18:00:00,96
2020-01-15,09:00:00,10
2020-01-15,10:00:00,26
2020-01-15,11:00:00,26
2020-01-15,12:00:00,123
2020-01-18,09:00:00,108
2020-01-18,10:00:00,81
2020-01-18,11:00:00,32
2020-01-18,17:00:00,102
2020-01-18,18:00:00,66
2020-01-22,10:00:00,40
