Date,Hour,TPA TPA A,TPA TPA C,TPA TPA E,TPA TPA F
2018-12-30,00:00:00,,,1.0,
2018-12-30,03:00:00,,20.0,,
2018-12-30,04:00:00,263.0,1219.0,438.0,347.0
2018-12-30,05:00:00,664.0,723.0,839.0,641.0
2018-12-30,06:00:00,1012.0,661.0,800.0,511.0
2018-12-30,07:00:00,433.0,688.0,172.0,501.0
2018-12-30,08:00:00,624.0,808.0,444.0,313.0
2018-12-30,09:00:00,496.0,680.0,488.0,251.0
2018-12-30,10:00:00,1071.0,611.0,781.0,407.0
2018-12-30,11:00:00,622.0,454.0,283.0,316.0
2018-12-30,12:00:00,691.0,436.0,460.0,447.0
2018-12-30,13:00:00,700.0,550.0,622.0,407.0
2018-12-30,14:00:00,734.0,471.0,800.0,406.0
2018-12-30,15:00:00,683.0,811.0,647.0,373.0
2018-12-30,16:00:00,601.0,656.0,492.0,486.0
2018-12-30,17:00:00,575.0,609.0,609.0,291.0
2018-12-30,18:00:00,572.0,679.0,487.0,369.0
2018-12-30,19:00:00,447.0,511.0,352.0,71.0
2018-12-30,20:00:00,252.0,364.0,107.0,
2018-12-30,21:00:00,24.0,237.0,79.0,
2018-12-30,22:00:00,20.0,29.0,62.0,
2018-12-30,23:00:00,,1.0,7.0,
2018-12-31,00:00:00,15.0,,,
2018-12-31,03:00:00,,11.0,,
2018-12-31,04:00:00,337.0,561.0,324.0,356.0
2018-12-31,05:00:00,1048.0,1075.0,672.0,527.0
2018-12-31,06:00:00,781.0,757.0,813.0,438.0
2018-12-31,07:00:00,442.0,688.0,469.0,402.0
2018-12-31,08:00:00,524.0,702.0,382.0,263.0
2018-12-31,09:00:00,563.0,484.0,496.0,297.0
2018-12-31,10:00:00,1117.0,494.0,738.0,360.0
2018-12-31,11:00:00,643.0,801.0,502.0,345.0
2018-12-31,12:00:00,854.0,673.0,652.0,599.0
2018-12-31,13:00:00,847.0,727.0,734.0,379.0
2018-12-31,14:00:00,638.0,360.0,523.0,431.0
2018-12-31,15:00:00,365.0,470.0,243.0,444.0
2018-12-31,16:00:00,287.0,590.0,330.0,467.0
2018-12-31,17:00:00,646.0,427.0,375.0,132.0
2018-12-31,18:00:00,370.0,190.0,403.0,97.0
2018-12-31,19:00:00,299.0,16.0,185.0,25.0
2018-12-31,20:00:00,155.0,,32.0,
2018-12-31,21:00:00,16.0,,0.0,
2018-12-31,22:00:00,5.0,,,
2018-12-31,23:00:00,3.0,,,
2019-01-01,03:00:00,,10.0,,
2019-01-01,04:00:00,329.0,505.0,146.0,183.0
2019-01-01,05:00:00,799.0,1049.0,503.0,510.0
2019-01-01,06:00:00,691.0,759.0,633.0,323.0
2019-01-01,07:00:00,423.0,902.0,316.0,264.0
2019-01-01,08:00:00,597.0,822.0,367.0,133.0
