Date,All,ANC,ATL,BOI,BZN,DEN,DFW,FLL,LAS,LAX,MIA,MCO,MSO,PDX,PHX,SEA,SJC,SFO,TPA,Total
2018-12-30,2403478.0,4744.0,76171.0,6743.0,3557,68815.0,63204.0,63921.0,62914.0,119346.0,70689.0,79406.0,1636,26614.0,52352.0,55218.0,20140.0,70063.0,36809.0,75478372.0
2018-12-31,1936681.0,4823.0,54533.0,5658.0,3203,52866.0,48050.0,54144.0,50567.0,100814.0,57687.0,68622.0,1401,22499.0,43438.0,46282.0,15154.0,57699.0,32416.0,61018255.0
2019-01-01,2136088.0,5071.0,61901.0,5472.0,2889,64688.0,49756.0,56218.0,62690.0,113156.0,63654.0,73449.0,1286,24242.0,51862.0,49470.0,17515.0,67822.0,33751.0,67565364.0
2019-01-02,2354510.0,5693.0,67656.0,6679.0,3013,68474.0,52233.0,61211.0,65708.0,127701.0,69682.0,80342.0,1510,24642.0,54566.0,51829.0,17211.0,69579.0,38346.0,73983839.0
2019-01-03,2211239.0,5774.0,61693.0,6094.0,2817,61094.0,53587.0,58182.0,61910.0,120483.0,69764.0,74916.0,1373,24705.0,51751.0,48022.0,16844.0,62746.0,35928.0,69582934.0
2019-01-04,2160942.0,5698.0,59096.0,6605.0,2793,62281.0,50584.0,58936.0,65032.0,116956.0,71005.0,77515.0,1415,22777.0,50395.0,46162.0,16905.0,62013.0,35226.0,68277224.0
2019-01-05,1986061.0,5350.0,55971.0,5866.0,2893,56309.0,45113.0,59794.0,52918.0,108418.0,72722.0,80409.0,1232,20463.0,46282.0,43009.0,14424.0,58329.0,32517.0,63125912.0
2019-01-06,2231586.0,5331.0,68310.0,6094.0,3226,66308.0,55883.0,62117.0,70743.0,115569.0,73654.0,77880.0,1263,22855.0,50029.0,44606.0,19937.0,60934.0,36538.0,70591185.0
2019-01-07,2050549.0,4924.0,60121.0,5767.0,2485,57746.0,54263.0,56394.0,58949.0,107423.0,67783.0,69331.0,1057,19941.0,46166.0,40489.0,17204.0,63366.0,32328.0,64700106.0
2019-01-08,1740080.0,4460.0,49833.0,5018.0,2028,46090.0,43929.0,48946.0,40233.0,94813.0,61403.0,58388.0,937,16910.0,35484.0,35386.0,20269.0,58690.0,26164.0,54884539.0
2019-01-09,1745521.0,4663.0,51276.0,4472.0,1692,45654.0,45062.0,45115.0,41898.0,93883.0,61060.0,55426.0,865,17397.0,38045.0,36189.0,14781.0,61107.0,23502.0,54858752.0
2019-01-10,1961306.0,4841.0,58711.0,4964.0,1745,51567.0,52963.0,47463.0,62671.0,100043.0,63671.0,58028.0,1028,20217.0,42054.0,42673.0,17337.0,67232.0,24853.0,61655545.0
2019-01-11,1977664.0,5008.0,61969.0,5142.0,1683,51191.0,53475.0,50316.0,71592.0,99595.0,65737.0,62640.0,899,21145.0,42068.0,44715.0,18115.0,63788.0,25147.0,62541655.0
2019-01-12,1611796.0,3679.0,49475.0,4449.0,1874,41425.0,41269.0,51198.0,50573.0,91423.0,64900.0,66819.0,693,15820.0,35573.0,34715.0,11370.0,51914.0,24154.0,51765609.0
2019-01-13,1977133.0,4161.0,62161.0,5092.0,2185,57198.0,46873.0,57013.0,67690.0,109697.0,69277.0,71876.0,1010,20964.0,47248.0,41825.0,15286.0,59974.0,30860.0,63126733.0
2019-01-14,1890187.5,4210.0,62655.5,4946.0,1661,54503.0,49175.0,52009.0,56069.0,95484.0,61847.0,64485.0,835,19834.0,42494.0,38387.0,13371.0,55700.0,27266.0,59628201.0
2019-01-15,1610144.0,4370.0,56266.0,4326.0,1582,42200.0,41857.0,40981.0,37334.0,83315.0,57705.0,52329.0,806,17095.0,36222.0,35294.0,11870.0,52906.0,22511.0,50755887.0
2019-01-16,1790635.0,4825.0,64372.0,4755.0,1475,45077.0,47486.0,40752.0,43221.0,88937.0,57429.0,49706.0,826,19389.0,40978.0,40207.0,14624.0,57172.0,22844.0,55941882.0
2019-01-17,2148157.0,5156.0,69476.0,5816.0,1845,57166.0,57422.0,47108.0,56905.0,105155.0,59803.0,54961.0,1184,24143.0,47598.0,50211.0,21126.0,68512.0,28581.0,66866715.0
2019-01-18,2280581.0,5092.0,71231.0,6382.0,1904,60750.0,61879.0,53554.0,56170.0,108469.0,66277.0,64170.0,1071,25715.0,49115.0,54759.0,23864.0,77009.0,29914.0,71176982.0
2019-01-19,1606917.0,3658.0,49044.0,4263.0,1771,41496.0,40808.0,48503.0,38306.0,87739.0,61995.0,56056.0,622,17205.0,36777.0,38254.0,13957.0,56247.0,23650.0,51173916.0
2019-01-20,1783314.0,4043.0,55765.0,4439.0,2210,52372.0,44336.0,53442.0,70833.0,100982.0,67704.0,63256.0,774,18905.0,51730.0,37279.0,13497.0,54379.0,29624.0,57644948.0
2019-01-21,2185585.0,4696.0,67983.0,5713.0,2292,67341.0,54583.0,55255.0,76607.0,106721.0,64853.0,71209.0,1136,24913.0,59371.0,47797.0,17705.0,63719.0,35534.0,69226171.0
2019-01-22,1809663.0,4262.0,55506.0,5263.0,2307,54471.0,44647.0,47042.0,53736.0,90760.0,58250.0,61889.0,927,19532.0,47279.0,39420.0,12601.0,50190.0,31641.0,57187902.0
2019-01-23,1768423.0,4280.0,54657.0,4642.0,1799,47861.0,45309.0,43159.0,45507.0,85087.0,54474.0,63077.0,791,19247.0,42942.0,38121.0,13654.0,52519.0,27849.0,55450298.0
2019-01-24,1997087.0,4849.0,60932.0,5210.0,1701,51982.0,54175.0,44670.0,62273.0,96334.0,57815.0,59343.0,1020,21769.0,43741.0,44416.0,18087.0,59645.0,27083.0,62315588.0
2019-01-25,2061617.0,4734.0,63004.0,5719.0,1870,54436.0,54710.0,49409.0,71627.0,99065.0,63309.0,64668.0,929,22157.0,44446.0,47432.0,20741.0,65776.0,25989.0,64829530.0
2019-01-26,1577399.0,3282.0,45196.0,3606.0,2169,38712.0,35896.0,49942.0,55281.0,85662.0,64149.0,65544.0,732,15838.0,35577.0,33861.0,11532.0,50006.0,23578.0,50501070.0
