Date,Hour,VRB Checkpoint 1
2018-12-30,07:00:00,54
2018-12-31,07:00:00,63
2019-01-01,07:00:00,73
2019-01-03,07:00:00,53
2019-01-04,07:00:00,47
2019-01-06,07:00:00,56
2019-01-07,07:00:00,61
2019-01-11,07:00:00,32
2019-01-14,07:00:00,45
2019-01-18,07:00:00,34
2019-01-21,07:00:00,59
2019-01-25,07:00:00,45
2019-01-29,07:00:00,40
2019-02-01,07:00:00,48
2019-02-04,07:00:00,50
2019-02-08,07:00:00,34
2019-02-11,07:00:00,58
2019-02-15,07:00:00,34
2019-02-18,07:00:00,74
2019-02-22,07:00:00,69
2019-02-25,07:00:00,68
2019-03-01,07:00:00,56
2019-03-04,07:00:00,70
2019-03-08,07:00:00,44
2019-03-11,07:00:00,59
2019-03-15,07:00:00,47
2019-03-18,07:00:00,58
2019-03-22,07:00:00,59
2019-03-25,11:00:00,72
2019-03-29,07:00:00,64
2019-04-01,07:00:00,49
2019-04-04,07:00:00,53
2019-04-05,07:00:00,36
2019-04-07,07:00:00,34
2019-04-08,07:00:00,52
2019-04-11,07:00:00,43
2019-04-12,07:00:00,38
2019-04-14,07:00:00,58
2019-04-15,07:00:00,57
2019-04-18,07:00:00,71
2019-04-19,07:00:00,76
2019-04-21,07:00:00,70
2019-04-22,07:00:00,70
2019-04-25,10:00:00,62
2019-04-25,18:00:00,54
2019-04-26,07:00:00,79
2019-04-28,07:00:00,75
2019-04-29,07:00:00,73
2019-05-02,07:00:00,49
2019-05-03,07:00:00,49
2019-05-05,07:00:00,48
2019-05-06,07:00:00,56
2019-05-09,07:00:00,59
2019-05-10,07:00:00,52
2019-05-12,07:00:00,37
2019-05-13,07:00:00,58
2019-05-16,07:00:00,39
2019-05-17,07:00:00,36
2019-05-19,07:00:00,36
2019-05-20,07:00:00,42
2019-05-23,07:00:00,36
2019-05-23,14:00:00,38
2019-05-24,07:00:00,34
2019-05-26,07:00:00,35
2019-05-26,10:00:00,29
2019-05-26,14:00:00,14
2019-05-27,07:00:00,51
2019-05-30,07:00:00,44
2019-05-30,14:00:00,24
2019-05-31,07:00:00,30
2019-05-31,09:00:00,45
2019-06-02,07:00:00,44
2019-06-02,14:00:00,35
2019-06-03,07:00:00,44
2019-06-06,07:00:00,55
2019-06-07,07:00:00,34
2019-06-07,08:00:00,58
2019-06-07,14:00:00,18
2019-06-09,07:00:00,29
2019-06-10,08:00:00,30
2019-06-10,11:00:00,23
2019-06-13,07:00:00,50
2019-06-14,07:00:00,27
2019-06-14,11:00:00,33
2019-06-16,07:00:00,50
2019-06-16,14:00:00,24
2019-06-17,07:00:00,27
2019-06-20,07:00:00,35
2019-06-20,15:00:00,48
2019-06-21,08:00:00,47
2019-06-23,07:00:00,39
2019-06-23,14:00:00,37
2019-06-24,08:00:00,52
2019-06-27,07:00:00,41
2019-06-27,14:00:00,45
2019-06-28,08:00:00,56
2019-06-30,07:00:00,49
2019-06-30,14:00:00,29
2019-07-01,08:00:00,41
2019-07-04,07:00:00,27
2019-07-04,14:00:00,42
2019-07-05,08:00:00,27
2019-07-07,07:00:00,56
2019-07-07,14:00:00,16
2019-07-08,08:00:00,32
2019-07-11,08:00:00,36
2019-07-11,14:00:00,19
2019-07-11,15:00:00,21
2019-07-12,08:00:00,61
2019-07-14,06:00:00,19
2019-07-14,07:00:00,23
2019-07-14,13:00:00,14
2019-07-14,14:00:00,11
2019-07-15,07:00:00,12
2019-07-15,08:00:00,35
2019-07-18,06:00:00,23
2019-07-18,07:00:00,32
2019-07-18,13:00:00,21
2019-07-18,14:00:00,31
2019-07-19,07:00:00,24
2019-07-19,08:00:00,36
2019-07-21,06:00:00,8
2019-07-21,07:00:00,20
2019-07-21,14:00:00,13
2019-07-21,15:00:00,22
2019-07-22,08:00:00,28
2019-07-22,09:00:00,13
2019-07-25,06:00:00,15
2019-07-25,07:00:00,20
2019-07-25,13:00:00,21
2019-07-25,14:00:00,30
2019-07-26,07:00:00,13
2019-07-26,08:00:00,28
2019-07-26,09:00:00,15
2019-07-28,07:00:00,18
2019-07-28,08:00:00,26
2019-07-28,13:00:00,13
2019-07-28,14:00:00,22
2019-07-29,08:00:00,46
2019-08-01,06:00:00,17
2019-08-01,07:00:00,34
2019-08-01,13:00:00,36
2019-08-01,14:00:00,32
2019-08-02,07:00:00,5
2019-08-02,08:00:00,30
2019-08-02,09:00:00,16
2019-08-04,06:00:00,11
2019-08-04,07:00:00,32
2019-08-04,08:00:00,9
2019-08-04,13:00:00,8
2019-08-04,14:00:00,19
2019-08-05,07:00:00,11
2019-08-05,08:00:00,17
2019-08-05,09:00:00,7
2019-08-08,06:00:00,18
2019-08-08,07:00:00,29
2019-08-08,13:00:00,32
2019-08-08,14:00:00,24
2019-08-09,07:00:00,28
2019-08-09,08:00:00,17
2019-08-11,06:00:00,14
2019-08-11,07:00:00,42
2019-08-11,13:00:00,13
2019-08-11,14:00:00,22
2019-08-12,07:00:00,19
2019-08-12,08:00:00,25
2019-08-15,07:00:00,21
2019-08-15,08:00:00,32
2019-08-15,13:00:00,17
2019-08-15,14:00:00,28
2019-08-16,07:00:00,5
2019-08-16,08:00:00,24
2019-08-16,09:00:00,13
2019-08-16,10:00:00,10
2019-08-16,11:00:00,38
2019-08-18,06:00:00,8
2019-08-18,07:00:00,27
2019-08-18,08:00:00,10
2019-08-18,13:00:00,7
2019-08-18,14:00:00,11
2019-08-18,15:00:00,18
2019-08-19,07:00:00,21
2019-08-19,08:00:00,23
2019-08-22,06:00:00,29
2019-08-22,07:00:00,22
2019-08-22,13:00:00,12
2019-08-22,14:00:00,30
2019-08-22,16:00:00,31
2019-08-22,17:00:00,24
2019-08-23,07:00:00,6
2019-08-23,08:00:00,29
2019-08-23,09:00:00,15
2019-08-25,06:00:00,19
2019-08-25,07:00:00,31
2019-08-25,13:00:00,16
2019-08-25,14:00:00,19
2019-08-26,08:00:00,18
2019-08-26,09:00:00,20
2019-08-29,06:00:00,25
2019-08-29,07:00:00,32
2019-08-29,13:00:00,20
2019-08-29,14:00:00,28
2019-08-30,07:00:00,5
2019-08-30,08:00:00,42
2019-08-30,09:00:00,11
2019-08-31,05:00:00,7
2019-08-31,06:00:00,69
2019-08-31,07:00:00,29
2019-09-05,06:00:00,10
2019-09-05,07:00:00,13
2019-09-05,13:00:00,8
2019-09-05,14:00:00,12
2019-09-06,08:00:00,20
2019-09-06,09:00:00,8
2019-09-09,06:00:00,8
2019-09-09,07:00:00,29
2019-09-12,07:00:00,13
2019-09-12,08:00:00,20
2019-09-13,06:00:00,11
2019-09-13,07:00:00,20
2019-09-13,08:00:00,4
2019-09-16,06:00:00,13
2019-09-16,07:00:00,19
2019-09-19,07:00:00,18
2019-09-19,08:00:00,31
2019-09-20,06:00:00,3
2019-09-20,07:00:00,26
