Airports.Days.Date,Hour,SEA,SEA,SEA,SEA,SEA
,,FIS Checkpoint,SCP 2,SCP 3,SCP 4,SCP 5
2020-11-22,00:00:00,,,10.0,,
2020-11-22,01:00:00,,,39.0,,
2020-11-22,02:00:00,,,41.0,,
2020-11-22,03:00:00,,,170.0,,
2020-11-22,04:00:00,,187.0,329.0,223.0,108.0
2020-11-22,05:00:00,,278.0,308.0,347.0,391.0
2020-11-22,06:00:00,,430.0,449.0,589.0,466.0
2020-11-22,07:00:00,,368.0,466.0,401.0,406.0
2020-11-22,08:00:00,,380.0,317.0,470.0,433.0
2020-11-22,09:00:00,,277.0,259.0,354.0,372.0
2020-11-22,10:00:00,,406.0,386.0,361.0,344.0
2020-11-22,11:00:00,,347.0,269.0,202.0,222.0
2020-11-22,12:00:00,,305.0,284.0,271.0,214.0
2020-11-22,13:00:00,,262.0,225.0,252.0,254.0
2020-11-22,14:00:00,,256.0,254.0,321.0,275.0
2020-11-22,15:00:00,,146.0,137.0,150.0,257.0
2020-11-22,16:00:00,,93.0,178.0,202.0,307.0
2020-11-22,17:00:00,,165.0,137.0,120.0,184.0
2020-11-22,18:00:00,,126.0,101.0,75.0,113.0
2020-11-22,19:00:00,,216.0,216.0,138.0,
2020-11-22,20:00:00,,,219.0,45.0,
2020-11-22,21:00:00,,,371.0,83.0,
2020-11-22,22:00:00,,,97.0,,
2020-11-22,23:00:00,,,64.0,,
2020-11-23,00:00:00,,,11.0,,
2020-11-23,01:00:00,,,6.0,,
2020-11-23,02:00:00,,,1.0,,
2020-11-23,03:00:00,,,141.0,,
2020-11-23,04:00:00,,151.0,301.0,175.0,124.0
2020-11-23,05:00:00,,263.0,324.0,251.0,348.0
2020-11-23,06:00:00,,399.0,320.0,506.0,459.0
2020-11-23,07:00:00,,362.0,282.0,297.0,480.0
2020-11-23,08:00:00,,327.0,356.0,295.0,336.0
2020-11-23,09:00:00,,282.0,298.0,272.0,364.0
2020-11-23,10:00:00,,340.0,289.0,294.0,261.0
2020-11-23,11:00:00,,316.0,240.0,168.0,175.0
2020-11-23,12:00:00,,231.0,178.0,187.0,294.0
2020-11-23,13:00:00,,198.0,232.0,256.0,222.0
2020-11-23,14:00:00,,421.0,213.0,310.0,314.0
2020-11-23,15:00:00,,159.0,160.0,177.0,215.0
2020-11-23,16:00:00,,108.0,270.0,269.0,277.0
2020-11-23,17:00:00,,174.0,142.0,108.0,182.0
2020-11-23,18:00:00,,179.0,137.0,135.0,110.0
2020-11-23,19:00:00,,179.0,229.0,32.0,
2020-11-23,20:00:00,,,277.0,102.0,
2020-11-23,21:00:00,,,302.0,48.0,
2020-11-23,22:00:00,,,318.0,,
2020-11-23,23:00:00,,,93.0,,
2020-11-24,00:00:00,,,1.0,,
2020-11-24,01:00:00,,,0.0,,
2020-11-24,02:00:00,,,43.0,,
2020-11-24,03:00:00,,,115.0,,
2020-11-24,04:00:00,,200.0,315.0,167.0,198.0
2020-11-24,05:00:00,,302.0,345.0,311.0,385.0
