Airports.Days.Date,Hour,SEA,SEA,SEA,SEA,SEA,SEA
,,Central Checkpoint,Charlie Checkpoint,FIS Checkpoint,North Checkpoint,Offsite Checkpoint,South Checkpoint
2019-08-11,00:00:00,176.0,,,,,
2019-08-11,01:00:00,58.0,,,,,
2019-08-11,02:00:00,68.0,,,,,
2019-08-11,03:00:00,741.0,,,,,
2019-08-11,04:00:00,975.0,730.0,,718.0,389.0,1298.0
2019-08-11,05:00:00,1211.0,938.0,,758.0,219.0,630.0
2019-08-11,06:00:00,1200.0,1151.0,67.0,785.0,419.0,1243.0
2019-08-11,07:00:00,789.0,962.0,148.0,754.0,389.0,667.0
2019-08-11,08:00:00,1139.0,1023.0,19.0,695.0,424.0,1159.0
2019-08-11,09:00:00,1584.0,1362.0,42.0,914.0,504.0,1077.0
2019-08-11,10:00:00,1301.0,1212.0,332.0,806.0,480.0,1276.0
2019-08-11,11:00:00,1095.0,768.0,187.0,574.0,495.0,1065.0
2019-08-11,12:00:00,801.0,746.0,213.0,613.0,445.0,844.0
2019-08-11,13:00:00,891.0,662.0,259.0,573.0,276.0,605.0
2019-08-11,14:00:00,821.0,802.0,228.0,693.0,384.0,709.0
2019-08-11,15:00:00,633.0,662.0,274.0,635.0,257.0,709.0
2019-08-11,16:00:00,851.0,1050.0,103.0,681.0,,839.0
2019-08-11,17:00:00,736.0,882.0,132.0,656.0,,639.0
2019-08-11,18:00:00,749.0,845.0,108.0,729.0,,705.0
2019-08-11,19:00:00,626.0,794.0,,567.0,,671.0
2019-08-11,20:00:00,909.0,524.0,,371.0,,271.0
2019-08-11,21:00:00,948.0,464.0,,269.0,,353.0
2019-08-11,22:00:00,730.0,262.0,,,,328.0
2019-08-11,23:00:00,591.0,137.0,,,,161.0
2019-08-12,00:00:00,497.0,,,,,
2019-08-12,01:00:00,113.0,,,,,
2019-08-12,02:00:00,95.0,,,,,
2019-08-12,03:00:00,551.0,,,,,
2019-08-12,04:00:00,1034.0,1129.0,,553.0,329.0,868.0
2019-08-12,05:00:00,1155.0,1406.0,,789.0,402.0,1163.0
2019-08-12,06:00:00,1194.0,1664.0,62.0,715.0,457.0,1101.0
2019-08-12,07:00:00,1209.0,1177.0,97.0,645.0,567.0,1215.0
